Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	20.7366807632393	0.00060158472610808	0.457481034364033	0.00181046900005746
MDS2	18.2928179022228	0.231896530554202	0.114151911970743	0.0230371448828656
MDS3	10.3807083623495	6.2442456461688e-11	0.929567459965225	4.09641277114333e-08
MDS4	5.91852766706325	0.0219774391801976	0.106513993611061	1.46857900547174e-18
MDS5	4.55910332888122	0.448242311037476	0.881175168427937	1.63025682744764e-10
MDS6	3.79885382335242	0.0310040666362138	0.478030951302441	1.7161691214663e-12
MDS7	2.82907747933676	0.582121363991456	0.812598088033372	1.02711468231491e-11
MDS8	2.39524662981968	0.0335494315276749	0.500208717728465	3.52220681433732e-07
MDS9	2.3689063217553	0.23063547812232	0.545351292353809	1.20120675983365e-05
MDS10	2.08041554704009	0.138978238347802	0.533387403687264	1.15883710491199e-06
MDS11	1.64955359853335	0.000118254068589517	0.975966911983879	0.00453279414184667
MDS12	1.43351888518234	0.10524548215124	0.0748110118441438	8.40929398431375e-08
MDS13	1.38483669886856	0.000165715642579232	0.538745692208982	5.51555890097972e-11
MDS14	1.35948811321912	0.220538471618075	0.701625281782556	9.17168494559053e-05
MDS15	1.16887245332749	0.00312801147765758	0.868321026971668	1.50246893665385e-09
MDS16	1.00738884355326	0.974417077894482	0.48893043922803	1.29169303338003e-10
