Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	43.6127493637434	0.0164789789909256	0.0750822804164269	8.21531161435313e-05
MDS2	17.5781344469266	5.22397293802516e-05	0.0795058951726698	2.86181533265115e-08
MDS3	8.1839709497881	0.000516359643932677	0.649896168068062	0.000629753927056996
MDS4	4.2032050154383	0.393732590986576	0.992948704127846	5.63975736799774e-07
MDS5	2.63998204812756	0.658375809685894	0.892594880585024	0.00686478068148826
MDS6	2.54680579872071	0.631458826517294	0.202509174491908	0.767393428247882
MDS7	2.27835994537559	0.968987230946095	0.790359166730285	0.0010938567839568
MDS8	1.82790348444933	0.022567722207546	0.218301100557735	0.00513275891645098
MDS9	1.33086510289761	0.516621569164681	0.654185486540871	0.00129299539451408
MDS10	1.23627272989653	0.70239682203282	0.835039963517712	0.000897920656029579
MDS11	1.08801185450806	0.999919740209157	0.0827582946076634	0.331912555861827
MDS12	1.02464541021868	0.924893421126323	0.181822391532608	0.999970912766974
MDS13	0.877503328456066	0.998690118337143	0.683519595706619	1.48705620101289e-05
MDS14	0.734000818592957	0.136410831397262	0.589013954798644	0.00077365229673858
MDS15	0.72799446747433	0.11874924762813	0.367485870718409	0.140711930893078
MDS16	0.703049654790137	0.0621067861546391	0.228590739165107	0.714367585219511
