Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	16.1470204308781	8.79523007805589e-10	0.848651106686398	1.23830959936595e-47
MDS2	7.0140585264814	3.44327383069472e-27	0.258645010153481	5.64127376706113e-06
MDS3	4.70604307345557	2.26018411494761e-17	0.290500219154102	1.83446529654598e-42
MDS4	3.5698069034336	0.0133062235064963	0.921383340745731	9.34486807710923e-48
MDS5	3.11398645822719	2.34841300924567e-09	0.00067754978394387	8.88586972144828e-63
MDS6	2.80214151790815	2.45999973051688e-07	0.719559984197155	1.56146634660393e-42
MDS7	2.69861028499435	7.42659363997590e-10	0.402731246917971	7.86265885974409e-61
MDS8	2.41977496958101	1.25860025117001e-08	0.4873035324525	1.18316243575237e-40
MDS9	2.21991541346305	0.218661710662461	0.133043674240729	1.25065403606149e-36
MDS10	2.17866601898315	0.290340409972521	0.094763289434859	2.15236826005225e-56
MDS11	1.97133099062698	0.583452657414725	0.0288113703099475	1.20684916470529e-36
MDS12	1.89244816922366	0.503132230041	0.178804761147327	1.05720562935907e-59
MDS13	1.78870485858652	0.0288686369911043	0.939717411054156	2.79461182535757e-44
MDS14	1.77644448588224	0.000180053415907013	0.223608043458939	1.25025236435452e-53
MDS15	1.7543989413073	4.69677046734817e-10	0.172125461677	1.01902613193721e-36
MDS16	1.64330978455897	0.00166869538303841	0.140262960024856	1.3918890210841e-59
