Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	13.5020177165526	0.123131220904384	0.766024259831615	6.62980693536116e-60
MDS2	5.69645204141574	2.20013933855483e-14	0.307916799885414	2.01360793737359e-10
MDS3	4.36472396546632	1.92169353395136e-28	0.781154836134905	1.29630771062594e-39
MDS4	3.64349650111068	4.04097596803813e-12	0.731058563819299	1.02218241144085e-11
MDS5	2.89853920342163	0.18625915555751	0.887072894263626	5.46713323363507e-56
MDS6	2.71559251617315	0.269080850402674	0.987309564076381	3.55325709257652e-51
MDS7	2.24817043898503	0.672924018521007	0.151619479503388	7.87650654206695e-41
MDS8	2.18366769815219	0.0015660094703982	0.865344729225776	1.38238474002475e-54
MDS9	2.0745131138626	0.34073094499931	0.823906570292739	2.15586038610118e-59
MDS10	1.96426937881407	0.481933698352623	0.852585057383469	9.02635409359215e-35
MDS11	1.88627220504902	0.000838414636053365	0.433610588843838	1.13400162349646e-47
MDS12	1.72618985711414	0.0107320737044253	0.594845701851636	3.11423891420047e-63
MDS13	1.68901460547816	0.329539830473459	0.784214237051746	1.99879980420999e-55
MDS14	1.62975294691684	0.992212634699556	0.524888298011829	5.83463418102762e-70
MDS15	1.55574206085479	0.996292048132729	0.527630038554442	2.19227793263116e-60
MDS16	1.54344106627446	0.464229307041964	0.566172005541737	3.46238613115128e-39
