Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinobacteria	3.02394728857622	2.8179167905067	0.000477128417616414	0.332235164934916	0.000522864557009104	0.00107353893963693	0.713800741425266	0.000672254430440277
Alphaproteobacteria	1.36130293224622	1.4742308086613	0.21569569771444	0.0117895726636998	3.11570235715126e-20	0.350634747954002	0.106106153973298	1.86942141429076e-19
Bacilli	2.99445158195529	3.64799642386341	3.30730300998326e-16	0.396555967458481	5.24027108093944e-07	1.98438180598995e-15	0.713800741425266	7.86040662140916e-07
Bacteroidia	4.74767474269304	4.72508125733057	0.308183393128581	0.0522205265028596	0.00286381353485168	0.396235791165318	0.313323159017157	0.00343657624182201
Betaproteobacteria	2.81220919194722	2.87890671626044	0.278874219347015	0.00410082017974668	1.63739140465154e-33	0.386133534480483	0.0738147632354403	2.94730452837277e-32
Chloroplast	0.749593111272956	0.248835232367186	1.21442209147355e-09	0.846130022856826	0.19575730296361	4.37191952930476e-09	0.920386248937632	0.19575730296361
Clostridia	4.82764330324452	4.81517043306815	0.508638045260707	0.540760192636015	0.00379277763670199	0.571642439664206	0.811140288954023	0.00426687484128974
Deinococci	0.205663623690065	1.57827130643914	3.42186510191535e-34	0.0855173945408109	0.120680472075829	6.15935718344763e-33	0.315293871206108	0.127779323374407
Deltaproteobacteria	1.91215851267059	1.9343724661672	0.498030557450582	0.589616979590931	1.57493078177717e-30	0.571642439664206	0.816392740972058	1.41743770359946e-29
Epsilonproteobacteria	0.333677169836253	1.48194469110994	4.58351233784818e-24	0.369216415547826	1.03901514463258e-05	4.12516110406336e-23	0.713800741425266	1.43863635410665e-05
Erysipelotrichia	3.18929933604558	3.22229517187849	0.539884526349528	0.0875816308905855	3.19905365669935e-07	0.571642439664206	0.315293871206108	5.23481507459895e-07
Flavobacteria	0.456998615845446	0.460543061291808	0.869772809558079	0.916667090368612	1.3042985469274e-08	0.869772809558079	0.920386248937632	2.6085970938548e-08
Fusobacteria	0.616523830039232	1.21165320663556	3.1583293205377e-09	0.45118206652614	2.69326102379083e-13	9.47498796161311e-09	0.738297927042774	8.0797830713725e-13
Gammaproteobacteria	1.68764577904483	2.36122846576582	1.80327942584441e-10	0.920386248937632	1.09246774242187e-11	8.11475741629985e-10	0.920386248937632	2.4580524204492e-11
Negativicutes	3.5367730520347	3.32239906215529	1.69670132508202e-05	0.77924151819697	7.76752676930812e-13	4.36294626449662e-05	0.920386248937632	1.99736402639352e-12
Sphingobacteria	0.286051532049255	0.351210648018527	0.233756498636001	0.789741666611233	2.17290833874828e-08	0.350634747954002	0.920386248937632	3.91123500974691e-08
Synergistia	0.541729130554328	0.66022778755837	0.113532605591703	0.390818404880142	1.17224470943949e-14	0.204358690065065	0.713800741425266	4.22008095398215e-14
Verrucomicrobiae	1.54928148904727	1.19861058960978	0.00302227932150243	0.36619940207001	5.81581078889631e-15	0.00604455864300486	0.713800741425266	2.61711485500334e-14
