Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Actinobacteria	0.584	0.403	0.799	0.626	8e-04	0.806	0.0033	0.00142222222222222	0.921142857142857	0.0048	0.042	0.223
Alphaproteobacteria	0.411	0.568	0.468	0.667	0.246	0.352	9.58e-35	0.2624	0.5632	1.5328e-33	0.003	0.74
Bacilli	1.763	0.626	2.464	0.693	1.6e-16	0.327	5.16e-05	8.53333333333333e-16	0.5632	9.17333333333333e-05	0.225	0.438
Bacteroidia	3.572	0.222	3.535	0.193	0.162	0.0914	0.00611	0.199384615384615	0.52	0.00814666666666667	0.018	0.196
Betaproteobacteria	1.674	0.742	1.711	0.714	0.229	0.00677	1.11e-31	0.261714285714286	0.10832	8.88e-31	0.012	0.715
Clostridia	3.674	0.148	3.634	0.148	0.0304	0.323	0.0511	0.0442181818181818	0.5632	0.0628923076923077	0.023	0.147
Coriobacteriia	1.61	0.525	1.355	0.363	2.19e-06	0.555	0.000326	5.00571428571429e-06	0.807272727272727	0.0005216	0.08	0.294
Deinococci	0.045	0.152	0.717	0.644	1.1e-21	0.13	0.169	1.76e-20	0.52	0.180266666666667	0.348	0.404
Deltaproteobacteria	0.995	0.653	0.956	0.59	0.416	0.915	4.53e-26	0.416	0.976	2.416e-25	0.001	0.664
Epsilonproteobacteria	0.041	0.128	0.72	0.762	1.1e-17	0.639	0.0552	8.8e-17	0.852	0.0630857142857143	0.275	0.365
Erysipelotrichi	1.927	0.575	2.018	0.39	0.134	0.129	3.64e-15	0.178666666666667	0.52	1.1648e-14	0.01	0.516
Fusobacteriia	0.222	0.627	0.511	0.75	7.67e-08	0.738	2.6e-22	2.4544e-07	0.908307692307692	1.04e-21	0.05	0.662
Gammaproteobacteria	0.805	0.789	1.254	0.83	5.11e-08	0.997	1.15e-11	2.044e-07	0.997	2.62857142857143e-11	0.079	0.483
TM7_3	0.234	0.342	0.048	0.174	4.16e-07	0.273	0.203	1.10933333333333e-06	0.5632	0.203	0.11	0.179
Unassigned	1.871	0.458	2.119	0.553	2.57e-05	0.306	2.02e-10	5.14e-05	0.5632	4.04e-10	0.051	0.453
Verrucomicrobiae	0.771	0.854	0.552	0.647	0.00302	0.215	1.39e-12	0.004832	0.5632	3.70666666666667e-12	0.026	0.479
