Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Bacilli	2.39485726834818	2.99929377188074	1.72012363056449	9.98017288539594e-13	3.2940458161157e-07	5.85573926692451e-06	8.04134536736001e-13	0.381007185816575	0.0902647708768139	5.86335157017012e-12	7.59487864180712e-06	2.29473075666805e-05	6.29905387109867e-12	0.835238765504047	0.114660654897574
Thermomicrobia	0.140054563363802	0.0673821298340439	0	0.026882712465264	0.248634702176068	0.0407732697867745	0.569371912982897	0.108187399791578	0.0152649731930894	0.052645311911142	0.874115329643388	0.0833192904338436	0.637154283576099	0.835238765504047	0.0217410224265213
Chthonomonadetes	0.0134696673114518	0.0289469399669966	0	0.552218488662483	0.691391691803848	0.837976107563976	0.548448710321097	0.277909687217691	0.42395950931234	0.564223238416016	0.999830036605492	0.856192979467541	0.628709497197355	0.835238765504047	0.510860638792371
Thermotogae	0.135137977749377	0.116287792192527	0.0238152894117063	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.251639640069062	0.999830036605492	0.249190046524559	0.550481435335131	0.835238765504047	0.00174129316512353
Fusobacteriia	0.357480403305451	0.516040480899755	0.0442495621236677	0.00108559186415243	0.153834854462325	0.0112771570243088	0.000668114678857301	0.0701939750824668	0.00429694256896345	0.00300134221265671	0.657294378157209	0.0278961252706585	0.00241549153125332	0.835238765504047	0.00807825202965129
Solibacteres	0.0833346493461246	0.0587323415640638	0	0.135190471095313	0.743521069172012	0.121964169598552	0.45672918315742	0.136836802711137	0.911300240449224	0.171728436256208	0.999830036605492	0.184913418423611	0.550481435335131	0.835238765504047	0.97343434775258
Ignavibacteria	0.0918758585538533	0.0489139674965936	0	0.112431372599215	0.489002736256638	0.13063874382765	0.647958458926712	0.495159947530564	0.0826311076309924	0.155419838593032	0.999830036605492	0.190574002822683	0.692137444762624	0.835238765504047	0.107879501629351
Caldisericia	0.0089009288888475	0.0123489501932742	0	0.764434251908055	0.952622903864014	0.815658353837189	0.748530298552957	0.632911187320311	0.999960935528135	0.764434251908055	0.999830036605492	0.856192979467541	0.781798311821977	0.835238765504047	0.999990270309477
Elusimicrobia	0.0268374984557101	0	0	0.181354449855523	0.260374779042711	0.425823701871034	1	0.357349202756429	0.999990270309477	0.224306819558147	0.874115329643388	0.476516999712823	1	0.835238765504047	0.999990270309477
Deltaproteobacteria	1.48372565488543	1.52471647707111	1.35423905616217	0.440500370408566	0.897914068480073	0.509733287088116	0.422461936123379	0.627122607697376	2.22968528194899e-14	0.460078164648946	0.999830036605492	0.557150337049801	0.550481435335131	0.835238765504047	1.04795208251603e-12
