Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Bacilli	3.41047115462602	3.82335470064326	4.44451710728745e-12	0.208645713607177	9.59038799216265e-07	4.00006539655871e-11	0.469452855616149	1.29470237894196e-06
Thermotogae	0.398285733944213	0.393445957763421	0.863610979595911	0.90385057267547	4.34048954664366e-13	0.863610979595911	0.958575369297395	7.32457610996118e-13
Fusobacteriia	0.504206149229102	1.0683080964129	1.64225580158862e-10	0.1143273132681	2.35583297340809e-17	1.10852266607232e-09	0.432856303457652	5.78249911654714e-17
Deltaproteobacteria	2.6114530389908	2.39625407633528	2.95235255154981e-05	0.744442711176776	2.18849153974495e-21	9.96418986148061e-05	0.958575369297395	6.56547461923486e-21
Clostridia	4.72905296989632	4.71558097256629	0.493273284392138	0.356750331771737	0.0500689299736134	0.579059942547293	0.642150597189127	0.0519946580495216
Deinococci	0.26072376813484	1.59138421696018	3.2561705777129e-34	0.199220668526571	0.0225351857594659	8.79166055982484e-33	0.469452855616149	0.0243380006202231
Mollicutes	1.12584688725031	1.06442751288657	0.450482457177717	0.420989784497585	8.32173236758732e-24	0.552864833809016	0.710420261339675	2.80858467406072e-23
Flavobacteriia	2.50154093667583	2.12149767395365	3.34522620347758e-07	0.0340183151562673	1.4916651214348e-15	1.50535179156491e-06	0.306164836406405	3.06440694802229e-15
Spirochaetia	0.296989659794876	0.54807796765093	1.9072016240049e-05	0.160128172739742	1.58895175082637e-15	7.35634912116176e-05	0.432856303457652	3.06440694802229e-15
Acidobacteriia	0.235676110121705	0.149415563101498	0.000687697749286512	0.894651431246452	8.0574271155608e-31	0.00168798538461235	0.958575369297395	2.17550532120142e-29
Actinobacteria	3.11645740963595	3.12952497131186	0.671304911046471	0.132453832867261	2.9008206008903e-07	0.75521802492728	0.432856303457652	4.12221874863358e-07
Negativicutes	3.18290685908203	2.97201335155974	3.43262113092272e-05	0.958575369297395	1.82677655979001e-28	0.000102978633927682	0.958575369297395	1.64409890381101e-27
Fibrobacteria	0.95511995192608	0.862729066927008	0.237860370073807	0.0294739779419964	1.36481195907761e-18	0.35679055511071	0.306164836406405	3.68499228950955e-18
Dehalococcoidia	0.151055914916945	0.142791542221236	0.718786896538695	0.896887192562821	0.00129111947474515	0.77628984826179	0.958575369297395	0.00151566199209213
Alphaproteobacteria	1.56521660783427	1.53941280051638	0.75054162326922	0.0200088958638259	7.84722692121291e-08	0.779408608779575	0.306164836406405	1.17708403818194e-07
Erysipelotrichia	1.28064240997276	1.40510273154432	0.109934704698181	0.776099333869442	2.89538602691726e-27	0.174602178050052	0.958575369297395	1.95438556816915e-26
Epsilonproteobacteria	0.484866100287442	1.51613259245855	9.07878604385394e-20	0.250927327200378	0.000139456879732163	1.22563611592028e-18	0.521156756493093	0.000179301702512781
Betaproteobacteria	1.99989560094866	2.08616250880573	0.309419717062749	0.110184864341958	5.94017451146256e-25	0.417716618034711	0.432856303457652	2.29121016870699e-24
Bacteroidia	4.72421888361305	4.69827378818384	0.257226343504616	0.0857159445242868	0.00141696526710776	0.365532172348665	0.432856303457652	0.00159408592549623
Cytophagia	0.470295102844044	0.358724476667011	0.0337284012508833	0.16031714942876	1.33264135108213e-29	0.0650476309838464	0.432856303457652	1.79906582396087e-28
Unclassified	4.15639213821053	4.11808824462552	0.0932817497915335	0.926810556575545	3.28015754256611e-17	0.157412952773213	0.958575369297395	7.38035447077375e-17
Gammaproteobacteria	2.12147451143204	2.59159056153777	7.15032768402115e-08	0.522338549244659	1.67853159219248e-10	3.86117694937142e-07	0.822002117376666	2.66590311701159e-10
Aquificae	0.315362544874559	0.158840894745888	0.000252363565391561	0.93556321983911	0.675900577827008	0.000681381626557216	0.958575369297395	0.675900577827008
Sphingobacteriia	0.512506243705856	0.55306639483389	0.418644218014935	0.884857640446509	2.71917734612881e-25	0.538256851733488	0.958575369297395	1.22362980575796e-24
Caldilineae	0.243347143546335	0.134849230776117	0.0115754338601087	0.548001411584444	0.000237778364696993	0.0240412857094565	0.822002117376666	0.000291818902128127
Chlorobia	0.295949555809314	0.403686442274186	0.0571852255456285	0.082964795239102	5.42675196987325e-26	0.102933405982131	0.432856303457652	2.93044606373155e-25
Verrucomicrobiae	1.5448029175026	1.19516111420473	0.00282870339118022	0.340441986132321	3.01068419654466e-15	0.0063645826301555	0.642150597189127	5.41923155378039e-15
