Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Bacilli	3.41047115462602	0.492	3.82335470064326	0.546	4.44e-12	0.209	9.59e-07	1.11e-10	0.47025	1.798125e-06	0.145	0.396
Thermotogae	0.398285733944213	0.561	0.393445957763421	0.557	0.864	0.904	4.34e-13	0.864	0.959	1.6275e-12	0	0.438
Fusobacteriia	0.504206149229102	0.902	1.0683080964129	1.055	1.64e-10	0.114	<2e-16	2.05e-09	0.432	NA	0.087	0.575
Deltaproteobacteria	2.6114530389908	0.619	2.39625407633528	0.508	2.95e-05	0.744	<2e-16	0.0001225	0.959	NA	0.033	0.583
Clostridia	4.72905296989632	0.157	4.71558097256629	0.164	0.493	0.357	0.0501	0.586904761904762	0.6426	0.0536785714285714	0.005	0.118
Deinococci	0.26072376813484	0.41	1.59138421696018	0.935	<2e-16	0.199	0.0225	NA	0.47025	0.0259615384615385	0.463	0.533
Mollicutes	1.12584688725031	1.039	1.06442751288657	0.851	0.45	0.421	<2e-16	0.5625	0.7104375	NA	0.002	0.601
Flavobacteriia	2.50154093667583	0.869	2.12149767395365	0.66	3.35e-07	0.034	1.49e-15	2.09375e-06	0.306	1.1925e-14	0.066	0.519
Spirochaetia	0.296989659794876	0.548	0.54807796765093	0.683	1.91e-05	0.16	1.59e-15	9.55e-05	0.432	1.1925e-14	0.045	0.505
Acidobacteriia	0.235676110121705	0.409	0.149415563101498	0.317	0.000688	0.895	<2e-16	0.00191111111111111	0.959	NA	0.016	0.68
Actinobacteria	3.11645740963595	0.414	3.12952497131186	0.385	0.671	0.132	2.9e-07	0.7625	0.432	6.21428571428571e-07	0.007	0.312
Negativicutes	3.18290685908203	0.71	2.97201335155974	0.624	3.43e-05	0.959	<2e-16	0.0001225	0.959	NA	0.026	0.66
Fibrobacteria	0.95511995192608	0.739	0.862729066927008	0.762	0.238	0.0295	<2e-16	0.371875	0.306	NA	0.012	0.536
Dehalococcoidia	0.151055914916945	0.297	0.142791542221236	0.27	0.719	0.897	0.00129	0.781521739130435	0.959	0.00175909090909091	0.001	0.188
Alphaproteobacteria	1.56521660783427	0.684	1.53941280051638	0.68	0.751	0.02	7.85e-08	0.782291666666667	0.306	1.9625e-07	0.016	0.335
Erysipelotrichia	1.28064240997276	0.972	1.40510273154432	0.946	0.11	0.776	<2e-16	0.183333333333333	0.959	NA	0.004	0.64
Epsilonproteobacteria	0.484866100287442	0.57	1.51613259245855	1.111	<2e-16	0.251	0.000139	NA	0.521307692307692	0.000231666666666667	0.259	0.426
Betaproteobacteria	1.99989560094866	0.969	2.08616250880573	0.965	0.309	0.11	<2e-16	0.429166666666667	0.432	NA	0.006	0.618
Bacteroidia	4.72421888361305	0.219	4.69827378818384	0.197	0.257	0.0857	0.00142	0.377941176470588	0.432	0.001775	0.014	0.197
Cytophagia	0.470295102844044	0.741	0.358724476667011	0.555	0.0337	0.16	<2e-16	0.0702083333333333	0.432	NA	0.009	0.665
Unclassified	4.15639213821053	0.248	4.11808824462552	0.244	0.0933	0.927	<2e-16	0.166607142857143	0.959	NA	0.006	0.515
Gammaproteobacteria	2.12147451143204	0.898	2.59159056153777	0.781	7.15e-08	0.522	1.68e-10	5.95833333333333e-07	0.822	5.04e-10	0.077	0.434
Aquificae	0.315362544874559	0.375	0.158840894745888	0.273	0.000252	0.936	0.676	0.0007875	0.959	0.676	0.054	0.076
Sphingobacteriia	0.512506243705856	0.7	0.55306639483389	0.674	0.419	0.885	<2e-16	0.551315789473684	0.959	NA	0.001	0.618
Caldilineae	0.243347143546335	0.447	0.134849230776117	0.273	0.0116	0.548	0.000238	0.0263636363636364	0.822	0.000357	0.022	0.233
Chlorobia	0.295949555809314	0.659	0.403686442274186	0.814	0.0572	0.083	<2e-16	0.11	0.432	NA	0.011	0.628
Verrucomicrobiae	1.5448029175026	1.213	1.19516111420473	1.059	0.00283	0.34	3.01e-15	0.007075	0.6426	1.505e-14	0.021	0.494
