Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Bacilli	2.39485726834818	0.544	2.99929377188074	0.398	1.72012363056449	0.384	3.54e-13	3.29e-07	5.86e-06	8.04e-13	0.337	0.0903	2.604e-12	5.82e-06	1.758e-05	4.824e-12	0.757333333333333	0.0985090909090909	0.325	0.465
Thermomicrobia	0.140054563363802	0.231	0.0673821298340439	0.204	0	0	1.24e-05	0.249	0.0408	0.569	0.0716	0.0153	2.31466666666667e-05	0.747	0.0638608695652174	0.585257142857143	0.4296	0.01836	0.167	0.366
Thermotogae	0.135137977749377	0.246	0.116287792192527	0.244	0.0238152894117063	0.095	0.00185	0.925	0.186	0.42	0.243	0.000704	0.00215833333333333	0.999	0.20925	0.47475	0.729	0.001408	0.091	0.32
Fusobacteriia	0.357480403305451	0.381	0.516040480899755	0.539	0.0442495621236677	0.177	0.000601	0.154	0.0113	0.000668	0.0412	0.0043	0.0008414	0.504	0.0214105263157895	0.00184984615384615	0.4296	0.0067304347826087	0.107	0.32
Deltaproteobacteria	1.48372565488543	0.425	1.52471647707111	0.536	1.35423905616217	0.201	3.59e-11	0.898	0.51	0.422	0.448	2.23e-14	1.2565e-10	0.999	0.54	0.47475	0.757333333333333	8.028e-13	0.201	0.704
Clostridia	3.85591965849045	0.429	3.79735688215637	0.63	2.10254592813553	0.441	<2e-16	0.835	1.67e-15	1.28e-14	0.992	0.00226	NA	0.999	2.004e-14	1.536e-13	0.992	0.004068	0.631	0.744
Chloroflexia	0.183105664606421	0.263	0.119870350108885	0.238	0	0	0.000445	0.449	0.0167	0.263	0.514	0.00906	0.000655789473684211	0.999	0.03006	0.338142857142857	0.757333333333333	0.01208	0.108	0.298
Deinococci	0.838522270721998	0.422	1.60590117876655	0.444	0.652453947511019	0.487	2.32e-13	3.1e-13	0.251	2.63e-10	0.185	0.0506	2.604e-12	1.116e-11	0.273818181818182	1.1835e-09	0.729	0.056925	0.348	0.444
Mollicutes	1.09104485441839	0.247	1.42534643470402	0.403	2.03853552847785	0.228	<2e-16	4.85e-07	3e-15	4.72e-10	0.593	1	NA	5.82e-06	2.7e-14	1.888e-09	0.762428571428571	1	0.539	0.539
Flavobacteriia	1.25666004019781	0.333	1.49028502567173	0.292	1.73747502019877	0.122	1.59e-05	0.00167	1.57e-07	0.0321	0.629	0.00629	2.7825e-05	0.01503	5.652e-07	0.0550285714285714	0.7716	0.009435	0.15	0.361
