Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Bacilli	2.395	0.544	2.999	0.398	1.72	0.384	9.98017288539594e-13	3.2940458161157e-07	5.85573926692451e-06	8.04134536736001e-13	0.381007185816575	0.0902647708768139	4.49107779842817e-12	5.81735385329907e-06	1.75766611149042e-05	4.82480722041601e-12	0.831684557991263	0.0984706591383424
Thermomicrobia	0.14	0.231	0.067	0.204	0	0	0.026882712465264	0.248634702176068	0.0407732697867745	0.569371912982897	0.108187399791578	0.0152649731930894	0.040324068697896	0.745904106528204	0.0638190309706036	0.585639681925265	0.831684557991263	0.0183179678317073
Thermotogae	0.135	0.246	0.116	0.244	0.024	0.095	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.226759124968366	0.998815044225214	0.208762937912862	0.475269678138801	0.831684557991263	0.00140785404839775
Fusobacteriia	0.357	0.381	0.516	0.539	0.044	0.177	0.00108559186415243	0.153834854462325	0.0112771570243088	0.000668114678857301	0.0701939750824668	0.00429694256896345	0.00229890041820514	0.503459523694883	0.021367244888164	0.00185016372606637	0.831684557991263	0.00672564923837758
Deltaproteobacteria	1.484	0.425	1.525	0.536	1.354	0.201	0.440500370408566	0.897914068480073	0.509733287088116	0.422461936123379	0.627122607697376	2.22968528194899e-14	0.440500370408566	0.998815044225214	0.539717598093299	0.475269678138801	0.831684557991263	8.02686701501638e-13
Clostridia	3.856	0.429	3.797	0.63	2.103	0.441	1.20220653901024e-26	0.834767170078747	1.66533453693773e-15	1.27675647831893e-14	0.997405642092284	0.00226295942817514	1.44264784681229e-25	0.998815044225214	1.99840144432528e-14	1.53210777398272e-13	0.997405642092284	0.00407332697071525
Chloroflexia	0.183	0.263	0.12	0.238	0	0	0.0178042259824292	0.44887428638284	0.0166989201016635	0.263180709814949	0.553106539390603	0.00906366055387132	0.027867484146411	0.998815044225214	0.0300580561829943	0.338375198333506	0.831684557991263	0.0120848807384951
Deinococci	0.839	0.422	1.606	0.444	0.652	0.487	3.50140357907446e-14	3.10196313080269e-13	0.25143732708509	2.62763255598486e-10	0.22029739552549	0.0506407442153604	1.80072184066686e-13	1.11670672708897e-11	0.274295265911008	1.18243465019319e-09	0.831684557991263	0.0569708372422805
Mollicutes	1.091	0.247	1.425	0.403	2.039	0.228	1.95404398296019e-24	4.84779487774922e-07	2.99760216648792e-15	4.71814365354817e-10	0.592709049902394	0.999834255950658	1.75863958466417e-23	5.81735385329907e-06	2.69784194983913e-14	1.88725746141927e-09	0.831684557991263	0.999834255950658
Flavobacteriia	1.257	0.333	1.49	0.292	1.737	0.122	2.65289377418797e-08	0.00167442190877054	1.57159621982927e-07	0.0320555625342317	0.660127532519188	0.00629377768018362	7.95868132256391e-08	0.0150697971789349	5.65774639138539e-07	0.0549523929158258	0.831684557991263	0.00944066652027543
Synergistia	0.4	0.35	0.396	0.45	0.05	0.201	0.00174040805512248	0.998815044225214	0.00128073385896532	0.00738140101569285	0.883922154460532	7.47172315036483e-08	0.00298355666592424	0.998815044225214	0.00271214228957362	0.0147628020313857	0.909177073159405	3.59557569525131e-07
Opitutae	0.187	0.268	0.129	0.277	0.05	0.201	0.124568266162795	0.556595223667069	0.133807278577629	0.607176541838498	0.442649385925167	0.00899593096160905	0.135892653995776	0.998815044225214	0.160568734293154	0.607176541838498	0.831684557991263	0.0120848807384951
Spirochaetia	0.941	0.379	1.127	0.492	0.876	0.37	0.0636127825238821	0.0824906120918796	0.824457953538854	0.120446302347993	0.69307046499272	2.36183724263347e-07	0.0789675920986122	0.329962448367518	0.848013895068535	0.18066945352199	0.831684557991263	8.50261407348051e-07
Acidobacteriia	0.393	0.361	0.363	0.476	0	0	0.00057148702404824	0.925396168838327	0.000352275827861459	0.00570432379394048	0.811854116939502	1.20876499580323e-09	0.00137156885771578	0.998815044225214	0.000905852128786609	0.0120797445048151	0.893380800754032	1.08788849622291e-08
Actinobacteria	2.6	0.54	2.486	0.588	1.042	0.432	3.95505725016403e-19	0.584720799958296	2.16493489801906e-14	8.04911692853238e-14	0.143538166980715	0.000110896611302703	2.8476412201181e-18	0.998815044225214	1.55875312657372e-13	7.24420523567915e-13	0.831684557991263	0.00028516271477838
Chlamydiia	0.172	0.353	0.118	0.232	0	0	0.11816438802374	0.704655519387095	0.107992098603089	0.453257195063832	0.789869208357785	0.043808222104119	0.132934936526708	0.998815044225214	0.134059156886593	0.494462394615089	0.893380800754032	0.0508740643789769
Negativicutes	1.51	0.639	1.418	0.883	0.267	0.436	1.75940630776274e-09	0.79977891468116	7.86354203974327e-10	7.49012594614129e-07	0.470851789775812	1.27678628997228e-08	6.33386270794585e-09	0.998815044225214	3.9404144946964e-09	2.69644534061086e-06	0.831684557991263	7.66071773983369e-08
Dehalococcoidia	0.198	0.28	0.358	0.458	0	0	0.00132570700900477	0.0453285973123999	0.0486242596649127	0.000925599450464887	0.611681713454779	0.000174481566286591	0.00248999469203297	0.233118500463771	0.0700189339174743	0.00238011287262399	0.831684557991263	0.000418755759087818
Alphaproteobacteria	1.435	0.421	1.565	0.462	1.417	0.257	0.317114811299296	0.311910384173599	0.986594170974583	0.494998438280785	0.495430208823047	4.48231486251358e-14	0.326175234479276	0.863751833096119	0.986594170974583	0.524115993473773	0.831684557991263	8.06816675252445e-13
Gloeobacteria	0.128	0.216	0.114	0.263	0	0	0.0896576138092139	0.946301853615251	0.0722819403442952	0.213556086134323	0.671287413126465	0.00674701436684622	0.104118519262313	0.998815044225214	0.0929339232998082	0.295693042339831	0.831684557991263	0.00971570068825856
Erysipelotrichia	1.642	0.458	1.576	0.618	0.319	0.468	4.43093964676068e-17	0.805556023123731	2.80886425230165e-14	7.34856619999391e-13	0.316029477166573	6.05983392802248e-05	2.65856378805641e-16	0.998815044225214	1.68531855138099e-13	4.82480722041601e-12	0.831684557991263	0.000167810785699084
Phycisphaerae	0.138	0.245	0.107	0.234	0	0	0.0853666481578613	0.806356983220753	0.0704420149471627	0.300700660870542	0.860078641075205	0.00333723704203916	0.102439977789434	0.998815044225214	0.0929339232998082	0.373283579011708	0.909177073159405	0.00546093334151863
Chrysiogenetes	0.102	0.201	0.23	0.288	0	0	0.00138333038446276	0.0126883558115745	0.171159733063588	0.00167680697739658	0.0927928873022123	0.000616104600276323	0.00248999469203297	0.0913561618433361	0.198766141622231	0.0040243367457518	0.831684557991263	0.0013046920947028
Epsilonproteobacteria	1.236	0.501	1.46	0.706	0.25	0.413	5.49154088567154e-11	0.131599304878337	8.75647665488088e-10	1.2362011414524e-10	0.358578112218264	5.34270882305225e-07	2.19661635426862e-10	0.473757497562013	3.9404144946964e-09	6.35760587032662e-10	0.831684557991263	1.60281264691568e-06
Betaproteobacteria	1.42	0.419	1.433	0.618	1.136	0.205	0.0579047846047655	0.990187854176005	0.0527256770966219	0.0915788892369802	0.563774637388229	7.33669416694873e-09	0.0744490087775556	0.998815044225214	0.0730047836722457	0.143340870110056	0.831684557991263	5.28241980020308e-08
Bacteroidia	4.321	0.376	4.073	0.586	2.088	0.536	1.31627025668507e-38	0.0270277844053348	1.66533453693773e-15	1.66533453693773e-15	0.818932400691196	0.00222498198868679	2.36928646203312e-37	0.162166706432009	1.99840144432528e-14	2.99760216648792e-14	0.893380800754032	0.00407332697071525
Planctomycetia	0.362	0.333	0.384	0.41	0.035	0.141	0.00128772824454547	0.95047998833751	0.0012154971107069	0.00333424258529813	0.678587966771055	2.23441485776861e-07	0.00248999469203297	0.998815044225214	0.00271214228957362	0.00750204581692079	0.831684557991263	8.50261407348051e-07
Cytophagia	0.752	0.367	0.66	0.505	0.39	0.366	0.00367027166213621	0.524741633207001	0.00268643891702325	0.0808383247373103	0.555988156048355	0.00268448382333153	0.00600589908349562	0.998815044225214	0.0053728778340465	0.13228089502469	0.831684557991263	0.00460197226856833
Thermodesulfobacteria	0.19	0.236	0.137	0.224	0.045	0.179	0.0477932022306285	0.511568626840392	0.0470742934574132	0.396435663654283	0.0381127056562175	0.845955536647388	0.063724269640838	0.998815044225214	0.0700189339174743	0.475269678138801	0.831684557991263	0.870125694837313
Unclassified	2.896	0.128	2.875	0.153	2.229	0.129	9.18316579061027e-39	0.735065434975625	1.66533453693773e-15	1.66533453693773e-15	0.289809937486518	0.434775011738188	2.36928646203312e-37	0.998815044225214	1.99840144432528e-14	2.99760216648792e-14	0.831684557991263	0.460350012428669
Deferribacteres	0.138	0.211	0.1	0.178	0	0	0.0286334928616296	0.617913878779664	0.023754242487157	0.230420756996118	0.530285761133665	0.0121839060389821	0.0412322297207467	0.998815044225214	0.0407215585494119	0.307227675994824	0.831684557991263	0.0156650220501199
Gammaproteobacteria	4.854	0.148	4.847	0.251	5.065	0.007	1.92636783263519e-05	0.98161333022571	1.57019307900352e-05	0.000140588382982587	0.344282616921247	3.53933259038525e-07	4.95351728391905e-05	0.998815044225214	4.34822698800976e-05	0.000421765148947761	0.831684557991263	1.15832702958063e-06
Aquificae	0.152	0.235	0.121	0.242	0	0	0.0436540528027154	0.799357319875632	0.0339024209358718	0.19640595051569	0.241885521015162	0.0136610668507367	0.0604440731114521	0.998815044225214	0.0554766888041539	0.282824568742594	0.831684557991263	0.0169585657457421
Sphingobacteriia	0.697	0.391	0.581	0.457	0.035	0.141	2.09024252720142e-08	0.341827263397137	9.03526864437509e-09	4.3664211024308e-05	0.529204956433535	0.000461205839643863	6.84079372538645e-08	0.878984391592638	3.61410745775004e-08	0.000142901054261371	0.831684557991263	0.00103771313919869
Chlorobia	0.619	0.394	0.432	0.493	0.081	0.224	5.54057631544163e-06	0.0779371568919025	5.8588870383014e-06	0.0169142412057343	0.611722910229037	7.99016821166957e-08	1.53431344119922e-05	0.329962448367518	1.75766611149042e-05	0.0320480359687596	0.831684557991263	3.59557569525131e-07
Verrucomicrobiae	1.86	1.218	1.615	1.282	0.633	0.716	0.000862241226533113	0.600131237524014	0.000538441743432316	0.0245925829573023	0.202067439216098	1.25252562188564e-11	0.0019400427596995	0.998815044225214	0.00129226018423756	0.0442666493231441	0.831684557991263	1.50303074626277e-10
