Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Viruses_noname	0.15471784018103	0	0	0.515694502780487	0.592111117716982	0.717908020563368	1	0.547967596865238	0.999824597780446	0.687592670373982	0.988285755840166	0.896350322235642	1	0.746823564200043	0.999824597780446
Deltaproteobacteria	0.320365331750216	0.177054709483501	0	0.0224445526106574	0.828713806402649	0.554396112220922	0.874716805177277	0.725776182549534	0.000279889898634657	0.0384763759039841	0.988285755840166	0.896350322235642	1	0.791755835508583	0.000839669695903972
Actinobacteria	1.13398506156711	0.945665664100936	0	0.00107852086927953	0.909086687543315	0.118464312348825	0.329957326859311	0.189570852554282	0.000554019094691715	0.00431408347711811	0.988285755840166	0.325076291934147	0.791897584462346	0.746823564200043	0.00132964582726012
Methanobacteria	0.122484749125543	0	0	0.78941153363762	0.703496343835005	0.800711276007747	1	0.129983130262838	0.589759723846064	0.799309915133495	0.988285755840166	0.896350322235642	1	0.746823564200043	0.786346298461418
Gammaproteobacteria	1.33078237089687	3.02010738301749	0.90537975918789	0.00528066491765278	0.0126828510272239	0.832971076326613	0.0395333329734064	0.511554372255382	0.00296012285019599	0.0105613298353056	0.152194212326687	0.896350322235642	0.158133331893626	0.746823564200043	0.00592024570039198
Bacilli	0.417250505978051	0	0	0.401772566872253	0.282582990323799	0.448634852255501	1	0.542421024120715	1.75475051723161e-08	0.602658850308379	0.988285755840166	0.896350322235642	1	0.746823564200043	2.10570062067794e-07
Negativicutes	1.11903337029704	0.844814599881673	0	0.00242355829693304	0.823649548368848	0.135448454972561	0.426222345246618	0.622352970166703	1.10669993231003e-06	0.00727067489079911	0.988285755840166	0.325076291934147	0.852444690493235	0.746823564200043	6.64019959386017e-06
Betaproteobacteria	0.119892973941374	0	0	0.759029435509606	0.70768342400618	0.803723900429916	1	0.939667250241217	0.823453352704934	0.799309915133495	0.988285755840166	0.896350322235642	1	0.939667250241217	0.98814402324592
Bacteroidia	6.31289435457093	5.82935189991014	0	1.73172311620247e-19	0.500575350997146	7.88258347483861e-15	3.1641356201817e-14	0.62197340270981	0.284250732662959	2.07806773944297e-18	0.988285755840166	9.45910016980633e-14	3.79696274421804e-13	0.746823564200043	0.426376098994439
Verrucomicrobiae	1.64515522079336	1.56283146522423	0	0.00508429766985129	0.988285755840166	0.0561974135671447	0.143739785307799	0.264233678655102	2.33664056486489e-05	0.0105613298353056	0.988285755840166	0.224789654268579	0.431219355923398	0.746823564200043	9.34656225945956e-05
Clostridia	5.87989093956298	5.54814137305579	0	8.0252048911685e-19	0.748987069263464	2.88657986402541e-14	3.0098146197588e-13	0.619690240231875	0.00836445920271726	4.8151229347011e-18	0.988285755840166	1.73194791841524e-13	1.80588877185528e-12	0.746823564200043	0.0143390729189439
Synergistia	0.0455414183062529	0	0	0.799309915133495	0.840905651326766	0.896350322235642	1	0.327165594983856	0.971435235214311	0.799309915133495	0.988285755840166	0.896350322235642	1	0.746823564200043	0.999824597780446
