Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Viruses_noname	0.155	0.882	0	0	0	0	0.516	0.592	0.718	1	0.548	1	0.737142857142857	0.988	0.896	1	0.7464	1	0.012	0.012
Deltaproteobacteria	0.32	1.273	0.177	0.937	0	0	0.0224	0.829	0.554	0.875	0.726	0.00028	0.0448	0.988	0.896	1	0.792	0.00084	0.054	0.272
Actinobacteria	1.134	2.286	0.946	2.067	0	0	0.00108	0.909	0.118	0.33	0.19	0.000554	0.0108	0.988	0.324	0.792	0.7464	0.0013296	0.096	0.35
Methanobacteria	0.122	0.858	0	0	0	0	0.789	0.703	0.801	1	0.13	0.59	0.799	0.988	0.896	1	0.7464	0.786666666666667	0.017	0.156
Gammaproteobacteria	1.331	2.587	3.02	3.322	0.905	2.474	0.00528	0.0127	0.833	0.0395	0.512	0.00296	0.0132	0.1524	0.896	0.158	0.7464	0.00592	0.061	0.297
Bacilli	0.417	1.524	0	0	0	0	0.402	0.283	0.449	1	0.542	1.75e-08	0.67	0.988	0.896	1	0.7464	2.1e-07	0.009	0.633
Negativicutes	1.119	2.32	0.845	2.11	0	0	0.00242	0.824	0.135	0.426	0.622	1.11e-06	0.0121	0.988	0.324	0.852	0.7464	6.66e-06	0.069	0.469
Betaproteobacteria	0.12	0.841	0	0	0	0	0.759	0.708	0.804	1	0.94	0.823	0.799	0.988	0.896	1	0.94	0.9876	0.004	0.105
Bacteroidia	6.313	2.023	5.829	2.439	0	0	<2e-16	0.501	7.88e-15	3.16e-14	0.622	0.284	NA	0.988	9.456e-14	3.792e-13	0.7464	0.426	0.504	0.561
Verrucomicrobiae	1.645	2.789	1.563	2.76	0	0	0.00508	0.988	0.0562	0.144	0.264	2.34e-05	0.0132	0.988	0.2248	0.432	0.7464	9.36e-05	0.068	0.399
Clostridia	5.88	2.133	5.548	2.651	0	0	<2e-16	0.749	2.89e-14	3.01e-13	0.62	0.00836	NA	0.988	1.734e-13	1.806e-12	0.7464	0.0143314285714286	0.459	0.611
Synergistia	0.046	0.453	0	0	0	0	0.799	0.841	0.896	1	0.327	0.971	0.799	0.988	0.896	1	0.7464	1	0.01	0.012
