Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Viruses_noname	0.155	0.882	0	0	0	0	0.514810774400685	0.592111117716982	0.717908020563368	1	0.547433569400003	0.999824597780446	0.704054975982311	0.988285755840166	0.896350322235642	1	0.836600089737433	0.999824597780446
Deltaproteobacteria	0.32	1.273	0.177	0.937	0	0	0.538321926777381	0.828713806402649	0.554396112220922	0.874716805177277	0.766883415592647	0.000279889898634657	0.704054975982311	0.988285755840166	0.896350322235642	1	0.836600089737433	0.000839669695903972
Actinobacteria	1.134	2.286	0.946	2.067	0	0	0.14161721176185	0.909086687543315	0.118464312348825	0.329957326859311	0.260526513374593	0.000554019094691715	0.310777996627961	0.988285755840166	0.325076291934147	0.791897584462346	0.836600089737433	0.00132964582726012
Methanobacteria	0.122	0.858	0	0	0	0	0.640548157966503	0.703496343835005	0.800711276007747	1	0.154266394455753	0.589759723846064	0.704054975982311	0.988285755840166	0.896350322235642	1	0.836600089737433	0.786346298461418
Gammaproteobacteria	1.331	2.587	3.02	3.322	0.905	2.474	0.0100779627247308	0.0126828510272239	0.832971076326613	0.0395333329734064	0.562361999166263	0.00296012285019599	0.0403118508989232	0.152194212326687	0.896350322235642	0.158133331893626	0.836600089737433	0.00592024570039198
Bacilli	0.417	1.524	0	0	0	0	0.201244678509935	0.282582990323799	0.448634852255501	1	0.698735235389729	1.75475051723161e-08	0.344990877445602	0.988285755840166	0.896350322235642	1	0.836600089737433	2.10570062067794e-07
Negativicutes	1.119	2.32	0.845	2.11	0	0	0.15538899831398	0.823649548368848	0.135448454972561	0.426222345246618	0.722537802005118	1.10669993231003e-06	0.310777996627961	0.988285755840166	0.325076291934147	0.852444690493235	0.836600089737433	6.64019959386017e-06
Betaproteobacteria	0.12	0.841	0	0	0	0	0.645383727983785	0.70768342400618	0.803723900429916	1	0.94356607242144	0.823453352704934	0.704054975982311	0.988285755840166	0.896350322235642	1	0.94356607242144	0.98814402324592
Bacteroidia	6.313	2.023	5.829	2.439	0	0	2.02486257336481e-21	0.500575350997146	7.88258347483861e-15	3.1641356201817e-14	0.638509631881341	0.284250732662959	2.42983508803777e-20	0.988285755840166	9.45910016980633e-14	3.79696274421804e-13	0.836600089737433	0.426376098994439
Verrucomicrobiae	1.645	2.789	1.563	2.76	0	0	0.0688201727233348	0.988285755840166	0.0561974135671447	0.143739785307799	0.360224223125397	2.33664056486489e-05	0.206460518170004	0.988285755840166	0.224789654268579	0.431219355923398	0.836600089737433	9.34656225945956e-05
Clostridia	5.88	2.133	5.548	2.651	0	0	9.1935631820933e-18	0.748987069263464	2.88657986402541e-14	3.0098146197588e-13	0.662563648472026	0.00836445920271726	5.51613790925598e-17	0.988285755840166	1.73194791841524e-13	1.80588877185528e-12	0.836600089737433	0.0143390729189439
Synergistia	0.046	0.453	0	0	0	0	0.803012571197382	0.840905651326766	0.896350322235642	1	0.326643618166377	0.971435235214311	0.803012571197382	0.988285755840166	0.896350322235642	1	0.836600089737433	0.999824597780446
