Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Actinobacteria	3.02394728857622	0.469	2.8179167905067	2.818	0.000477	0.332	0.000523	0.001272	0.7146	0.000713181818181818	0.044	0.237
Alphaproteobacteria	1.36130293224622	0.821	1.4742308086613	1.474	0.216	0.0118	<2e-16	0.3744	0.1062	NA	0.015	0.562
Bacilli	2.99445158195529	0.659	3.64799642386341	3.648	3.31e-16	0.397	5.24e-07	5.296e-15	0.7146	8.73333333333333e-07	0.194	0.437
Bacteroidia	4.74767474269304	0.216	4.72508125733057	4.725	0.308	0.0522	0.00286	0.410666666666667	0.3132	0.003575	0.017	0.186
Betaproteobacteria	2.81220919194722	0.867	2.87890671626044	2.879	0.279	0.0041	<2e-16	0.405818181818182	0.0738	NA	0.012	0.702
Chloroplast	0.749593111272956	0.753	0.248835232367186	0.249	1.21e-09	0.846	0.196	6.45333333333333e-09	0.92	0.196	0.139	0.201
Clostridia	4.82764330324452	0.164	4.81517043306815	4.815	0.509	0.541	0.00379	0.576	0.8115	0.00437307692307692	0.003	0.174
Deinococci	0.205663623690065	0.395	1.57827130643914	1.578	<2e-16	0.0855	0.121	NA	0.31536	0.129642857142857	0.477	0.522
Deltaproteobacteria	1.91215851267059	1.024	1.9343724661672	1.934	0.498	0.59	<2e-16	0.576	0.816923076923077	NA	0.001	0.672
Epsilonproteobacteria	0.333677169836253	0.49	1.48194469110994	1.482	<2e-16	0.369	1.04e-05	NA	0.7146	1.56e-05	0.303	0.486
Erysipelotrichia	3.18929933604558	0.578	3.22229517187849	3.222	0.54	0.0876	3.2e-07	0.576	0.31536	6e-07	0.01	0.313
Flavobacteria	0.456998615845446	0.548	0.460543061291808	0.461	0.87	0.917	1.3e-08	0.87	0.92	3.25e-08	0	0.342
Fusobacteria	0.616523830039232	0.975	1.21165320663556	1.212	3.16e-09	0.451	2.69e-13	1.264e-08	0.738	1.345e-12	0.082	0.508
Gammaproteobacteria	1.68764577904483	1.086	2.36122846576582	2.361	1.8e-10	0.92	1.09e-11	1.44e-09	0.92	3.27e-11	0.102	0.472
Negativicutes	3.5367730520347	0.577	3.32239906215529	3.322	1.7e-05	0.779	7.77e-13	5.44e-05	0.92	2.91375e-12	0.045	0.459
Sphingobacteria	0.286051532049255	0.506	0.351210648018527	0.351	0.234	0.79	2.17e-08	0.3744	0.92	4.65e-08	0.004	0.338
Synergistia	0.541729130554328	0.781	0.66022778755837	0.66	0.114	0.391	1.17e-14	0.228	0.7146	8.775e-14	0.007	0.471
Verrucomicrobiae	1.54928148904727	1.22	1.19861058960978	1.199	0.00302	0.366	5.82e-15	0.00690285714285714	0.7146	8.73e-14	0.021	0.489
