Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acidaminococcaceae	2.94334130356892	2.72814404736948	0.000807317530096293	0.597494612318336	4.21281104052576e-41	0.00203953902340116	0.934167588221806	6.74049766484122e-40
Actinomycetaceae	1.34237000044221	1.32702649421564	0.914886859852963	0.882213250860543	0.054937984030223	0.914886859852963	0.954209156100697	0.0659255808362676
Aerococcaceae	0.169299523072988	0.325970940205988	0.00948273157244834	0.768546390687719	0.341186724561178	0.0206895961580691	0.954209156100697	0.341186724561178
Bacillaceae_1	1.86612049746299	3.33801190531797	7.83582335694816e-35	0.308712080989861	0.132715152122252	1.88059760566756e-33	0.881866097680244	0.148147146555072
Bacillales_Incertae_Sedis_XI	0.701968260376009	0.510440039007983	0.0474855755360498	0.716642114279086	0.266148468337059	0.0876656779127074	0.954209156100697	0.277720140873453
Bacteroidaceae	4.56357699807979	4.51207230125445	0.0543135068589431	0.335822188587088	1.19972385835643e-12	0.0965573455270099	0.881866097680244	2.87933726005542e-12
Beijerinckiaceae	0.331237503801714	0.304248495940499	0.654281281447386	0.360606234794185	0.000358019589397967	0.697900033543878	0.881866097680244	0.000505439420326542
Bifidobacteriaceae	0.45115627109369	0.316513082865978	0.0248504538926275	0.812809752112697	1.32315634356984e-08	0.049700907785255	0.954209156100697	2.44275017274431e-08
Burkholderiaceae	0.425155002764765	0.499388224669631	0.292736139058049	0.408482718106888	0.000137686676068025	0.373224143906417	0.881866097680244	0.000213192272621458
Burkholderiales_incertae_sedis	0.696860551500785	0.702877819908317	0.850897116149455	0.696296917242506	1.85858506121988e-44	0.869340933639656	0.954209156100697	8.9212082938554e-43
Campylobacteraceae	0.330545419946287	1.48462108320434	5.99955474832112e-24	0.339329644468176	1.54510908440537e-05	5.75957255838827e-23	0.881866097680244	2.47217453504859e-05
Carnobacteriaceae	0.791555504106114	0.320385379631303	5.11641535554836e-11	0.466168471850931	0.00320237774485545	2.76987469555197e-10	0.895043465953787	0.0042698369931406
Chloroplast	0.750594374793123	0.250366543049176	1.31479604137128e-09	0.828780564849892	0.184731267964237	5.25918416548513e-09	0.954209156100697	0.19704668582852
Clostridiaceae_1	1.41477509426309	1.03345766925155	0.00024673135289508	0.793440092465025	2.64796832957127e-17	0.000657950274386881	0.954209156100697	9.07874855853005e-17
Clostridiales_Incertae_Sedis_XI	0.883617476881875	2.88712569038624	2.75457152831494e-49	0.149410021925249	0.01515408988809	1.32219433359117e-47	0.881866097680244	0.0191420082796926
Clostridiales_Incertae_Sedis_XII	1.40324444650917	0.937859307282565	3.62009849328082e-10	0.00271714747280526	6.19102011084207e-27	1.57967934252254e-09	0.130423078694653	3.71461206650524e-26
Clostridiales_Incertae_Sedis_XIII	2.17550737022578	2.07631631118302	0.119881911121056	0.289284378382173	4.31057934322751e-10	0.172781468372329	0.881866097680244	8.62115868645501e-10
