Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
.Barnesiellaceae.	1.123	0.912	1.023	0.887	0.0096	0.19	4.98e-55	0.0208941176470588	0.723181818181818	9.213e-54	0.006	0.863
.Mogibacteriaceae.	0.899	0.523	1.045	0.591	0.0332	0.832	3.79e-11	0.06253	0.988428571428572	6.67761904761905e-11	0.012	0.446
.Odoribacteraceae.	1.301	0.632	1.262	0.621	0.125	0.993	3.32e-30	0.185	0.993	3.071e-29	0.003	0.698
.Paraprevotellaceae.	0.589	0.966	0.517	0.814	0.271	0.611	7.48e-65	0.3441	0.988428571428572	2.7676e-63	0.001	0.901
.Tissierellaceae.	0.173	0.226	1.725	0.804	6.77e-46	0.663	0.142	2.5049e-44	0.988428571428572	0.159212121212121	0.633	0.666
Actinomycetaceae	0.469	0.386	0.492	0.566	0.69	0.2	0.0241	0.729428571428571	0.723181818181818	0.030748275862069	0.007	0.15
Alcaligenaceae	1.557	0.847	1.634	0.779	0.0609	0.0228	3.07e-33	0.102422727272727	0.2812	3.78633333333333e-32	0.011	0.728
Bacillaceae	0.722	0.432	2.177	0.869	3.41e-37	0.189	0.0435	6.3085e-36	0.723181818181818	0.05365	0.536	0.595
Bacteroidaceae	3.427	0.292	3.371	0.29	0.102	0.249	4.16e-11	0.15725	0.76775	6.99636363636364e-11	0.011	0.444
Campylobacteraceae	0.041	0.128	0.72	0.762	1.1e-17	0.639	0.0552	1.0175e-16	0.988428571428572	0.0658838709677419	0.275	0.365
Carnobacteriaceae	0.205	0.281	0.036	0.113	1.15e-09	0.739	0.0193	4.255e-09	0.988428571428572	0.0255035714285714	0.141	0.274
Christensenellaceae	0.755	0.648	0.594	0.568	0.000536	0.198	6.44e-19	0.00132213333333333	0.723181818181818	1.702e-18	0.027	0.59
Clostridiaceae	1.522	0.593	1.488	0.544	0.545	0.579	6.35e-13	0.611060606060606	0.988428571428572	1.38205882352941e-12	0.002	0.473
Comamonadaceae	0.296	0.515	0.311	0.504	0.721	0.453	1.43e-19	0.741027777777778	0.988428571428572	4.07e-19	0.001	0.576
Coriobacteriaceae	1.61	0.525	1.355	0.363	2.19e-06	0.555	0.000326	6.23307692307692e-06	0.988428571428572	0.000446740740740741	0.08	0.294
Corynebacteriaceae	0.006	0.041	0.427	0.549	3.08e-13	0.92	1	1.89933333333333e-12	0.988428571428572	1	0.225	0.225
Desulfovibrionaceae	0.995	0.653	0.956	0.59	0.416	0.915	4.53e-26	0.496516129032258	0.988428571428572	2.39442857142857e-25	0.001	0.664
Enterobacteriaceae	0.534	0.645	1.1	0.877	4.87e-12	0.984	3.58e-12	2.57414285714286e-11	0.993	6.97157894736842e-12	0.128	0.511
Erysipelotrichaceae	1.927	0.575	2.018	0.39	0.134	0.129	3.64e-15	0.190692307692308	0.723181818181818	8.97866666666667e-15	0.01	0.516
Fusobacteriaceae	0.215	0.627	0.505	0.751	6.84e-08	0.835	2.45e-22	2.109e-07	0.988428571428572	9.065e-22	0.051	0.663
Gemellaceae	0.171	0.279	0.169	0.413	0.971	0.759	1	0.971	0.988428571428572	1	0	0
Lachnospiraceae	3.281	0.195	3.224	0.249	0.0554	0.0136	0.59	0.0976095238095238	0.2516	0.623714285714286	0.042	0.072
Lactobacillaceae	0.28	0.435	0.305	0.444	0.495	0.935	2.21e-11	0.57234375	0.988428571428572	4.0885e-11	0.001	0.422
Pasteurellaceae	0.212	0.418	0.158	0.35	0.166	0.502	1.14e-06	0.227481481481482	0.988428571428572	1.62230769230769e-06	0.007	0.339
Peptococcaceae	0.424	0.478	0.411	0.488	0.279	0.0106	9.13e-23	0.3441	0.2516	3.75344444444444e-22	0.013	0.633
Peptostreptococcaceae	0.063	0.153	0.477	0.669	6.05e-10	0.681	0.116	2.48722222222222e-09	0.988428571428572	0.134125	0.154	0.234
Porphyromonadaceae	1.588	0.83	1.759	0.769	0.0197	0.309	1.18e-28	0.0404944444444444	0.879461538461539	8.732e-28	0.01	0.685
Prevotellaceae	0.748	1.053	1.671	1.06	1.75e-17	0.533	8.72e-20	1.295e-16	0.988428571428572	2.68866666666667e-19	0.15	0.653
Rikenellaceae	2.18	0.612	1.848	0.643	2.19e-11	0.831	9.49e-27	1.012875e-10	0.988428571428572	5.85216666666667e-26	0.077	0.683
Ruminococcaceae	3.175	0.294	3.115	0.307	0.0338	0.466	8.24e-08	0.06253	0.988428571428572	1.21952e-07	0.015	0.378
S24_7	0.313	0.668	0.434	0.742	0.0647	0.334	9.4e-24	0.104082608695652	0.882714285714286	4.3475e-23	0.007	0.639
Streptococcaceae	1.577	0.687	1.682	0.67	0.182	0.89	1.07e-08	0.2405	0.988428571428572	1.64958333333333e-08	0.005	0.386
Thermaceae	0.045	0.152	0.717	0.644	1.1e-21	0.13	0.169	1.35666666666667e-20	0.723181818181818	0.183911764705882	0.348	0.404
Turicibacteraceae	0.316	0.548	0.137	0.26	0.000117	0.0925	1.33e-13	0.000309214285714286	0.723181818181818	3.075625e-13	0.042	0.511
Unassigned	2.839	0.293	2.865	0.295	0.599	0.854	1.44e-10	0.651852941176471	0.988428571428572	2.31652173913043e-10	0.001	0.443
Veillonellaceae	2.362	0.505	2.094	0.501	4.33e-08	0.558	7.26e-20	1.45645454545455e-07	0.988428571428572	2.442e-19	0.061	0.614
Verrucomicrobiaceae	0.771	0.854	0.552	0.647	0.00302	0.215	1.39e-12	0.00698375	0.723181818181818	2.85722222222222e-12	0.026	0.479
