Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Eubacteriaceae	2.95954966300549	2.7664906565827	0.720078137286896	1.19361375192452e-23	0.36411333857627	2.33146835171283e-15	2.96429547574917e-14	0.638187792474947	1.00684931854045e-06	2.87793537964024e-22	0.999987044159195	5.62142924801871e-14	6.06676325338123e-13	0.98413710812345	6.62079703403869e-06
Desulfohalobiaceae	0.0454288049964206	0.0274471605165025	0	0.295688353107475	0.738772072129109	0.298952646396545	0.719666271112008	0.65951954473935	2.64406960731047e-05	0.356468736801789	0.999987044159195	0.463376601914645	0.821934635954241	0.98413710812345	0.000102457697283281
Spirochaetaceae	0.850461199007021	1.02488650372523	0.809599077076861	0.0934579171559342	0.101708049326712	0.922120722374373	0.194823881477034	0.859241870105491	1.05348916911401e-08	0.154284910506663	0.633094579679731	0.952858079786852	0.332888049452885	0.99425665600923	1.42879468561088e-07
Rubrobacteraceae	0.0944423052851321	0.131779645506178	0	0.114615244392328	0.665129843677653	0.19697254455517	0.0981841768170912	0.592854062841002	0.109754043706166	0.177653628808109	0.999987044159195	0.350537305863255	0.195467581369805	0.98413710812345	0.160923158677285
Beijerinckiaceae	0.0510908084712278	0.087185759788755	0.285833147662681	0.000114702506472435	0.671322374487041	6.27894808554741e-05	0.00477765976356581	0.812493038219245	0.999890438129623	0.000541096606619967	0.999987044159195	0.000353007646460356	0.0185134315838175	0.99425665600923	0.999992249420043
Comamonadaceae	0.646701297464172	0.857044990511804	0.964008030187136	0.00324586138553973	0.0467329293192018	0.0130247915805659	0.683619147101666	0.858702017877336	4.63825983658861e-07	0.00939135894216163	0.460956621012127	0.0371892075392474	0.804494407190867	0.99425665600923	3.4706978777232e-06
Cyclobacteriaceae	0.103004397462077	0.0648408598574367	0	0.106812226619414	0.607386217537409	0.10550576367819	0.511639726711019	0.407666735184415	0.169514297891064	0.16675002285189	0.999987044159195	0.219949292120882	0.65670772701944	0.98413710812345	0.234296832116948
Bifidobacteriaceae	1.93005174668966	1.83861933722293	0.347531132303426	3.9175161114418e-14	0.799544919051685	4.69624339416441e-14	1.72558412003809e-10	0.323262124223595	9.71742337440077e-06	4.04809998182319e-13	0.999987044159195	5.66158231407599e-13	2.34032346280166e-09	0.98413710812345	4.48655504732972e-05
Xanthomonadaceae	0.45199284103991	0.526058884891388	0.302487882048545	0.198081850920699	0.655953911610338	0.340803115857944	0.170982908649756	0.245145629157049	5.31586264188383e-06	0.276354671202875	0.999987044159195	0.488537137365823	0.304125337516368	0.98413710812345	2.62168680292907e-05
Colwelliaceae	0.00754144612163972	0.0256579390710526	0	0.257593075001674	0.307423338653226	0.877676591335084	0.331352600046324	0.398063622332178	0.999922522920375	0.324986612066066	0.999987044159195	0.941912101123733	0.495886304896913	0.98413710812345	0.999992249420043
Syntrophobacteraceae	0.0673370043756672	0.149525522934599	0	0.0224530866589904	0.0855529177194088	0.347392994605709	0.0236345612075272	0.561758223982508	0.0627591430684919	0.0518331894149033	0.598870424035861	0.488537137365823	0.0666064906757584	0.98413710812345	0.0979765039270701
Prevotellaceae	1.69857977976149	2.00226804876987	0.505838599324267	1.54871773519637e-09	0.124791308640587	2.55387424541453e-08	2.24165297435519e-09	0.615179729421712	1.83341740815208e-09	1.40029895224005e-08	0.660480828658718	2.40952483154328e-07	2.70243719686154e-08	0.98413710812345	3.46300129268053e-08
Desulfarculaceae	0.224088197510459	0.182744321639796	0.168826088002821	0.684790144705827	0.79407791864683	0.771145612434891	0.987855216910708	0.415100913899405	1.60115677597124e-06	0.707616482862688	0.999987044159195	0.872292858984169	1	0.98413710812345	9.65141723293778e-06
