Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Eubacteriaceae	3.71465086039377	0.372	3.58744975615349	0.42	0.000924	0.786	9.32e-12	0.00358729411764706	0.979052631578948	5.07422222222222e-11	0.027	0.437
Spirochaetaceae	0.296989659794876	0.548	0.540736618170237	0.684	3.45e-05	0.127	2.59e-15	0.000162642857142857	0.644071428571429	7.3745e-14	0.043	0.5
Beijerinckiaceae	0.58815204261809	0.494	0.513942778308935	0.506	0.162	0.00176	1.34e-05	0.314470588235294	0.12496	2.98454545454545e-05	0.036	0.285
Comamonadaceae	0.835701903007996	1.042	0.838409389961224	1.064	0.548	0.575	<2e-16	0.695538461538462	0.947170212765957	NA	0.001	0.769
Cyclobacteriaceae	0.411967625221809	0.746	0.264806515677909	0.547	0.00119	0.0358	<2e-16	0.00436333333333333	0.363114285714286	NA	0.016	0.747
Bifidobacteriaceae	0.418041774516201	0.585	0.272828984625463	0.456	0.00942	0.77	9.92e-10	0.0270313043478261	0.979052631578948	2.85929411764706e-09	0.018	0.379
Acholeplasmataceae	0.800999617070096	1.032	0.7224079419221	0.837	0.262	0.406	<2e-16	0.4323	0.868705882352941	NA	0.003	0.68
Prevotellaceae	2.60451914262238	1.151	3.11124556734459	0.944	1.65e-09	0.251	<2e-16	1.815e-08	0.81428125	NA	0.06	0.658
Porphyromonadaceae	3.61571464813465	0.579	3.61751650086166	0.525	0.936	0.618	<2e-16	0.946	0.947170212765957	NA	0	0.583
Lachnospiraceae	4.29972959689574	0.205	4.27396186616507	0.251	0.358	0.0227	0.0225	0.50325	0.349083333333333	0.0290131578947368	0.022	0.149
Lactobacillaceae	1.30069408884435	0.811	1.25085919417628	0.806	0.562	0.346	1.54e-09	0.699849056603774	0.81428125	3.97157894736842e-09	0.003	0.365
Alcaligenaceae	0.156975889040043	0.319	0.148447123801881	0.309	0.804	0.92	0.00112	0.855870967741935	0.996	0.00182933333333333	0	0.19
Micrococcaceae	0.435178996386882	0.618	0.602789925296755	0.704	0.0261	0.996	0.00109	0.0638	0.996	0.00182933333333333	0.017	0.204
Actinomycetaceae	0.204980878366164	0.43	0.874022760019647	0.911	5.86e-13	0.759	0.0233	1.9338e-11	0.979052631578948	0.029274358974359	0.182	0.288
Staphylococcaceae	0.245066137286005	0.436	0.310606847599212	0.428	0.2	0.654	0.0032	0.347368421052632	0.947632653061225	0.00435555555555556	0.006	0.176
Desulfurobacteriaceae	0.201650203650079	0.305	0.0754960061457844	0.186	3.23e-05	0.365	0.00531	0.000162642857142857	0.81428125	0.00703216216216216	0.063	0.214
Acidobacteriaceae	0.235676110121705	0.409	0.149415563101498	0.317	0.000688	0.895	<2e-16	0.002838	0.996	NA	0.016	0.68
Coxiellaceae	0.395307730026021	0.887	0.436354841233688	0.935	0.366	0.938	<2e-16	0.50325	0.996	NA	0.001	0.827
Burkholderiaceae	0.626062359912691	0.698	0.749339490431022	0.757	0.0873	0.0796	7.29e-10	0.186929032258065	0.535727272727273	2.3814e-09	0.016	0.381
Methylobacteriaceae	0.552994151647525	0.635	0.444132246388137	0.562	0.0878	0.34	9.19e-10	0.186929032258065	0.81428125	2.8144375e-09	0.01	0.376
Nocardiopsaceae	0.194263099542836	0.302	0.168317102396525	0.286	0.459	0.623	0.117	0.60588	0.947170212765957	0.1365	0.003	0.09
Rhodobacteraceae	0.587437080113089	0.913	0.620996180173211	0.924	0.601	0.179	<2e-16	0.734555555555556	0.81428125	NA	0.003	0.624
Peptostreptococcaceae	2.46490096873335	0.701	2.5243176046072	0.545	0.356	0.262	1.72e-11	0.50325	0.81428125	8.428e-11	0.005	0.411
Caldilineaceae	0.243347143546335	0.447	0.134849230776117	0.273	0.0116	0.548	0.000238	0.0319	0.947170212765957	0.000448538461538462	0.022	0.233
Geodermatophilaceae	0.169267966680119	0.273	0.154432342561996	0.239	0.646	0.358	0.68	0.753789473684211	0.81428125	0.694166666666667	0.004	0.027
Rhodospirillaceae	0.254403329324474	0.392	0.248096929613384	0.367	0.917	0.751	6.83e-05	0.94565625	0.979052631578948	0.000145508695652174	0	0.235
Segniliparaceae	0.0402420337630765	0.32	0.686818110467169	0.837	4.56e-14	0.362	0.171	3.0096e-12	0.81428125	0.194860465116279	0.209	0.27
Bacillaceae	2.28296127855447	0.562	3.44452256205716	0.797	<2e-16	0.448	0.00129	NA	0.875027027027027	0.0019753125	0.419	0.527
Listeriaceae	0.188522850114075	0.369	0.226194473856817	0.31	0.36	0.0751	0.0708	0.50325	0.535727272727273	0.0846146341463415	0.015	0.115
Veillonellaceae	1.67431395043791	0.916	1.66014916820286	0.996	0.946	0.19	<2e-16	0.946	0.81428125	NA	0.003	0.547
Coriobacteriaceae	2.90822249526687	0.563	2.6200075214102	0.521	1.2e-05	0.688	0.00217	6.6e-05	0.957803921568627	0.003038	0.066	0.232
Erysipelotrichaceae	1.28064240997276	0.972	1.40510273154432	0.946	0.11	0.776	<2e-16	0.226875	0.979052631578948	NA	0.004	0.64
Corynebacteriaceae	0.319539876571151	0.537	1.55425142726525	1.024	<2e-16	0.977	0.00197	NA	0.996	0.00283911764705882	0.365	0.479
Ruminococcaceae	3.94012575441614	0.51	3.89926154186684	0.526	0.171	0.456	<2e-16	0.322457142857143	0.875027027027027	NA	0.003	0.684
Flavobacteriaceae	2.44981757923063	0.88	2.07073663258558	0.707	4.28e-07	0.00925	<2e-16	3.531e-06	0.328375	NA	0.067	0.542
Fibrobacteraceae	0.95511995192608	0.739	0.862729066927008	0.762	0.238	0.0295	<2e-16	0.402769230769231	0.349083333333333	NA	0.012	0.536
Geobacteraceae	2.33337861994204	0.628	2.02919483873792	0.544	5.12e-07	0.548	3.07e-12	3.75466666666667e-06	0.947170212765957	2.149e-11	0.063	0.458
Rikenellaceae	3.02278160843026	0.716	2.62776008255564	0.789	4.82e-08	0.672	<2e-16	4.54457142857143e-07	0.95424	NA	0.056	0.595
Peptococcaceae	1.33866892999682	0.713	1.17663097635711	0.597	0.0186	0.349	1.23e-08	0.0489923076923077	0.81428125	2.87e-08	0.018	0.355
Mycoplasmataceae	0.200010712640198	0.371	0.158265941170451	0.294	0.328	0.416	0.519	0.50325	0.868705882352941	0.541085106382979	0.007	0.041
Streptococcaceae	2.79599678725287	0.754	2.83627309714176	0.744	0.453	0.91	3.54e-12	0.60588	0.996	2.16825e-11	0.001	0.423
Saprospiraceae	0.421826484226809	0.701	0.406251472487785	0.645	0.801	0.985	<2e-16	0.855870967741935	0.996	NA	0	0.686
Blattabacteriaceae	0.545484295589389	0.721	0.487416861545628	0.577	0.348	0.0921	8.63e-15	0.50325	0.544925	1.40956666666667e-13	0.008	0.474
Propionibacteriaceae	0.229664293261542	0.432	0.337117324008079	0.451	0.0306	0.0669	0.00015	0.0721285714285714	0.535727272727273	0.000294	0.026	0.243
Dehalococcoidaceae	0.151055914916945	0.297	0.142791542221236	0.27	0.719	0.897	0.00129	0.804305084745763	0.996	0.0019753125	0.001	0.188
Beutenbergiaceae	0.185907273868325	0.283	0.168316726780917	0.273	0.626	0.834	0.893	0.7512	0.996	0.893	0.001	0.008
Leptotrichiaceae	0.293784059070069	0.773	0.364040640862263	0.83	0.123	0.0203	<2e-16	0.246	0.349083333333333	NA	0.011	0.675
Moraxellaceae	0.0716078675238766	0.261	0.98460960902478	0.848	<2e-16	0.367	0.185	NA	0.81428125	0.206022727272727	0.349	0.397
Syntrophomonadaceae	0.684546187897209	0.719	0.771567349875	0.699	0.188	0.854	6.11e-14	0.344666666666667	0.996	7.48475e-13	0.004	0.457
Campylobacteraceae	0.463643761398665	0.566	1.50190623760268	1.111	<2e-16	0.198	9.28e-05	NA	0.81428125	0.000189466666666667	0.263	0.433
Thermoanaerobacterales_Family_III._Incertae_Sedis	0.195437485011743	0.488	0.300062697159083	0.503	0.00621	0.567	<2e-16	0.0195171428571429	0.947170212765957	NA	0.012	0.651
Desulfovibrionaceae	1.3277457893117	0.965	1.13451412907951	0.943	0.0193	0.989	<2e-16	0.0489923076923077	0.996	NA	0.009	0.606
Acidaminococcaceae	2.96214892130582	0.927	2.6725195562763	0.848	5.95e-06	0.361	<2e-16	3.927e-05	0.81428125	NA	0.029	0.7
Enterobacteriaceae	1.63539448522815	1.02	2.24505736121521	1.012	2.22e-10	0.481	<2e-16	2.9304e-09	0.879307692307692	NA	0.086	0.554
Jonesiaceae	1.12819338307104	0.667	0.785187069816173	0.744	0.000168	0.896	0.239	0.0007392	0.996	0.260244444444444	0.055	0.116
Oscillospiraceae	3.3745367590464	0.451	3.39328234748538	0.372	0.651	0.962	0.000279	0.753789473684211	0.996	0.000506333333333333	0.001	0.213
Halothiobacillaceae	0.735388397323887	0.669	0.687544321076835	0.63	0.49	0.483	4.09e-09	0.634117647058824	0.879307692307692	1.00205e-08	0.003	0.356
Verrucomicrobiaceae	1.5448029175026	1.213	1.19516111420473	1.059	0.00283	0.34	3.01e-15	0.009339	0.81428125	7.3745e-14	0.021	0.494
Pasteurellaceae	0.558845653954536	0.803	0.533314847872636	0.744	0.773	0.343	5.96e-10	0.8503	0.81428125	2.086e-09	0.003	0.374
Clostridiaceae	2.78771244504073	0.515	3.02041555191331	0.5	8.88e-06	0.627	1.5e-09	5.328e-05	0.947170212765957	3.97157894736842e-09	0.054	0.4
Thermotogaceae	0.398285733944213	0.561	0.393445957763421	0.557	0.864	0.904	4.34e-13	0.905142857142857	0.996	4.2532e-12	0	0.438
Rhizobiaceae	0.340796251434651	0.511	0.318620285008915	0.471	0.719	0.321	0.00137	0.804305084745763	0.81428125	0.00203424242424242	0.004	0.189
Fusobacteriaceae	0.272991529505914	0.635	0.812530231071008	0.96	8.53e-11	0.614	3.71e-10	1.40745e-09	0.947170212765957	1.39838461538462e-09	0.105	0.48
Alicyclobacillaceae	0.0426085534375929	0.156	0.457560567937545	0.642	2.84e-11	0.0249	0.376	6.248e-10	0.349083333333333	0.400521739130435	0.182	0.222
Neisseriaceae	0.235004741093537	0.5	0.290267257042629	0.626	0.331	0.22	1e-10	0.50325	0.81428125	4.08333333333333e-10	0.006	0.394
Bacteroidaceae	4.48489009188782	0.29	4.45964704558932	0.31	0.309	0.448	1.05e-12	0.497414634146341	0.875027027027027	8.575e-12	0.004	0.433
Thermaceae	0.207945921732677	0.392	1.58505848633053	0.94	<2e-16	0.126	0.0703	NA	0.644071428571429	0.0846146341463415	0.483	0.536
Paenibacillaceae	0.317308845118137	0.552	0.516027428533035	0.691	0.00679	0.293	0.000506	0.02037	0.81428125	0.0008855	0.028	0.226
Chlorobiaceae	0.295949555809314	0.659	0.403686442274186	0.814	0.0572	0.083	<2e-16	0.130179310344828	0.535727272727273	NA	0.011	0.628
Enterococcaceae	0.471054795776779	0.794	0.551903184983185	0.771	0.195	0.642	<2e-16	0.347368421052632	0.947632653061225	NA	0.003	0.584
Unclassified	4.5171009473484	0.175	4.45875500744757	0.182	0.00192	0.736	9.98e-11	0.00666947368421053	0.979052631578948	4.08333333333333e-10	0.025	0.408
