Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Eubacteriaceae	2.95954966300549	2.7664906565827	0.720078137286896	1.19361375192452e-23	0.36411333857627	2.33146835171283e-15	2.96429547574917e-14	0.638187792474947	1.00684931854045e-06	2.67899975431948e-22	0.999987044159195	5.2328511893999e-14	5.64740173817055e-13	0.994075937629942	6.16313825288394e-06
Desulfohalobiaceae	0.0454288049964206	0.0274471605165025	0	0.295688353107475	0.738772072129109	0.298952646396545	0.719666271112008	0.65951954473935	2.64406960731047e-05	0.341308841872628	0.999987044159195	0.431345961229301	0.798750476728712	0.994075937629942	9.53753679779848e-05
Spirochaetaceae	0.850461199007021	1.02488650372523	0.809599077076861	0.0934579171559342	0.101708049326712	0.922120722374373	0.194823881477034	0.859241870105491	1.05348916911401e-08	0.145829594248481	0.625049389517623	0.95034890775318	0.317374387567426	0.99425665600923	1.33003007600644e-07
Rubrobacteraceae	0.0944423052851321	0.131779645506178	0	0.114615244392328	0.665129843677653	0.19697254455517	0.0981841768170912	0.592854062841002	0.109754043706166	0.167770140342393	0.999987044159195	0.326306616517868	0.183640775157893	0.994075937629942	0.15185148512771
Beijerinckiaceae	0.0510908084712278	0.087185759788755	0.285833147662681	0.000114702506472435	0.671322374487041	6.27894808554741e-05	0.00477765976356581	0.812493038219245	0.999890438129623	0.000503693615378956	0.999987044159195	0.000328606196244202	0.0172337012900052	0.99425665600923	0.999990270309477
Comamonadaceae	0.646701297464172	0.857044990511804	0.964008030187136	0.00324586138553973	0.0467329293192018	0.0130247915805659	0.683619147101666	0.858702017877336	4.63825983658861e-07	0.00874218666505368	0.472002586123938	0.0346185249904515	0.782732067919568	0.99425665600923	3.23078788617551e-06
Cyclobacteriaceae	0.103004397462077	0.0648408598574367	0	0.106812226619414	0.607386217537409	0.10550576367819	0.511639726711019	0.407666735184415	0.169514297891064	0.157489560416945	0.999987044159195	0.204745424001927	0.63019039509528	0.994075937629942	0.220915407574161
Bifidobacteriaceae	1.93005174668966	1.83861933722293	0.347531132303426	3.9175161114418e-14	0.799544919051685	4.69624339416441e-14	1.72558412003809e-10	0.323262124223595	9.71742337440077e-06	3.76827740243449e-13	0.999987044159195	5.27022869789562e-13	2.17854995154809e-09	0.994075937629942	4.17642451410416e-05
Xanthomonadaceae	0.45199284103991	0.526058884891388	0.302487882048545	0.198081850920699	0.655953911610338	0.340803115857944	0.170982908649756	0.245145629157049	5.31586264188383e-06	0.260571191988344	0.999987044159195	0.457720323506012	0.287821229560422	0.973024055298911	2.44046421286485e-05
Syntrophobacteraceae	0.0673370043756672	0.149525522934599	0	0.0224530866589904	0.0855529177194088	0.347392994605709	0.0236345612075272	0.561758223982508	0.0627591430684919	0.0487690699474845	0.595920323424847	0.457720323506012	0.0620023553755907	0.994075937629942	0.0925353788309151
Prevotellaceae	1.69857977976149	2.00226804876987	0.505838599324267	1.54871773519637e-09	0.124791308640587	2.55387424541453e-08	2.24165297435519e-09	0.615179729421712	1.83341740815208e-09	1.30350409379028e-08	0.646354983215349	2.24296781553798e-07	2.51563278233194e-08	0.994075937629942	3.2236233231404e-08
