Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Eubacteriaceae	2.95954966300549	0.621	2.7664906565827	0.788	0.720078137286896	0.661	<2e-16	0.364	2.33e-15	2.96e-14	0.541	1.01e-06	NA	1	3.23611111111111e-14	3.5e-13	0.921875	3.82575757575758e-06	0.559	0.739
Spirochaetaceae	0.850461199007021	0.377	1.02488650372523	0.473	0.809599077076861	0.342	3.63e-05	0.102	0.922	0.195	0.749	1.05e-08	6.84905660377359e-05	0.51	0.944672131147541	0.236650485436893	0.94	8.203125e-08	0.089	0.544
Comamonadaceae	0.646701297464172	0.396	0.857044990511804	0.524	0.964008030187136	0.195	0.566	0.0467	0.013	0.684	0.811	4.64e-07	0.566	0.36484375	0.0219594594594595	0.713541666666667	0.950657894736842	2e-06	0.005	0.45
Bifidobacteriaceae	1.93005174668966	0.705	1.83861933722293	0.659	0.347531132303426	0.394	<2e-16	0.8	4.7e-14	1.73e-10	0.196	9.72e-06	NA	1	3.26388888888889e-13	1.3515625e-09	0.760416666666667	2.64130434782609e-05	0.416	0.652
Xanthomonadaceae	0.45199284103991	0.392	0.526058884891388	0.418	0.302487882048545	0.373	1.91e-05	0.656	0.341	0.171	0.136	5.32e-06	3.82e-05	1	0.3875	0.21375	0.740384615384615	1.54651162790698e-05	0.131	0.453
Prevotellaceae	1.69857977976149	0.653	2.00226804876987	0.926	0.505838599324267	0.714	<2e-16	0.125	2.55e-08	2.24e-09	0.479	1.83e-09	NA	0.538793103448276	1.38586956521739e-07	1.55555555555556e-08	0.921875	2e-08	0.353	0.664
Desulfarculaceae	0.224088197510459	0.286	0.182744321639796	0.333	0.168826088002821	0.309	0.00469	0.794	0.771	0.988	0.303	1.6e-06	0.0055952380952381	1	0.83804347826087	0.991	0.861111111111111	5.71428571428571e-06	0.073	0.392
Planctomycetaceae	0.362392283870712	0.333	0.384221846274642	0.41	0.0352537561027599	0.141	3.24e-11	0.95	0.00122	0.00333	0.568	2.23e-07	1.50454545454545e-10	1	0.00293269230769231	0.00816176470588235	0.921875	1.07211538461538e-06	0.254	0.576
Lactobacillaceae	0.938606693351554	0.529	1.01648359384087	0.48	0.133576878951477	0.37	3.31e-11	0.753	8.02e-08	3.98e-07	0.583	0.000357	1.50454545454545e-10	1	3.85576923076923e-07	1.91346153846154e-06	0.921875	0.000619791666666667	0.275	0.508
Micrococcaceae	0.629019938145178	0.477	0.64961805078721	0.605	0.0501713787930516	0.201	2.93e-12	0.979	5.79e-05	0.00038	0.922	2.37e-08	1.72352941176471e-11	1	0.000195608108108108	0.0011875	0.985042735042735	1.74264705882353e-07	0.267	0.612
