Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Eubacteriaceae	2.96	0.621	2.766	0.788	0.72	0.661	1.19361375192452e-23	0.36411333857627	2.33146835171283e-15	2.96429547574917e-14	0.638187792474947	1.00684931854045e-06	1.65779687767295e-22	0.999576536022779	3.23815048849004e-14	3.49467929342237e-13	0.982493085830511	3.81382317628957e-06
Spirochaetaceae	0.85	0.377	1.025	0.473	0.81	0.342	0.0934579171559342	0.101708049326712	0.922120722374373	0.194823881477034	0.859241870105491	1.05348916911401e-08	0.106648269788161	0.510560144903009	0.94479582210489	0.236436749365332	0.982493085830511	8.23038413370323e-08
Comamonadaceae	0.647	0.396	0.857	0.524	0.964	0.195	0.00324586138553973	0.0467329293192018	0.0130247915805659	0.683619147101666	0.858702017877336	4.63825983658861e-07	0.00579618104560667	0.365101010306264	0.0220013371293343	0.713818360699841	0.982493085830511	1.99924992956405e-06
Bifidobacteriaceae	1.93	0.705	1.839	0.659	0.348	0.394	3.9175161114418e-14	0.799544919051685	4.69624339416441e-14	1.72558412003809e-10	0.323262124223595	9.71742337440077e-06	2.33185482823916e-13	0.999576536022779	3.2612801348364e-13	1.34811259377976e-09	0.982493085830511	2.6406041778263e-05
Xanthomonadaceae	0.452	0.392	0.526	0.418	0.302	0.373	0.198081850920699	0.655953911610338	0.340803115857944	0.170982908649756	0.245145629157049	5.31586264188383e-06	0.217195011974451	0.999576536022779	0.387276268020391	0.213728635812194	0.982493085830511	1.54530890752437e-05
Prevotellaceae	1.699	0.653	2.002	0.926	0.506	0.714	1.54871773519637e-09	0.124791308640587	2.55387424541453e-08	2.24165297435519e-09	0.615179729421712	1.83341740815208e-09	8.06623820414777e-09	0.537893571726669	1.38797513337746e-07	1.55670345441333e-08	0.982493085830511	1.99481641283441e-08
Desulfarculaceae	0.224	0.286	0.183	0.333	0.169	0.309	0.684790144705827	0.79407791864683	0.771145612434891	0.987855216910708	0.415100913899405	1.60115677597124e-06	0.69031264587281	0.999576536022779	0.838201752646621	0.991388415615554	0.982493085830511	5.71841705704016e-06
Planctomycetaceae	0.362	0.333	0.384	0.41	0.035	0.141	0.00128772824454547	0.95047998833751	0.0012154971107069	0.00333424258529813	0.678587966771055	2.23441485776861e-07	0.00272823780624041	0.999576536022779	0.00292186805458389	0.00817216319926012	0.982493085830511	1.07423791238876e-06
Lactobacillaceae	0.939	0.529	1.016	0.48	0.134	0.37	5.19856270288514e-08	0.753193768991611	8.01598951660765e-08	3.97990965628203e-07	0.659990047720018	0.000357064357530016	2.16606779286881e-07	0.999576536022779	3.85384111375368e-07	1.91341810398175e-06	0.982493085830511	0.00061990339848961
Micrococcaceae	0.629	0.477	0.65	0.605	0.05	0.201	6.95186795239409e-05	0.978605462715904	5.79289150056672e-05	0.000380034940838936	0.927573637149524	2.37453687514929e-08	0.000206900831916491	0.999576536022779	0.000195705793938065	0.00118760919012167	0.990997475587099	1.7459829964333e-07
