Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Enterobacteriaceae	1.21269881773222	3.00327876898151	0.90537975918789	0.00307035350893259	0.00621978574314208	0.90523495890861	0.0364106657190204	0.488832898087616	0.000563126318289162	0.00852875974703498	0.155494643578552	0.906085357484562	0.130038091853644	0.850940972782416	0.00175976974465363
Sutterellaceae	0.119892973941374	0	0	0.759029435509606	0.70768342400618	0.803723900429916	1	0.939667250241217	0.823453352704934	0.868815125145104	0.999816050731035	0.906085357484562	1	0.997633732687591	0.935742446255606
Acidaminococcaceae	0.341813602699866	0.614849549953514	0	0.000522583873340815	0.629138857626297	0.632330852846142	0.336643597643787	0.578639861492043	1.4736846770873e-13	0.0018663709762172	0.999816050731035	0.906085357484562	0.704115006601762	0.850940972782416	3.68421169271824e-12
Synergistaceae	0.0455414183062529	0	0	0.799309915133495	0.840905651326766	0.896350322235642	1	0.327165594983856	0.971435235214311	0.868815125145104	0.999816050731035	0.906085357484562	1	0.743558170417854	0.999824597780446
Bifidobacteriaceae	0.381168275798312	0.386378973684005	0	0.162511093487342	0.999816050731035	0.539554580877134	0.625366693269839	0.245606569312133	3.82408304995601e-05	0.270851822478903	0.999816050731035	0.906085357484562	1	0.743558170417854	0.0001912041524978
Porphyromonadaceae	2.70416611767127	2.79227432805856	0	1.14096078226507e-06	0.988262961647859	0.00142647211284663	0.00533577791390349	0.734975425777118	0.00103687373065646	7.13100488915669e-06	0.999816050731035	0.00891545070529146	0.0333486119618968	0.921239039932059	0.00246533159597773
Bacteroidaceae	5.78157695370586	5.1182298450919	0	3.16565204741375e-14	0.388680068406926	3.31956684362922e-14	4.2046011117236e-10	0.419445852945369	0.185495105566454	3.95706505926719e-13	0.999816050731035	8.29891710907305e-13	1.0511502779309e-08	0.850940972782416	0.272786919950667
Pasteurellaceae	0.0626492169542664	0	0	0.893415465698576	0.840905651326766	0.896350322235641	1	0.293305192173762	0.549289232251643	0.893415465698576	0.999816050731035	0.906085357484562	1	0.743558170417854	0.687254297103015
Coriobacteriaceae	0.857017631575822	0.55928669041693	0	0.00585243427958459	0.736443164710292	0.206480109161152	0.605021021445923	0.513184832636455	0.0153678633516188	0.0133009869990559	0.999816050731035	0.558988573869734	1	0.850940972782416	0.0274426131278907
Clostridiaceae	0.283464768702664	0.572451747792018	0	0.336891673998115	0.551116036222573	0.695804915478831	0.337975203168846	0.795609986290232	0.424808635326501	0.46790510277516	0.999816050731035	0.906085357484562	0.704115006601762	0.947154745583609	0.590011993509029
Verrucomicrobiaceae	1.64515522079336	1.56283146522423	0	0.00508429766985129	0.988285755840166	0.0561974135671447	0.143739785307799	0.264233678655102	2.33664056486489e-05	0.0127107441746282	0.999816050731035	0.200705048454088	0.399277181410553	0.743558170417854	0.000146040035304056
Prevotellaceae	1.21529099626053	1.9959014678856	0	0.0021354192942552	0.310064028350741	0.16875609081158	0.030683627910766	0.321771759140561	6.98404122936651e-08	0.0066731852945475	0.999816050731035	0.527362783786188	0.127848449628191	0.743558170417854	8.73005153670814e-07
Desulfovibrionaceae	0.320365331750216	0.177054709483501	0	0.0224445526106574	0.828713806402649	0.554396112220922	0.874716805177277	0.725776182549534	0.000279889898634657	0.0467594846055363	0.999816050731035	0.906085357484562	1	0.921239039932059	0.000999606780838062
Clostridiales_noname	0.106740487418317	0	0	0.217139826883963	0.706800856349165	0.803089446165665	1	0.978038246634437	0.00408674335493807	0.319323274829357	0.999816050731035	0.906085357484562	1	0.997633732687591	0.00785912183641936
Moraxellaceae	0.11416083898579	0.470484290104179	0	0.198663682955107	0.2232748569319	0.906085357484562	0.29433323181149	0.0428899122813665	0.999782296005921	0.310412004617355	0.999816050731035	0.906085357484562	0.704115006601762	0.743558170417854	0.999824597780446
Ruminococcaceae	5.15801585198568	5.2965628682203	0	1.26304332315498e-15	0.963416666823015	7.28117566239916e-12	8.98304652885429e-10	0.841688430675926	9.50880500356441e-05	3.15760830788745e-14	0.999816050731035	9.10146957799896e-11	1.12288081610679e-08	0.956464125768098	0.000396200208481851
Oscillospiraceae	0.696549124949475	0.518715131708265	0	0.0418420326063045	0.871527866137308	0.268682450158064	0.580822613892758	0.544402148667974	0.0749504500866268	0.0804654473198164	0.999816050731035	0.610641932177419	1	0.850940972782416	0.124917416811045
Siphoviridae	0.15471784018103	0	0	0.515694502780487	0.592111117716982	0.717908020563368	1	0.547967596865238	0.999824597780446	0.644618128475609	0.999816050731035	0.906085357484562	1	0.850940972782416	0.999824597780446
Eubacteriaceae	2.62887375405059	2.34097042299847	0	6.27977942458523e-05	0.88600685209059	0.00251238009557053	0.0274357976546623	0.997633732687591	0.000734305967702608	0.000313988971229262	0.999816050731035	0.0125619004778527	0.127848449628191	0.997633732687591	0.00203973879917391
Rikenellaceae	2.95123300224857	1.75191102019732	0	1.8677374471533e-09	0.118358823259371	0.000451052988424738	0.119505663634072	0.302109910820428	2.12388740064286e-05	1.55644787262775e-08	0.999816050731035	0.00375877490353949	0.373455198856475	0.743558170417854	0.000146040035304056
Veillonellaceae	0.827008990816617	0.410870471094557	0	0.0788093271095005	0.545057138661394	0.223595429547894	0.758074486918352	0.171747039597497	0.0010847459022302	0.140730941266965	0.999816050731035	0.558988573869734	1	0.743558170417854	0.00246533159597773
Enterococcaceae	0.0583117211028015	0	0	0.893304292415028	0.840863838101798	0.896322156039649	1	0.28505078058229	0.549803437682412	0.893415465698576	0.999816050731035	0.906085357484562	1	0.743558170417854	0.687254297103015
Streptococcaceae	0.358938784875249	0	0	0.417732976575511	0.340517407385528	0.505217272909223	1	0.298926098053015	0.0012537167929726	0.549648653388831	0.999816050731035	0.906085357484562	1	0.743558170417854	0.00261190998535958
Methanobacteriaceae	0.122484749125543	0	0	0.78941153363762	0.703496343835005	0.800711276007747	1	0.129983130262838	0.589759723846064	0.868815125145104	0.999816050731035	0.906085357484562	1	0.743558170417854	0.702094909340552
Lachnospiraceae	2.24020189952243	2.87547932015591	0	0.000298110676796195	0.537277248426591	0.00937137774394847	0.00357994300602393	0.736991231945647	0.120168032887655	0.00124212781998415	0.999816050731035	0.039047407266452	0.0298328583835328	0.921239039932059	0.18776255138696
