Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Enterobacteriaceae	1.213	2.508	3.003	3.302	0.905	2.474	0.00307	0.00622	0.905	0.0364	0.489	0.000563	0.00852777777777778	0.1555	0.906	0.13	0.851470588235294	0.001759375	0.065	0.333
Sutterellaceae	0.12	0.841	0	0	0	0	0.759	0.708	0.804	1	0.94	0.823	0.868478260869565	1	0.906	1	0.998	0.935227272727273	0.004	0.105
Acidaminococcaceae	0.342	1.354	0.615	1.808	0	0	0.000523	0.629	0.632	0.337	0.579	1.47e-13	0.00186785714285714	1	0.906	0.704166666666667	0.851470588235294	3.675e-12	0.063	0.584
Synergistaceae	0.046	0.453	0	0	0	0	0.799	0.841	0.896	1	0.327	0.971	0.868478260869565	1	0.906	1	0.743181818181818	1	0.01	0.012
Bifidobacteriaceae	0.381	1.407	0.386	1.42	0	0	0.163	1	0.54	0.625	0.246	3.82e-05	0.271666666666667	1	0.906	1	0.743181818181818	0.000191	0.026	0.372
Porphyromonadaceae	2.704	2.934	2.792	3.086	0	0	1.14e-06	0.988	0.00143	0.00534	0.735	0.00104	7.125e-06	1	0.0089375	0.033375	0.92125	0.00245454545454545	0.16	0.414
Bacteroidaceae	5.782	2.41	5.118	2.755	0	0	3.17e-14	0.389	3.32e-14	4.2e-10	0.419	0.185	3.9625e-13	1	8.3e-13	1.05e-08	0.851470588235294	0.272058823529412	0.386	0.466
Pasteurellaceae	0.063	0.623	0	0	0	0	0.893	0.841	0.896	1	0.293	0.549	0.893	1	0.906	1	0.743181818181818	0.6875	0.008	0.156
Coriobacteriaceae	0.857	2.049	0.559	1.644	0	0	0.00585	0.736	0.206	0.605	0.513	0.0154	0.0132954545454545	1	0.56	1	0.851470588235294	0.0275	0.075	0.251
Clostridiaceae	0.283	1.253	0.572	1.713	0	0	0.337	0.551	0.696	0.338	0.796	0.425	0.468055555555556	1	0.906	0.704166666666667	0.947619047619048	0.590277777777778	0.015	0.06
Verrucomicrobiaceae	1.645	2.789	1.563	2.76	0	0	0.00508	0.988	0.0562	0.144	0.264	2.34e-05	0.0127	1	0.200714285714286	0.4	0.743181818181818	0.00014625	0.068	0.399
Prevotellaceae	1.215	2.525	1.996	2.967	0	0	0.00214	0.31	0.169	0.0307	0.322	6.98e-08	0.0066875	1	0.528125	0.127916666666667	0.743181818181818	8.725e-07	0.057	0.508
Desulfovibrionaceae	0.32	1.273	0.177	0.937	0	0	0.0224	0.829	0.554	0.875	0.726	0.00028	0.0466666666666667	1	0.906	1	0.92125	0.001	0.054	0.272
Clostridiales_noname	0.107	0.747	0	0	0	0	0.217	0.707	0.803	1	0.978	0.00409	0.319117647058824	1	0.906	1	0.998	0.00786538461538462	0.022	0.17
Moraxellaceae	0.114	0.8	0.47	1.73	0	0	0.199	0.223	0.906	0.294	0.0429	1	0.3109375	1	0.906	0.704166666666667	0.743181818181818	1	0.05	0.05
Ruminococcaceae	5.158	2.644	5.297	2.554	0	0	1.26e-15	0.963	7.28e-12	8.98e-10	0.842	9.51e-05	3.15e-14	1	9.1e-11	1.1225e-08	0.956818181818182	0.00039625	0.353	0.602
Oscillospiraceae	0.697	1.81	0.519	1.538	0	0	0.0418	0.872	0.269	0.581	0.544	0.075	0.0803846153846154	1	0.611363636363636	1	0.851470588235294	0.125	0.048	0.179
Siphoviridae	0.155	0.882	0	0	0	0	0.516	0.592	0.718	1	0.548	1	0.645	1	0.906	1	0.851470588235294	1	0.012	0.012
Eubacteriaceae	2.629	3.035	2.341	2.988	0	0	6.28e-05	0.886	0.00251	0.0274	0.998	0.000734	0.000314	1	0.01255	0.127916666666667	0.998	0.00203888888888889	0.12	0.377
Rikenellaceae	2.951	3.069	1.752	2.611	0	0	1.87e-09	0.118	0.000451	0.12	0.302	2.12e-05	1.55833333333333e-08	1	0.00375833333333333	0.375	0.743181818181818	0.00014625	0.227	0.572
Veillonellaceae	0.827	2.061	0.411	1.517	0	0	0.0788	0.545	0.224	0.758	0.172	0.00108	0.140714285714286	1	0.56	1	0.743181818181818	0.00245454545454545	0.043	0.342
Enterococcaceae	0.058	0.58	0	0	0	0	0.893	0.841	0.896	1	0.285	0.55	0.893	1	0.906	1	0.743181818181818	0.6875	0.009	0.156
Streptococcaceae	0.359	1.424	0	0	0	0	0.418	0.341	0.505	1	0.299	0.00125	0.55	1	0.906	1	0.743181818181818	0.00260416666666667	0.015	0.426
Methanobacteriaceae	0.122	0.858	0	0	0	0	0.789	0.703	0.801	1	0.13	0.59	0.868478260869565	1	0.906	1	0.743181818181818	0.702380952380952	0.017	0.156
Lachnospiraceae	2.24	2.876	2.875	3.16	0	0	0.000298	0.537	0.00937	0.00358	0.737	0.12	0.00124166666666667	1	0.0390416666666667	0.0298333333333333	0.92125	0.1875	0.106	0.237
