Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Enterobacteriaceae	1.213	2.508	3.003	3.302	0.905	2.474	0.00577964641129114	0.00621978574314208	0.90523495890861	0.0364106657190204	0.55151185490717	0.000563126318289162	0.0206415943260398	0.155494643578552	0.906085357484562	0.130038091853644	0.890758165601508	0.00175976974465363
Sutterellaceae	0.12	0.841	0	0	0	0	0.645383727983785	0.70768342400618	0.803723900429916	1	0.94356607242144	0.823453352704934	0.733390599981574	0.999816050731035	0.906085357484562	1	0.978363825844679	0.935742446255606
Acidaminococcaceae	0.342	1.354	0.615	1.808	0	0	0.363782384335708	0.629138857626297	0.632330852846142	0.336643597643787	0.71472649331333	1.4736846770873e-13	0.568409975524543	0.999816050731035	0.906085357484562	0.704115006601762	0.951837460436117	3.68421169271824e-12
Synergistaceae	0.046	0.453	0	0	0	0	0.803012571197382	0.840905651326766	0.896350322235642	1	0.326643618166377	0.971435235214311	0.803012571197382	0.999816050731035	0.906085357484562	1	0.890758165601508	0.999824597780446
Bifidobacteriaceae	0.381	1.407	0.386	1.42	0	0	0.558531197443615	0.999816050731035	0.539554580877134	0.625366693269839	0.345164512063364	3.82408304995601e-05	0.733390599981574	0.999816050731035	0.906085357484562	1	0.890758165601508	0.0001912041524978
Porphyromonadaceae	2.704	2.934	2.792	3.086	0	0	0.00171003087788825	0.988262961647859	0.00142647211284663	0.00533577791390349	0.757069419828283	0.00103687373065646	0.0106876929868016	0.999816050731035	0.00891545070529146	0.0333486119618968	0.951837460436117	0.00246533159597773
Bacteroidaceae	5.782	2.41	5.118	2.755	0	0	7.13668147391428e-15	0.388680068406926	3.31956684362922e-14	4.2046011117236e-10	0.445809922835677	0.185495105566454	1.78417036847857e-13	0.999816050731035	8.29891710907305e-13	1.0511502779309e-08	0.890758165601508	0.272786919950667
Pasteurellaceae	0.063	0.623	0	0	0	0	0.803012571197381	0.840905651326766	0.896350322235641	1	0.326643618166377	0.549289232251643	0.803012571197382	0.999816050731035	0.906085357484562	1	0.890758165601508	0.687254297103015
Coriobacteriaceae	0.857	2.049	0.559	1.644	0	0	0.214040492001189	0.736443164710292	0.206480109161152	0.605021021445923	0.551609389715339	0.0153678633516188	0.445917691669144	0.999816050731035	0.558988573869734	1	0.890758165601508	0.0274426131278907
Clostridiaceae	0.283	1.253	0.572	1.713	0	0	0.350977973151229	0.551116036222573	0.695804915478831	0.337975203168846	0.799543466766338	0.424808635326501	0.568409975524543	0.999816050731035	0.906085357484562	0.704115006601762	0.951837460436117	0.590011993509029
Verrucomicrobiaceae	1.645	2.789	1.563	2.76	0	0	0.0688201727233348	0.988285755840166	0.0561974135671447	0.143739785307799	0.360224223125397	2.33664056486489e-05	0.191167146453708	0.999816050731035	0.200705048454088	0.399277181410553	0.890758165601508	0.000146040035304056
Prevotellaceae	1.215	2.525	1.996	2.967	0	0	0.0402568141969917	0.310064028350741	0.16875609081158	0.030683627910766	0.458612206091073	6.98404122936651e-08	0.125802544365599	0.999816050731035	0.527362783786188	0.127848449628191	0.890758165601508	8.73005153670814e-07
Desulfovibrionaceae	0.32	1.273	0.177	0.937	0	0	0.538321926777381	0.828713806402649	0.554396112220922	0.874716805177277	0.766883415592647	0.000279889898634657	0.733390599981574	0.999816050731035	0.906085357484562	1	0.951837460436117	0.000999606780838062
Clostridiales_noname	0.107	0.747	0	0	0	0	0.644363840307461	0.706800856349165	0.803089446165665	1	0.978363825844679	0.00408674335493807	0.733390599981574	0.999816050731035	0.906085357484562	1	0.978363825844679	0.00785912183641936
Moraxellaceae	0.114	0.8	0.47	1.73	0	0	0.196648794403287	0.2232748569319	0.906085357484562	0.29433323181149	0.0418630001316192	0.999782296005921	0.445917691669144	0.999816050731035	0.906085357484562	0.704115006601762	0.890758165601508	0.999824597780446
Ruminococcaceae	5.158	2.644	5.297	2.554	0	0	7.85632346154869e-12	0.963416666823015	7.28117566239916e-12	8.98304652885429e-10	0.860605441417769	9.50880500356441e-05	9.82040432693586e-11	0.999816050731035	9.10146957799896e-11	1.12288081610679e-08	0.977960728883828	0.000396200208481851
Oscillospiraceae	0.697	1.81	0.519	1.538	0	0	0.29375961542002	0.871527866137308	0.268682450158064	0.580822613892758	0.570085225984965	0.0749504500866268	0.524570741821464	0.999816050731035	0.610641932177419	1	0.890758165601508	0.124917416811045
Siphoviridae	0.155	0.882	0	0	0	0	0.514810774400685	0.592111117716982	0.717908020563368	1	0.547433569400003	0.999824597780446	0.733390599981574	0.999816050731035	0.906085357484562	1	0.890758165601508	0.999824597780446
Eubacteriaceae	2.629	3.035	2.341	2.988	0	0	0.0038388351433058	0.88600685209059	0.00251238009557053	0.0274357976546623	0.976389690915899	0.000734305967702608	0.0165872359714736	0.999816050731035	0.0125619004778527	0.127848449628191	0.978363825844679	0.00203973879917391
Rikenellaceae	2.951	3.069	1.752	2.611	0	0	0.000343161325115227	0.118358823259371	0.000451052988424738	0.119505663634072	0.403570383326306	2.12388740064286e-05	0.00285967770929356	0.999816050731035	0.00375877490353949	0.373455198856475	0.890758165601508	0.000146040035304056
Veillonellaceae	0.827	2.061	0.411	1.517	0	0	0.190111876839407	0.545057138661394	0.223595429547894	0.758074486918352	0.25578328285456	0.0010847459022302	0.445917691669144	0.999816050731035	0.558988573869734	1	0.890758165601508	0.00246533159597773
Enterococcaceae	0.058	0.58	0	0	0	0	0.802962000333141	0.840863838101798	0.896322156039649	1	0.316833076469954	0.549803437682412	0.803012571197382	0.999816050731035	0.906085357484562	1	0.890758165601508	0.687254297103015
Streptococcaceae	0.359	1.424	0	0	0	0	0.25507063054415	0.340517407385528	0.505217272909223	1	0.410941532201815	0.0012537167929726	0.490520443354135	0.999816050731035	0.906085357484562	1	0.890758165601508	0.00261190998535958
Methanobacteriaceae	0.122	0.858	0	0	0	0	0.640548157966503	0.703496343835005	0.800711276007747	1	0.154266394455753	0.589759723846064	0.733390599981574	0.999816050731035	0.906085357484562	1	0.890758165601508	0.702094909340552
Lachnospiraceae	2.24	2.876	2.875	3.16	0	0	0.00398093663315367	0.537277248426591	0.00937137774394847	0.00357994300602393	0.747827513975234	0.120168032887655	0.0165872359714736	0.999816050731035	0.039047407266452	0.0298328583835328	0.951837460436117	0.18776255138696
