Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Acidaminococcaceae	2.94334130356892	1.1	2.72814404736948	2.728	0.000807	0.597	<2e-16	0.00260723076923077	0.933677419354839	NA	0.012	0.759
Actinomycetaceae	1.34237000044221	0.688	1.32702649421564	1.327	0.915	0.882	0.0549	0.915	0.954	0.0717923076923077	0	0.108
Aerococcaceae	0.169299523072988	0.377	0.325970940205988	0.326	0.00948	0.769	0.341	0.024885	0.954	0.341	0.027	0.078
Bacillaceae_1	1.86612049746299	0.601	3.33801190531797	3.338	<2e-16	0.309	0.133	NA	0.882782608695652	0.155931034482759	0.482	0.526
Bacillales_Incertae_Sedis_XI	0.701968260376009	0.705	0.510440039007983	0.51	0.0475	0.717	0.266	0.09975	0.954	0.282625	0.016	0.076
Bacteroidaceae	4.56357699807979	0.286	4.51207230125445	4.512	0.0543	0.336	1.2e-12	0.1086	0.882782608695652	6.8e-12	0.011	0.436
Beijerinckiaceae	0.331237503801714	0.513	0.304248495940499	0.304	0.654	0.361	0.000358	0.704307692307692	0.882782608695652	0.0006086	0.003	0.212
Bifidobacteriaceae	0.45115627109369	0.598	0.316513082865978	0.317	0.0249	0.813	1.32e-08	0.0581	0.954	3.74e-08	0.014	0.35
Burkholderiaceae	0.425155002764765	0.616	0.499388224669631	0.499	0.293	0.408	0.000138	0.3871875	0.882782608695652	0.000276	0.006	0.23
Burkholderiales_incertae_sedis	0.696860551500785	1.026	0.702877819908317	0.703	0.851	0.696	<2e-16	0.871756097560976	0.954	NA	0	0.779
Campylobacteraceae	0.330545419946287	0.493	1.48462108320434	1.485	<2e-16	0.339	1.55e-05	NA	0.882782608695652	3.29375e-05	0.304	0.482
Carnobacteriaceae	0.791555504106114	0.676	0.320385379631303	0.32	5.12e-11	0.466	0.0032	7.266e-10	0.89472	0.00494545454545455	0.148	0.293
Chloroplast	0.750594374793123	0.754	0.250366543049176	0.25	1.31e-09	0.829	0.185	9.17e-09	0.954	0.202903225806452	0.138	0.201
Clostridiaceae_1	1.41477509426309	1.145	1.03345766925155	1.033	0.000247	0.793	<2e-16	0.0008645	0.954	NA	0.028	0.525
Clostridiales_Incertae_Sedis_XI	0.883617476881875	0.718	2.88712569038624	2.887	<2e-16	0.149	0.0152	NA	0.882782608695652	0.0215333333333333	0.611	0.665
Clostridiales_Incertae_Sedis_XII	1.40324444650917	0.956	0.937859307282565	0.938	3.62e-10	0.00272	<2e-16	3.0408e-09	0.13056	NA	0.076	0.664
Clostridiales_Incertae_Sedis_XIII	2.17550737022578	0.696	2.07631631118302	2.076	0.12	0.289	4.31e-10	0.183	0.882782608695652	1.4654e-09	0.009	0.384
Comamonadaceae	0.195274063864646	0.405	0.241898644665669	0.242	0.337	0.949	0.00833	0.428909090909091	0.954	0.0123139130434783	0.003	0.154
Coriobacteriaceae	2.95836009769007	0.564	2.65150755553311	2.652	3.83e-06	0.788	0.00259	1.6086e-05	0.954	0.00419333333333333	0.074	0.235
Corynebacteriaceae	0.105196073192387	0.26	0.835697836508414	0.836	4.77e-15	0.954	0.313	2.0034e-13	0.954	0.322484848484848	0.226	0.269
Desulfovibrionaceae	1.91031110951881	1.025	1.93497846735	1.935	0.477	0.603	<2e-16	0.5724	0.933677419354839	NA	0.001	0.672
Enterobacteriaceae	1.42311593326965	1.161	2.12893319510613	2.129	5.19e-11	0.914	<2e-16	7.266e-10	0.954	NA	0.09	0.565
Enterococcaceae	0.296260505793847	0.676	0.385670729812302	0.386	0.0915	0.302	<2e-16	0.160125	0.882782608695652	NA	0.006	0.649
Erysipelotrichaceae	3.18904075242908	0.578	3.22536813715844	3.225	0.498	0.0957	2.64e-07	0.581	0.882782608695652	6.41142857142857e-07	0.009	0.315
Eubacteriaceae	0.859466341619147	0.699	0.54659818672724	0.547	6.21e-05	0.368	0.000203	0.000237109090909091	0.882782608695652	0.000383444444444444	0.055	0.263
Flavobacteriaceae	0.361563894015317	0.518	0.394421949222216	0.394	0.475	0.81	2.17e-11	0.5724	0.954	8.19777777777778e-11	0.001	0.406
Fusobacteriaceae	0.593885827192857	0.973	1.19870365711132	1.199	2.51e-09	0.507	5.83e-13	1.506e-08	0.933677419354839	3.9644e-12	0.084	0.503
Hyphomicrobiaceae	0.960270994542165	0.879	0.884520576575193	0.885	0.063	0.552	<2e-16	0.120272727272727	0.933677419354839	NA	0.004	0.74
Incertae_Sedis_XI	0.17565896807897	0.368	1.61806002920358	1.618	<2e-16	0.893	0.0197	NA	0.954	0.026792	0.433	0.508
Lachnospiraceae	4.55598630807185	0.192	4.51197558806988	4.512	0.101	0.0231	0.123	0.16968	0.3696	0.149357142857143	0.03	0.113
