Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acidaminococcaceae	2.943	1.1	2.728	0.956	0.0766340147906068	0.805886378172032	4.21281104052576e-41	0.147137308397965	0.985231366893912	6.74049766484122e-40
Actinomycetaceae	1.342	0.688	1.327	0.908	0.978654623075493	0.884024351668672	0.054937984030223	0.997900184232333	0.985231366893912	0.0659255808362676
Aerococcaceae	0.169	0.377	0.326	0.554	0.00178373553270379	0.774417236873964	0.341186724561178	0.00450627924051483	0.985231366893912	0.341186724561178
Bacillaceae_1	1.866	0.601	3.338	0.903	1.32490637587797e-54	0.33010697507942	0.132715152122252	3.17977530210712e-53	0.985231366893912	0.148147146555072
Bacillales_Incertae_Sedis_XI	0.702	0.705	0.51	0.81	0.0241657350144804	0.729583051630238	0.266148468337059	0.0552359657473838	0.985231366893912	0.277720140873453
Bacteroidaceae	4.564	0.286	4.512	0.299	0.160143542350306	0.449629866571729	1.19972385835643e-12	0.274531786886239	0.985231366893912	2.87933726005542e-12
Beijerinckiaceae	0.331	0.513	0.304	0.472	0.83629501357421	0.405102489519003	0.000358019589397967	0.933538619803769	0.985231366893912	0.000505439420326542
Bifidobacteriaceae	0.451	0.598	0.317	0.497	0.0296298987874904	0.852834184413318	1.32315634356984e-08	0.0618363105130234	0.985231366893912	2.44275017274431e-08
Burkholderiaceae	0.425	0.616	0.499	0.659	0.447760588627079	0.482629591426017	0.000137686676068025	0.632132595708817	0.985231366893912	0.000213192272621458
Burkholderiales_incertae_sedis	0.697	1.026	0.703	0.999	0.997900184232333	0.886290711281113	1.85858506121988e-44	0.997900184232333	0.985231366893912	8.9212082938554e-43
Campylobacteraceae	0.331	0.493	1.485	1.146	1.37192990697525e-32	0.422032738270569	1.54510908440537e-05	1.0975439255802e-31	0.985231366893912	2.47217453504859e-05
Carnobacteriaceae	0.792	0.676	0.32	0.433	4.70910168801958e-16	0.513063070480301	0.00320237774485545	2.82546101281175e-15	0.985231366893912	0.0042698369931406
Chloroplast	0.751	0.754	0.25	0.462	4.31862031449895e-15	0.831562991552333	0.184731267964237	2.30326416773277e-14	0.985231366893912	0.19704668582852
Clostridiaceae_1	1.415	1.145	1.033	1.061	0.001011706278929	0.828865900967292	2.64796832957127e-17	0.00269788341047732	0.985231366893912	9.07874855853005e-17
Clostridiales_Incertae_Sedis_XI	0.884	0.718	2.887	0.888	2.34834257580658e-73	0.186666385977954	0.01515408988809	1.12720443638716e-71	0.985231366893912	0.0191420082796926
Clostridiales_Incertae_Sedis_XII	1.403	0.956	0.938	0.803	1.51777438290003e-07	0.0590105897433151	6.19102011084207e-27	5.60409002916934e-07	0.985231366893912	3.71461206650524e-26
Clostridiales_Incertae_Sedis_XIII	2.176	0.696	2.076	0.678	0.290007774770095	0.377455601268545	4.31057934322751e-10	0.435011662155143	0.985231366893912	8.62115868645501e-10
Comamonadaceae	0.195	0.405	0.242	0.428	0.475948700384188	0.94946492832489	0.00832650197702087	0.647989155638922	0.985231366893912	0.0108019485107298
Coriobacteriaceae	2.958	0.564	2.652	0.524	2.40855475341316e-08	0.805295611567048	0.00259130900751761	9.63421901365265e-08	0.985231366893912	0.00355379521030986
Corynebacteriaceae	0.105	0.26	0.836	0.92	2.21677520978967e-24	0.954151874114242	0.312864759733646	1.52007442957006e-23	0.985231366893912	0.319521456749256
Desulfovibrionaceae	1.91	1.025	1.935	0.898	0.961723519030082	0.757278181465183	1.48788102438194e-30	0.997900184232333	0.985231366893912	1.42836578340666e-29
Enterobacteriaceae	1.423	1.161	2.129	1.136	1.16392043228903e-09	0.984947958868885	5.88846839178155e-18	5.58681807498732e-09	0.985231366893912	2.17420371388857e-17
Enterococcaceae	0.296	0.676	0.386	0.735	0.386408394398944	0.555849253574548	4.19009637808112e-28	0.562048573671192	0.985231366893912	2.87320894496991e-27
Erysipelotrichaceae	3.189	0.578	3.225	0.382	0.719147157556513	0.157617238064991	2.64489706515377e-07	0.862976589067816	0.985231366893912	4.53410925454933e-07
Eubacteriaceae	0.859	0.699	0.547	0.609	2.57820310936146e-06	0.448180466041503	0.000203443957348461	7.27963230878531e-06	0.985231366893912	0.000305165936022691
Flavobacteriaceae	0.362	0.518	0.394	0.566	0.804162660236778	0.878291710960664	2.16956277357202e-11	0.920687929468691	0.985231366893912	4.52778317962857e-11
Fusobacteriaceae	0.594	0.973	1.199	1.121	1.1413393321572e-08	0.518739744474242	5.8336618944169e-13	4.98038981304958e-08	0.985231366893912	1.47376721543164e-12
Hyphomicrobiaceae	0.96	0.879	0.885	0.9	0.649793405278974	0.715950336199069	1.86809196068502e-38	0.799745729574122	0.985231366893912	2.24171035282203e-37
Incertae_Sedis_XI	0.176	0.368	1.618	1.111	3.09365719620198e-48	0.910258735278279	0.0196839656233245	3.71238863544238e-47	0.985231366893912	0.0242264192287071
