Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acetanaerobacterium	1.18069746104819	1.02329727764295	0.0294407240672293	0.738864268616969	0.00567987923512721	0.0588814481344586	0.87731482420995	0.00667532198767527
Acetivibrio	0.517285560968555	0.310282718643863	0.000493394996794511	0.292110231218154	2.3352092867966e-19	0.00144975090360699	0.775486621161699	8.06708662711551e-19
Acidaminococcus	0.415629457874042	0.471462352408618	0.340798167000618	0.0201394860996023	9.95795849729009e-35	0.441488534523527	0.382650235892445	8.10862334779336e-34
Acinetobacter	0.066800590562761	0.983448265262518	6.50587354172751e-24	0.361932634813939	0.131085959937191	8.24077315285484e-23	0.775486621161699	0.139661676942427
Actinomyces	1.32071691914401	1.00974196918985	0.00125458350907737	0.450190216089504	0.0800712825339402	0.0032505118189732	0.80149246696993	0.0869345353225636
Akkermansia	1.55388715270708	1.20507771374139	0.00336135874831885	0.335899582755349	4.32688982129835e-15	0.0075136254374186	0.775486621161699	1.04950093537875e-14
Alistipes	3.35748142926323	2.99679803380629	3.55546486210521e-07	0.491013358164803	5.52773871875725e-20	1.35107664759998e-06	0.80149246696993	2.03278133528492e-19
Allisonella	0.148572670317246	0.26938455462895	0.0141350905913915	0.498994534411943	0.00114394495711549	0.0287750058467613	0.80149246696993	0.00141749701207789
Allobaculum	0.520582386552989	0.665463951387759	0.0573122159389915	0.775679996564313	1.93576663752813e-15	0.102087384641329	0.886908862190933	4.9039421484046e-15
Anaerococcus	0.28546752243663	2.03064656239741	1.23281204486586e-44	0.97259294171384	0.00626346311112293	7.02702865573543e-43	0.989960672815873	0.00728606933334708
Anaerofilum	0.863198421402273	0.826256408400643	0.62443092820613	0.288381746473845	2.8223672727524e-07	0.691117726364066	0.775486621161699	4.59642670133962e-07
Anaerofustis	0.610288534815063	0.274511458768838	2.08604812770283e-07	0.486043625164933	0.000673891217291638	8.20032712269389e-07	0.80149246696993	0.000844215371112602
Anaerosphaera	0.0576194463536519	1.28697453760819	6.56107811078839e-33	0.924300910033208	0.0117773150660652	1.06851843518554e-31	0.984769193867156	0.0134261391753143
Anaerostipes	1.83882987588692	1.59393269335569	0.00398873854645975	0.0772740500038827	7.8182321055212e-07	0.00874454219800792	0.499442085296903	1.25532177468932e-06
Anaerotruncus	2.42201204788856	2.28648691059327	0.082260935161895	0.116906239352478	5.63817057601054e-16	0.135909371137044	0.538321781620648	1.53036058491715e-15
Anaerovorax	2.00550096030041	1.95704728520113	0.41836942274994	0.0478444905741769	3.84084041443225e-11	0.529934602149924	0.499442085296903	7.17796405320125e-11
Anoxybacillus	1.33380769364612	2.91284779535401	5.23960433539372e-37	0.11805302228523	0.00533058864131539	1.49328723558721e-35	0.538321781620648	0.00633007401156203
Aquabacterium	0.698391451913016	0.696727793099226	0.949309230378822	0.843793149920622	5.57793612948201e-45	0.949309230378822	0.930963551113482	1.58971179690237e-43
Asaccharobacter	1.38260819012181	0.736597657842674	8.04715447026489e-17	0.608738461208645	6.83573466948428e-18	6.55268292578713e-16	0.817901460745616	2.22649643520345e-17
Atopobium	0.35057595063366	0.489512280535925	0.0692143307670976	0.0552110429242633	0.158450721459927	0.12139128780691	0.499442085296903	0.167253539318812
Bacteroides	4.56553637644947	4.51522259397426	0.0538611358455999	0.431103212152918	1.77611561245446e-12	0.0974630077206093	0.796913749611748	3.8937919196117e-12
Barnesiella	1.77246445010699	1.75709840449829	0.944556820285486	0.554167159999173	9.88262891514031e-47	0.949309230378822	0.812916202886197	5.63309848162998e-45
Beijerinckia	0.332566678601308	0.302136429721441	0.610637955592054	0.332944403326585	0.000314028142482062	0.686110323517209	0.775486621161699	0.000402238294864664
Bifidobacterium	0.421941768931513	0.254100061762652	0.00214836658426802	0.899971723131592	1.24759281113037e-10	0.00521093171503307	0.967894117330202	2.22227469482597e-10
Bilophila	1.58788368583111	1.64545285556029	0.285383228025761	0.369135785327654	1.03083952997237e-30	0.39197214451731	0.775486621161699	6.91268861275592e-30
Blautia	3.64258018985084	3.57802901231105	0.199808664146444	0.0616845433398362	0.0643855816466429	0.284727346408682	0.499442085296903	0.0705765029588202
Butyricicoccus	2.62458210770332	2.56955187090397	0.234600249231812	0.109651422277942	1.3095714480983e-05	0.330178128548476	0.538321781620648	1.86613931354008e-05
Butyricimonas	1.50425552091043	1.49404273087332	0.934793373859881	0.433409232244986	8.22404507669841e-37	0.949309230378822	0.796913749611748	8.52310126130563e-36
Butyrivibrio	0.831159399691975	0.727293040967876	0.148571345077259	0.563336666912365	7.45648550908035e-16	0.217142735112916	0.812916202886197	1.97683569310502e-15
Campylobacter	0.332287450346593	1.48507890771635	8.80747946522641e-24	0.370316040729081	1.17392006555735e-05	1.00405265903581e-22	0.775486621161699	1.69401123384224e-05
Catenibacterium	0.512689647904836	0.440647077829359	0.337578834646593	0.763610756596929	1.16944463507699e-31	0.441488534523527	0.886908862190933	8.8877792265851e-31
Clostridium_IV	3.05247956685723	2.87232881841985	0.00323991328702551	0.849300081717563	4.45689734919374e-11	0.00738700229441816	0.930963551113482	8.19494028722721e-11
Clostridium_XI	1.90365827497832	1.67002542704538	0.00967998987191322	0.611793918262324	8.81053886869542e-16	0.0200639790072383	0.817901460745616	2.28273052507109e-15
Clostridium_XIX	0.376162892434447	0.392434629559169	0.543159469395741	0.374138282139416	4.75772328239586e-25	0.638352366093964	0.775486621161699	1.93707305068974e-24
Clostridium_XVIII	2.60864518541211	2.56704135726949	0.453837384514351	0.00469699193837254	2.76389568398882e-11	0.56236371559387	0.182275227314223	5.4324846202539e-11
Clostridium_XlVa	3.19110074546216	3.39804364315748	1.02495985644482e-07	0.0733340658805346	7.0702671251584e-18	4.17305084409677e-07	0.499442085296903	2.23891792296683e-17
Clostridium_XlVb	2.6107381450975	2.70949271957557	0.102244868292271	0.56104660619308	4.28428379165475e-15	0.16188770812943	0.812916202886197	1.04950093537875e-14
Clostridium_sensu_stricto	1.4155270373539	1.01922989823617	0.000125941415838877	0.701137073487887	1.16885321255334e-17	0.000410209183018056	0.870346322299377	3.60133151975895e-17
Collinsella	2.24332774798438	2.08291633710804	0.0529026730258201	0.996899505467416	3.57007987233408e-30	0.0972726568539272	0.996899505467416	2.26105058581158e-29
