Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
.Eubacterium.	1.082	0.743	1.161	0.636	0.397	0.94	0.726	0.732923076923077	0.976340425531915	1	0.003	0.024
.Ruminococcus.	1.913	0.549	1.931	0.552	0.807	0.791	1	0.942260869565217	0.976340425531915	1	0.001	0.001
.Tissierellaceae._24838	0.306	0.552	0.327	0.589	0.786	0.244	1	0.942260869565217	0.976340425531915	1	0.007	0.007
Actinomyces	0.356	0.427	0.439	0.426	0.149	0.318	1	0.596	0.976340425531915	1	0.014	0.014
Adlercreutzia	0.515	0.566	0.447	0.494	0.34	0.46	1	0.709565217391304	0.976340425531915	1	0.007	0.007
Akkermansia	0.76	0.795	0.544	0.715	0.0363	0.576	1	0.2904	0.976340425531915	1	0.021	0.021
Anaerococcus	0.488	0.693	0.576	0.771	0.374	0.934	1	0.71808	0.976340425531915	1	0.004	0.004
Anaerostipes	0.789	0.522	0.715	0.569	0.322	0.484	0.778	0.709565217391304	0.976340425531915	1	0.007	0.023
Anoxybacillus	0.933	0.826	1.233	1.04	0.0196	0.689	0.976	0.2352	0.976340425531915	1	0.026	0.027
Bacteroides	3.394	0.285	3.408	0.301	0.731	0.132	1	0.942260869565217	0.976340425531915	1	0.011	0.011
Bilophila	0.816	0.588	0.682	0.64	0.109	0.29	0.949	0.493090909090909	0.976340425531915	1	0.017	0.02
Blautia	2.318	0.433	2.275	0.41	0.454	0.387	1	0.778285714285714	0.976340425531915	1	0.006	0.006
Butyricimonas	0.657	0.675	0.531	0.663	0.113	0.798	0.000307	0.493090909090909	0.976340425531915	0.014736	0.009	0.235
Campylobacter	0.35	0.618	0.392	0.648	0.62	0.462	1	0.875294117647059	0.976340425531915	1	0.004	0.004
cc	0.24	0.414	0.128	0.316	0.0266	0.848	0.869	0.25536	0.976340425531915	1	0.022	0.032
Clostridium	1.119	0.634	1.027	0.67	0.291	0.622	0.445	0.709565217391304	0.976340425531915	1	0.006	0.051
Collinsella	0.847	0.725	0.941	0.727	0.327	0.867	0.412	0.709565217391304	0.976340425531915	1	0.004	0.052
Coprobacillus	0.784	0.734	0.719	0.66	0.492	0.317	1	0.814344827586207	0.976340425531915	1	0.007	0.007
Coprococcus	2.106	0.481	1.988	0.487	0.0713	0.823	0.596	0.380266666666667	0.976340425531915	1	0.015	0.045
Corynebacterium	0.155	0.354	0.274	0.51	0.0473	0.88	1	0.324342857142857	0.976340425531915	1	0.018	0.018
Desulfovibrio	0.38	0.563	0.347	0.572	0.665	0.868	0.841	0.886666666666667	0.976340425531915	1	0.001	0.012
Dialister	0.936	0.934	0.932	0.965	0.972	0.933	1	0.972	0.976340425531915	1	0	0
Dorea	1.646	0.426	1.653	0.444	0.899	0.00955	1	0.942260869565217	0.4584	1	0.031	0.031
Faecalibacterium	2.024	0.737	2.042	0.67	0.863	0.309	0.655	0.942260869565217	0.976340425531915	1	0.005	0.031
Finegoldia	0.503	0.67	0.611	0.792	0.264	0.943	0.377	0.709565217391304	0.976340425531915	1	0.005	0.057
Fusobacterium	0.356	0.674	0.348	0.722	0.937	0.802	1	0.956936170212766	0.976340425531915	1	0	0
Geobacillus	1.119	0.85	1.427	1.06	0.0185	0.561	0.877	0.2352	0.976340425531915	1	0.027	0.035
Granulicatella	0.102	0.204	0.133	0.25	0.312	0.798	0.672	0.709565217391304	0.976340425531915	1	0.005	0.032
Haemophilus	0.184	0.398	0.178	0.367	0.903	0.184	1	0.942260869565217	0.976340425531915	1	0.008	0.008
Lachnospira	1.406	0.784	1.347	0.767	0.545	0.911	0.0785	0.843870967741935	0.976340425531915	1	0.002	0.113
Lactobacillus	0.264	0.432	0.319	0.447	0.361	0.566	1	0.71808	0.976340425531915	1	0.005	0.005
Lactococcus	0.277	0.465	0.286	0.453	0.886	0.782	1	0.942260869565217	0.976340425531915	1	0	0
Odoribacter	1.058	0.642	1.099	0.637	0.576	0.399	0.224	0.864	0.976340425531915	1	0.004	0.078
Oscillospira	1.935	0.281	1.959	0.328	0.542	0.366	0.116	0.843870967741935	0.976340425531915	1	0.005	0.098
Parabacteroides	1.582	0.825	1.632	0.862	0.663	0.757	1	0.886666666666667	0.976340425531915	1	0.001	0.001
Paraprevotella	0.49	0.849	0.433	0.79	0.6	0.669	0.603	0.872727272727273	0.976340425531915	1	0.002	0.032
Peptoniphilus	0.64	0.827	0.792	0.902	0.198	0.922	1	0.6592	0.976340425531915	1	0.008	0.008
Phascolarctobacterium	1.54	0.958	1.67	0.91	0.307	0.611	1	0.709565217391304	0.976340425531915	1	0.006	0.006
Prevotella	1.135	1.098	1.256	1.192	0.439	0.856	0.843	0.778285714285714	0.976340425531915	1	0.003	0.014
rc4_4	0.263	0.417	0.278	0.418	0.795	0.352	1	0.942260869565217	0.976340425531915	1	0.004	0.004
Roseburia	1.298	0.756	1.284	0.743	0.876	0.582	0.146	0.942260869565217	0.976340425531915	1	0.001	0.089
Ruminococcus	2.107	0.588	1.973	0.531	0.0617	0.438	0.0547	0.3702	0.976340425531915	1	0.017	0.134
Streptococcus	1.535	0.659	1.65	0.7	0.206	0.758	0.595	0.6592	0.976340425531915	1	0.008	0.041
Sutterella	1.516	0.833	1.669	0.804	0.172	0.988	1	0.635076923076923	0.988	1	0.009	0.009
Thermus	0.272	0.48	0.488	0.646	0.00529	0.617	0.566	0.12696	0.976340425531915	1	0.035	0.068
Turicibacter	0.263	0.48	0.192	0.389	0.229	0.956	1	0.687	0.976340425531915	1	0.007	0.007
Unassigned	3.578	0.173	3.493	0.194	0.000711	0.239	0.932	0.034128	0.976340425531915	1	0.057	0.062
Veillonella	0.474	0.649	0.458	0.491	0.813	0.0474	0.214	0.942260869565217	0.976340425531915	1	0.017	0.09
