Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Saprospira	0.0251681827386085	0.0521116884142572	0	0.336123172492103	0.525128973178991	0.700615537122943	0.326876278255498	0.29860812873888	0.0841201346400685	0.439986050610101	0.999997462702707	0.835767536523599	0.571249124878514	0.968883404849752	0.152379233792447
Aeromonas	0.387808268734081	0.4140946408134	0	6.73332433031995e-05	0.925683936538259	6.64024484362535e-05	0.000269916623483968	0.887805352189223	0.00416017151092611	0.000525004128943788	0.999997462702707	0.000615939952736283	0.00234217973281249	0.97635184755658	0.0116571472545742
Mesoplasma	0.0159663460617837	0	0.0501713787930516	0.215946351768582	0.692652959528409	0.347987536089554	0.188684009800686	0.322024969387582	0.99997013320517	0.33970507968274	0.999997462702707	0.579437786381862	0.417744844743906	0.968883404849752	0.999992249420043
Acetohalobium	0.019420799481717	0.0734940612778456	0	0.0602200955280615	0.0801292274963517	0.810028497855909	0.112697622963809	0.670895247883734	0.999910682372711	0.14399293952932	0.633963594015253	0.904675640735115	0.289385362245907	0.973603481291872	0.999992249420043
Caldisericum	0.0089009288888475	0.0123489501932742	0	0.764434251908055	0.952622903864014	0.815658353837189	0.748530298552957	0.632911187320311	0.999960935528135	0.781873816590368	0.999997462702707	0.904792153328676	0.897083161497742	0.973603481291872	0.999992249420043
Syntrophus	0.0311842255493812	0.0401111663284795	0	0.475986973447702	0.920907988336642	0.532229046498438	0.462944026850539	0.553276353453126	0.0007782342638272	0.547330295867441	0.999997462702707	0.720423197462319	0.681373525382897	0.973603481291872	0.00310140765880766
Novosphingobium	0.15392124061896	0.0810900015931968	0	0.0175067935313709	0.257244383699153	0.0239555488795314	0.45383939876686	0.0119697741939192	0.00132825209703111	0.0592368233954563	0.999997462702707	0.104357508009057	0.681373525382897	0.968883404849752	0.00481942851184574
Deferribacter	0.00215345980294618	0	0	0.803012571197382	0.840905651326766	0.896350322235642	1	0.326643618166378	0.971435235214944	0.810545522146701	0.999997462702707	0.948842246325236	1	0.968883404849752	0.999992249420043
Thioalkalivibrio	0.198881865653697	0.259365674028039	0	0.00874626502228564	0.551022988111669	0.0197530683691363	0.00755713935487468	0.991520665829365	0.000801940574552499	0.0343466465838662	0.999997462702707	0.0900605998525026	0.0410680906355816	0.995220369806341	0.00315176772946638
Thermodesulfovibrio	0.00603349187656473	0.0289469399669966	0	0.319569298544045	0.337057657557798	0.953010327315998	0.443936382048547	0.120907301173862	0.0605228104139195	0.420362549185076	0.999997462702707	0.983802005416071	0.67851640210829	0.968883404849752	0.1188367591339
Proteus	0.0955679090937324	0.451945417661125	0.444804231901472	2.05754241889509e-05	0.00019044180719141	0.00470926320292253	0.998248662383046	0.694914008951819	0.0651190749594188	0.000178541584091219	0.00595858601130451	0.0293760366010271	1	0.973603481291872	0.125121651172026
Veillonella	0.737944952256567	0.512042280116105	0.0514736936843547	5.24852103469795e-05	0.156614979729689	4.73388035728828e-05	0.0292601255846796	0.632419100333459	0.000566263743966447	0.000427833987373863	0.879463032060613	0.00047163474670761	0.119462208689387	0.973603481291872	0.00237154220679651
Photorhabdus	0.0630444531728783	0.130688966200604	0.103323190532405	0.205086751527626	0.20374066047107	0.697140892189986	0.883889332387336	0.386846131089246	0.368709331660499	0.332339374463442	0.970021905605625	0.833470666662694	1	0.968883404849752	0.513900571070851
