Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Gordonibacter	0.691996155200109	0.348267316417932	5.95844694224792e-07	0.517349683503363	3.07340489825766e-05	2.94417378322838e-06	0.944792645168123	4.4511381285111e-05
Veillonella	1.35297769261755	1.05535765143517	0.000290508095193577	0.0917612819035109	1.88288451120703e-22	0.00116203238077431	0.706673465180189	7.18919540642682e-22
Enterococcus	0.362873310494307	0.467850985796598	0.0627742496537082	0.265918357440348	2.69480831725913e-27	0.135206076177218	0.942512218162511	1.88636582208139e-26
Anoxybacillus	1.30462586811355	2.88915064671521	4.01586233789697e-37	0.120879878019079	0.00567150639815364	3.37332436383346e-35	0.706673465180189	0.00652611695130008
Coxiella	0.395307730026021	0.436354841233688	0.366211272360203	0.938018054179775	1.6861909496839e-53	0.488281696480271	0.976688707624044	1.41640039773447e-51
Roseburia	3.17572233155797	3.03910137288633	0.00519999608042675	0.790909440184811	5.0738146015599e-12	0.0141827152220895	0.976688707624044	1.15189304467846e-11
Rhizobium	0.330762225937483	0.309800168690847	0.733999116122192	0.32364456495131	0.00087626207316045	0.78045475638309	0.942512218162511	0.00115009397102309
Paludibacter	2.15523984066554	2.06433489011482	0.163513558680775	0.572679609598122	2.72280826836827e-35	0.280308957738471	0.962101744124846	5.71789736357336e-34
Ruminococcus	2.47064221212317	2.42290556911573	0.443201241057096	0.888083682381455	1.10972536225729e-28	0.56407430679994	0.976688707624044	9.32169304296119e-28
Olsenella	2.23911693628964	2.16125313516305	0.34251808635329	0.636596095842734	4.52436988475166e-27	0.479299831124939	0.976688707624044	2.92343900245492e-26
Faecalibacterium	3.55922371895093	3.62089694722897	0.427745303678529	0.325911094568949	3.44171488610113e-37	0.561415711078069	0.942512218162511	9.63680168108317e-36
Acidaminococcus	2.96214892130582	2.6725195562763	5.9493952359569e-06	0.360644401599007	1.07532066749356e-32	2.77638444344655e-05	0.942512218162511	1.29038480099227e-31
