Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Gordonibacter	0.691996155200109	0.689	0.348267316417932	0.458	5.96e-07	0.517	3.07e-05	4.22618181818182e-06	0.944571428571429	5.64483870967742e-05	0.08	0.306
Veillonella	1.35297769261755	0.952	1.05535765143517	0.911	0.000291	0.0918	<2e-16	0.0015132	0.70875	NA	0.028	0.594
Enterococcus	0.362873310494307	0.737	0.467850985796598	0.754	0.0628	0.266	<2e-16	0.148436363636364	0.941818181818182	NA	0.007	0.641
Anoxybacillus	1.30462586811355	0.689	2.88915064671521	0.936	<2e-16	0.121	0.00567	NA	0.70875	0.00702586956521739	0.488	0.569
Coxiella	0.395307730026021	0.887	0.436354841233688	0.935	0.366	0.938	<2e-16	0.500842105263158	0.977	NA	0.001	0.827
Roseburia	3.17572233155797	0.507	3.03910137288633	0.49	0.0052	0.791	5.07e-12	0.0163176	0.977	2.8899e-11	0.019	0.429
Rhizobium	0.330762225937483	0.511	0.309800168690847	0.473	0.734	0.324	0.000876	0.78427397260274	0.941818181818182	0.00133146153846154	0.004	0.197
Paludibacter	2.15523984066554	1.11	2.06433489011482	1.045	0.164	0.573	<2e-16	0.297488372093023	0.96264	NA	0.003	0.715
Ruminococcus	2.47064221212317	1.15	2.42290556911573	1.07	0.443	0.888	<2e-16	0.5759	0.977	NA	0.001	0.656
Olsenella	2.23911693628964	1.097	2.16125313516305	0.955	0.343	0.637	<2e-16	0.493527272727273	0.977	NA	0.002	0.637
Faecalibacterium	3.55922371895093	0.714	3.62089694722897	0.782	0.428	0.326	<2e-16	0.575586206896552	0.941818181818182	NA	0.002	0.74
Acidaminococcus	2.96214892130582	0.927	2.6725195562763	0.848	5.95e-06	0.361	<2e-16	3.8675e-05	0.941818181818182	NA	0.029	0.7
Clostridium	2.78490803253924	0.517	3.01676206832587	0.502	9.71e-06	0.623	1.28e-09	5.826e-05	0.977	3.84e-09	0.053	0.401
Eggerthella	1.5176708478884	0.804	1.61113894710764	0.726	0.18	0.947	4.62e-12	0.319090909090909	0.977	2.8899e-11	0.004	0.421
Listeria	0.188522850114075	0.369	0.226194473856817	0.31	0.36	0.0751	0.0708	0.500842105263158	0.70875	0.080712	0.015	0.115
Lactococcus	1.0362243916395	0.869	0.723863719995763	0.749	0.000893	0.0053	0.000204	0.00421658823529412	0.1484	0.000363375	0.06	0.264
Desulfovibrio	1.26105897296379	0.989	1.03943202770662	0.954	0.00663	0.77	<2e-16	0.01989	0.977	NA	0.012	0.625
Rothia	0.424211677318361	0.616	0.239460016754858	0.43	0.00146	0.747	3.24e-09	0.00624	0.977	7.695e-09	0.028	0.375
Candidatus_Endolissoclinum	0.172279641273422	0.312	0.175908455825421	0.291	0.901	0.37	0.0324	0.912701298701299	0.941818181818182	0.0376897959183673	0.003	0.124
Halothiobacillus	0.735388397323887	0.669	0.687544321076835	0.63	0.49	0.483	4.09e-09	0.625258064516129	0.944571428571429	9.3252e-09	0.003	0.356
Methylocella	0.58815204261809	0.494	0.507358031725874	0.508	0.129	0.00117	1.23e-05	0.25155	0.09828	2.337e-05	0.04	0.288
Prevotella	2.60451914262238	1.151	3.11124556734459	0.944	1.65e-09	0.251	<2e-16	1.60875e-08	0.941818181818182	NA	0.06	0.658
Faecalitalea	1.27923076185888	0.973	1.39733196409849	0.953	0.134	0.873	<2e-16	0.254926829268293	0.977	NA	0.004	0.637
Flavobacterium	0.328522149447363	0.596	0.358984095140326	0.634	0.507	0.543	<2e-16	0.627714285714286	0.944571428571429	NA	0.002	0.508
Bacillus	1.45576580683968	0.765	1.67955935720811	0.808	0.0016	0.623	<2e-16	0.00624	0.977	NA	0.02	0.547
Blautia	4.01412991599077	0.259	4.00224710578085	0.3	0.728	0.0187	4.34e-07	0.78427397260274	0.3927	9.51461538461539e-07	0.017	0.314
Beutenbergia	0.185907273868325	0.283	0.168316726780917	0.273	0.626	0.834	0.893	0.728776119402985	0.977	0.908946428571428	0.001	0.008
