Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Aeromonas	0.387808268734081	0.4140946408134	0	1.19722930298265e-07	0.925683936538259	6.64024484362535e-05	0.000269916623483968	0.866456736073545	0.00416017151092611	3.02157871705145e-07	0.999986120067965	0.000281546381369715	0.00100390042418599	0.967715040234733	0.00648497323762012
Novosphingobium	0.15392124061896	0.0810900015931968	0	1.05562881452936e-05	0.257244383699153	0.0239555488795314	0.45383939876686	0.00367615933964029	0.00132825209703111	2.03448462436568e-05	0.786532984142464	0.0447295077698768	0.495948208961723	0.735914633896254	0.00249360830000332
Thioalkalivibrio	0.198881865653697	0.259365674028039	0	1.40389456615194e-05	0.551022988111669	0.0197530683691363	0.00755713935487468	0.995036511254875	0.000801940574552499	2.65737185735902e-05	0.999986120067965	0.0387745416134897	0.0182058357185617	0.996277010824927	0.00155973763123972
Proteus	0.0955679090937324	0.451945417661125	0.444804231901472	0.00014925858661329	0.00019044180719141	0.00470926320292253	0.998248662383046	0.67872482468728	0.0651190749594188	0.00023439126194087	0.0026915775416386	0.0129113435103742	0.999998290159146	0.958850702308774	0.081687833676904
Veillonella	0.737944952256567	0.512042280116105	0.0514736936843547	1.84077134075071e-05	0.156614979729689	4.73388035728828e-05	0.0292601255846796	0.553473091629705	0.000566263743966447	3.36416831240647e-05	0.562752130554138	0.000209079715780232	0.0544424832100525	0.935329664208938	0.00117040705005
Rickettsia	0.188835071039489	0.225877339034482	0.308241930669063	0.114782905439058	0.792659919919692	0.222534138002971	0.586183066823871	0.982411034636716	0.302449011217034	0.119284195848433	0.999986120067965	0.25639802856864	0.627630354377074	0.996277010824927	0.327138726418424
Butyrivibrio	0.764555814580835	0.910391302189621	0.0501713787930516	1.01843603808352e-08	0.259704287216851	2.55978229724008e-08	8.69749816612142e-09	0.710136947367539	0.916588090399	3.32166830882625e-08	0.786532984142464	1.42808907109183e-07	6.35817107316462e-08	0.967715040234733	0.929744857246833
Methylocystis	0.0633788171477075	0.185979132364713	0.340766676040553	0.000266700874081721	0.0553033111454981	0.000148971708368917	0.114262796562392	0.824510391636065	0.433350972649333	0.000399999671582078	0.300623127252451	0.000584851892115007	0.152350395416523	0.967715040234733	0.452563577348072
Azospirillum	0.321164203238126	0.31795494006597	0	7.12311784814277e-13	0.998909144812644	0.00158636301544346	0.00864342246271532	0.0737796517440341	6.57576712187108e-09	2.96098232118876e-12	0.999986120067965	0.00473674590526779	0.0201363248581939	0.793178874189712	7.7447923879815e-08
Gluconobacter	0.124245819887176	0.109890824418694	0	0.0131250680898095	0.946278753407356	0.0787929839789534	0.226265834548147	0.549703521299491	0.0536163105103133	0.014644812815998	0.999986120067965	0.105057311971938	0.283836431504185	0.935329664208938	0.0693088891962586
