Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Aeromonas	0.387808268734081	0.321	0.4140946408134	0.425	0	0	1.2e-07	0.926	6.64e-05	0.00027	0.866	0.00416	4.4e-07	1	0.000281536	0.00100421052631579	0.96738947368421	0.00648470588235294	0.199	0.384
Novosphingobium	0.15392124061896	0.247	0.0810900015931968	0.168	0	0	1.06e-05	0.257	0.024	0.454	0.00368	0.00133	2.52108108108108e-05	0.787428571428571	0.0447965217391304	0.496123711340206	0.734933333333333	0.00248869565217391	0.183	0.417
Thioalkalivibrio	0.198881865653697	0.258	0.259365674028039	0.368	0	0	1.4e-05	0.551	0.0198	0.00756	0.995	0.000802	3.24210526315789e-05	1	0.0388666666666667	0.0182127272727273	0.996	0.00155985321100917	0.137	0.36
Proteus	0.0955679090937324	0.265	0.451945417661125	0.71	0.444804231901472	0.387	0.000149	0.00019	0.00471	0.998	0.679	0.0651	0.000264888888888889	0.00268533333333333	0.0129102564102564	1	0.958913907284768	0.0816639053254438	0.126	0.217
Veillonella	0.737944952256567	0.596	0.512042280116105	0.601	0.0514736936843547	0.206	1.84e-05	0.157	4.73e-05	0.0293	0.553	0.000566	4.048e-05	0.564135593220339	0.000208908333333333	0.0543826086956522	0.936061538461538	0.00117114563106796	0.142	0.41
Rickettsia	0.188835071039489	0.226	0.225877339034482	0.278	0.308241930669063	0.429	0.115	0.793	0.223	0.586	0.982	0.302	0.12047619047619	1	0.256934782608696	0.627434343434343	0.996	0.32665306122449	0.031	0.104
Butyrivibrio	0.764555814580835	0.417	0.910391302189621	0.558	0.0501713787930516	0.201	1.02e-08	0.26	2.56e-08	8.7e-09	0.71	0.917	6.19034482758621e-08	0.787428571428571	1.42821052631579e-07	6.36e-08	0.96738947368421	0.930162679425837	0.243	0.249
Methylocystis	0.0633788171477075	0.148	0.185979132364713	0.365	0.340766676040553	0.423	0.000267	0.0553	0.000149	0.114	0.825	0.433	0.000444981132075472	0.300605128205128	0.000584962962962963	0.152	0.96738947368421	0.452197044334975	0.116	0.152
Azospirillum	0.321164203238126	0.352	0.31795494006597	0.378	0	0	7.12e-13	0.999	0.00159	0.00864	0.0738	6.58e-09	8.35413333333333e-12	1	0.00474760563380282	0.0201283516483516	0.79288	7.74977777777778e-08	0.283	0.651
Gluconobacter	0.124245819887176	0.223	0.109890824418694	0.225	0	0	0.0131	0.946	0.0788	0.226	0.55	0.0536	0.0149714285714286	1	0.105066666666667	0.283502958579882	0.936061538461538	0.0692878048780488	0.062	0.19
Paludibacter	0.561862419888639	0.388	0.393093894502881	0.453	0	0	5.92e-14	0.101	6.37e-07	0.00368	0.735	9.58e-07	1.15768888888889e-12	0.449959183673469	3.29375609756098e-06	0.0100020512820513	0.96738947368421	5.0774e-06	0.337	0.608
Olsenella	0.619447772102993	0.436	0.699078417144397	0.547	0.0501713787930516	0.201	5.33e-15	0.679	1.36e-05	2.04e-05	0.683	1.59e-07	1.75706666666667e-13	1	6.55272727272727e-05	9.20170212765957e-05	0.958913907284768	1.066625e-06	0.326	0.641
Faecalibacterium	3.13404856569183	0.617	3.18048679779973	0.737	1.17842009056265	0.704	<2e-16	0.941	1.68e-14	3.08e-14	0.958	0.000569	NA	1	2.09505882352941e-13	3.97811764705882e-13	0.991746341463415	0.00117114563106796	0.555	0.71
Acidaminococcus	0.981715912216904	0.625	0.923888041518954	0.882	0.198206588087761	0.366	<2e-16	0.912	6.34e-05	0.00178	0.0658	3.05e-16	NA	1	0.000274302040816327	0.00531492957746479	0.79288	6.466e-14	0.309	0.746
Listeria	0.192806289668932	0.239	0.173392451552392	0.256	0	0	0.000793	0.918	0.00629	0.0454	0.352	0.105	0.00116306666666667	1	0.015688	0.0776193548387097	0.936061538461538	0.123666666666667	0.102	0.221
Lactococcus	0.628083496110843	0.543	0.361148703038578	0.54	0	0	2.76e-06	0.0432	3.6e-05	0.0675	0.433	0.046	7.36e-06	0.269364705882353	0.000162382978723404	0.100514685314685	0.936061538461538	0.0598282208588957	0.173	0.389
Rothia	0.406064306833877	0.478	0.353304414551663	0.601	0	0	0.000153	0.865	0.00581	0.0525	0.416	6.49e-05	0.00026928	1	0.01484	0.086953125	0.936061538461538	0.000183450666666667	0.113	0.376
Achromobacter	0.161382252416757	0.238	0.234706368800604	0.312	0	0	4.52e-05	0.338	0.039	0.00687	0.793	0.00214	8.93842696629213e-05	0.907037974683544	0.0636	0.0171345882352941	0.96738947368421	0.00371868852459016	0.122	0.329
Acidovorax	0.30750142911516	0.3	0.255974007330196	0.389	0	0	2.14e-06	0.71	0.000766	0.0223	0.829	0.0243	6.07483870967742e-06	1	0.002537375	0.0449757009345794	0.96738947368421	0.0336705882352941	0.173	0.356
Allochromatium	0.123131049895068	0.186	0.128729990051295	0.263	0	0	0.0105	0.99	0.0525	0.0912	0.794	0.29	0.0124864864864865	1	0.0800719424460432	0.125548051948052	0.96738947368421	0.315282051282051	0.064	0.146
Acetobacterium	0.142675498980405	0.2	0.14228685185775	0.247	0	0	0.00666	1	0.0243	0.0632	0.79	0.0769	0.00825464788732394	1	0.0447965217391304	0.0969142857142857	0.96738947368421	0.0931588571428571	0.068	0.193
Pelobacter	0.239354769491731	0.31	0.29446014873312	0.364	0	0	9.01e-08	0.678	0.0118	0.00717	0.647	5.09e-05	3.44730434782609e-07	1	0.0245254901960784	0.017471724137931	0.937414965986395	0.000148109589041096	0.191	0.468
Actinoplanes	0.18107809679135	0.259	0.184641842558919	0.301	0	0	2.45e-06	0.998	0.0247	0.0567	0.256	8.54e-05	6.7375e-06	1	0.0451413793103448	0.0917587786259542	0.936061538461538	0.000232112820512821	0.158	0.436
Tistrella	0.103670784621492	0.191	0.183586764900134	0.319	0	0	0.00263	0.191	0.173	0.0187	0.959	0.0205	0.00353343511450382	0.626215384615385	0.206044943820225	0.0388666666666667	0.991746341463415	0.0285921052631579	0.075	0.216
Pedobacter	0.168904157490442	0.221	0.162109117017061	0.24	0	0	0.0049	0.988	0.00974	0.0407	0.0476	0.0761	0.0062948905109489	1	0.0212874226804124	0.0713090909090909	0.776246153846154	0.0927195402298851	0.092	0.228
Chromobacterium	0.119404922158451	0.196	0.183188375462973	0.258	0.183312868833332	0.336	0.897	0.386	0.546	1	0.0408	0.00255	0.897	0.972705882352941	0.584606060606061	1	0.776246153846154	0.00427338582677165	0.025	0.212
Brevibacillus	0.129034969632461	0.227	0.0994917073381142	0.163	0	0	0.0118	0.77	0.0472	0.255	0.0247	0.243	0.013753642384106	1	0.0741214814814815	0.310689655172414	0.776246153846154	0.266922279792746	0.092	0.17
Prevotella	1.69857977976149	0.653	2.00226804876987	0.926	0.505838599324267	0.714	<2e-16	0.125	2.55e-08	2.24e-09	0.479	1.83e-09	NA	0.490740740740741	1.42821052631579e-07	1.82646153846154e-08	0.936061538461538	3.233e-08	0.353	0.664
Shewanella	0.283619386957969	0.309	0.432063381526893	0.503	0.183920354914156	0.292	2.14e-05	0.124	0.546	0.0666	0.108	3.33e-06	4.5378313253012e-05	0.490740740740741	0.584606060606061	0.100136170212766	0.880615384615385	1.47075e-05	0.12	0.441
Rhodobacter	0.155051436933263	0.237	0.276182753347298	0.306	0	0	1.5e-08	0.0513	0.0465	0.00099	0.42	2.31e-06	8.8e-08	0.293452631578947	0.0735671641791045	0.00322892307692308	0.936061538461538	1.06460869565217e-05	0.188	0.516
Faecalitalea	1.62936683184319	0.457	1.55081903799914	0.615	0.314458178277715	0.456	<2e-16	0.736	2.81e-14	1.13e-12	0.241	5.08e-05	NA	1	2.83895652173913e-13	1.1407619047619e-11	0.936061538461538	0.000148109589041096	0.505	0.694
Flavobacterium	0.257032394574059	0.252	0.736445139422321	0.487	1.61209956122329	0.16	<2e-16	4.1e-11	1.67e-15	3.19e-14	0.135	0.0671	NA	1.60766666666667e-09	3.5404e-14	3.97811764705882e-13	0.888108108108108	0.0836776470588235	0.659	0.707
Catenulispora	0.116723478267962	0.214	0.152939848369344	0.311	0	0	0.0174	0.733	0.136	0.0803	0.372	0.179	0.0195057324840764	1	0.168608187134503	0.115024324324324	0.936061538461538	0.199726315789474	0.06	0.157
Bacillus	0.698319569007481	0.477	1.22039139789521	0.926	0.508466592090234	0.484	2.36e-10	0.000189	0.461	0.000546	0.236	4.57e-08	1.888e-09	0.00268533333333333	0.503773195876289	0.0018975737704918	0.936061538461538	3.87536e-07	0.209	0.548
Blautia	2.66407046815116	0.407	2.62893628581871	0.715	0.559673204898591	0.765	<2e-16	0.948	1.67e-15	2.33e-15	0.192	0.00135	NA	1	3.5404e-14	1.2349e-13	0.934727272727273	0.00248869565217391	0.656	0.737
Treponema	0.759072735615388	0.363	0.89784136879476	0.403	0.0351516110313809	0.141	<2e-16	0.166	1.6e-11	5.81e-12	0.938	2.19e-09	NA	0.567612903225806	1.21142857142857e-10	5.35530434782609e-11	0.991746341463415	3.57138461538462e-08	0.441	0.742
