Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Aeromonas	0.388	0.321	0.414	0.425	0	0	6.73332433031995e-05	0.925683936538259	6.64024484362535e-05	0.000269916623483968	0.887805352189223	0.00416017151092611	0.000237910793004638	0.999986120067965	0.000281546381369715	0.00100390042418599	0.992849071326454	0.00648497323762012
Novosphingobium	0.154	0.247	0.081	0.168	0	0	0.0175067935313709	0.257244383699153	0.0239555488795314	0.45383939876686	0.0119697741939192	0.00132825209703111	0.0279055656289521	0.786532984142464	0.0447295077698768	0.495948208961723	0.992849071326454	0.00249360830000332
Thioalkalivibrio	0.199	0.258	0.259	0.368	0	0	0.00874626502228564	0.551022988111669	0.0197530683691363	0.00755713935487468	0.991520665829365	0.000801940574552499	0.015847933202774	0.999986120067965	0.0387745416134897	0.0182058357185617	0.995687648170567	0.00155973763123972
Proteus	0.096	0.265	0.452	0.71	0.445	0.387	2.05754241889509e-05	0.00019044180719141	0.00470926320292253	0.998248662383046	0.694914008951819	0.0651190749594188	7.78926772867427e-05	0.0026915775416386	0.0129113435103742	0.999998290159146	0.992849071326454	0.081687833676904
Veillonella	0.738	0.596	0.512	0.601	0.051	0.206	5.24852103469795e-05	0.156614979729689	4.73388035728828e-05	0.0292601255846796	0.632419100333459	0.000566263743966447	0.000195208150764205	0.562752130554138	0.000209079715780232	0.0544424832100525	0.992849071326454	0.00117040705005
Rickettsia	0.189	0.226	0.226	0.278	0.308	0.429	0.23770505294985	0.792659919919692	0.222534138002971	0.586183066823871	0.979411064781586	0.302449011217034	0.249472629828556	0.999986120067965	0.25639802856864	0.627630354377074	0.995687648170567	0.327138726418424
Butyrivibrio	0.765	0.417	0.91	0.558	0.05	0.201	3.66512558278667e-09	0.259704287216851	2.55978229724008e-08	8.69749816612142e-09	0.711043309524237	0.916588090399	1.85001577035899e-08	0.786532984142464	1.42808907109183e-07	6.35817107316462e-08	0.992849071326454	0.929744857246833
Methylocystis	0.063	0.148	0.186	0.365	0.341	0.423	8.28736780422496e-05	0.0553033111454981	0.000148971708368917	0.114262796562392	0.827393686423316	0.433350972649333	0.000283374512015434	0.300623127252451	0.000584851892115007	0.152350395416523	0.992849071326454	0.452563577348072
Azospirillum	0.321	0.352	0.318	0.378	0	0	0.00214131306569583	0.998909144812644	0.00158636301544346	0.00864342246271532	0.202313083237068	6.57576712187108e-09	0.00488127279491953	0.999986120067965	0.00473674590526779	0.0201363248581939	0.992849071326454	7.7447923879815e-08
Gluconobacter	0.124	0.223	0.11	0.225	0	0	0.0971569842080023	0.946278753407356	0.0787929839789534	0.226265834548147	0.583338775822272	0.0536163105103133	0.107839165717783	0.999986120067965	0.105057311971938	0.283836431504185	0.992849071326454	0.0693088891962586
Paludibacter	0.562	0.388	0.393	0.453	0	0	8.12554627132866e-07	0.101080066767766	6.36620515193087e-07	0.00368251101760575	0.772820911388804	9.58471264605096e-07	3.66514002025888e-06	0.448454179642699	3.29179388343743e-06	0.0100088760991336	0.992849071326454	5.07989770240701e-06
Olsenella	0.619	0.436	0.699	0.547	0.05	0.201	7.70112138134818e-06	0.678771927524013	1.36118791815854e-05	2.03551687351089e-05	0.747919832075783	1.59297913202375e-07	3.14445090855009e-05	0.999986120067965	6.55845087840022e-05	9.18148036562359e-05	0.992849071326454	1.06628182072523e-06
Faecalibacterium	3.134	0.617	3.18	0.737	1.178	0.704	1.71135398275459e-20	0.941142152814868	1.67643676718399e-14	3.07531777821168e-14	0.959312139068961	0.000568641161109199	2.12640016942509e-19	0.999986120067965	2.09061526260591e-13	3.97355351237018e-13	0.995687648170567	0.00117040705005
Acidaminococcus	0.982	0.625	0.924	0.882	0.198	0.366	0.000109511713424884	0.912088904355882	6.34437705619995e-05	0.00178062785331867	0.280192588901688	3.04942860349931e-16	0.000362757550719929	0.999986120067965	0.000274491415492732	0.00531680429441632	0.992849071326454	6.46478863941854e-14
