Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Blautia	1.09870201039389	1.75310523848197	0	0.049502549611823	0.393893274646696	0.193103687531402	0.0474044205887996	0.990480143684472	0.593691589919453	0.113855864107193	0.999816050731035	0.986974402938277	0.249902250257787	0.998728996343096	0.758605920452634
Clostridium	0.283464768702664	0.570075211347082	0	0.339170974774278	0.555427656067487	0.694983687439272	0.33980783080671	0.791914119051543	0.427159709544553	0.520062161320559	0.999816050731035	1	0.914199811146187	0.994404046320833	0.677563677208601
Phascolarctobacterium	0.169163964115593	0.211769281166358	0	0.262947483541893	0.975969589452028	0.785523704446964	0.75613289891079	0.998728996343096	2.4136192865114e-05	0.417089111825072	0.999816050731035	1	1	0.998728996343096	0.000138783108974406
Porphyromonas	0	1.25488581085762	0	2.08362489349864e-06	8.7677808291442e-07	1	0.000959728175715324	0.0695989791466775	0.564789548208225	2.39616862752343e-05	4.03317918140633e-05	1	0.014715832027635	0.601984694770294	0.758605920452634
Methanobrevibacter	0.122484749125543	0	0	0.78941153363762	0.703496343835005	0.800711276007747	1	0.129983130262838	0.589759723846064	0.876772968148028	0.999816050731035	1	1	0.601984694770294	0.758605920452634
Acidaminococcus	0.172649638584274	0.403080268787156	0	0.0381016814480252	0.562704024725889	0.81502918551475	0.441068275540594	0.506662431004095	5.97091787439112e-11	0.101301763152106	0.999816050731035	1	0.967527665354942	0.832373993792442	9.15540740739972e-10
Haemophilus	0.0626492169542664	0	0	0.893415465698576	0.840905651326766	0.896350322235641	1	0.293305192173762	0.549289232251643	0.893415465825035	0.999816050731035	1	1	0.601984694770294	0.758605920452634
Enterococcus	0.0583117211028015	0	0	0.893304292415028	0.840863838101798	0.896322156039649	1	0.28505078058229	0.549803437682412	0.893415465825035	0.999816050731035	1	1	0.601984694770294	0.758605920452634
Faecalibacterium	2.01011928048574	2.5268364024796	0	4.15001287722116e-06	0.640318490835695	0.0166609716425153	0.00864461748856271	0.0981661760752773	0.000244033697167557	3.81801184704346e-05	0.999816050731035	0.127734115925951	0.0994131011184712	0.601984694770294	0.0010205045517916
Paraprevotella	0.593034205409961	0.196143833398499	0	0.0920261424978551	0.463682509385655	0.339878848661052	0.915558613775087	0.143468915926425	1.71886399539795e-12	0.18405228499571	0.999816050731035	1	1	0.601984694770294	3.95338718941529e-11
Bifidobacterium	0.381168275798312	0.386378973684005	0	0.162511093487342	0.999816050731035	0.539554580877134	0.625366693269839	0.245606569312133	3.82408304995601e-05	0.287519626939143	0.999816050731035	1	1	0.601984694770294	0.000195453133664418
Veillonella	0.0641583842257817	0	0	0.893415465825035	0.840905651326766	0.896350322235639	1	0.293305192110772	0.549289232251643	0.893415465825035	0.999816050731035	1	1	0.601984694770294	0.758605920452634
Roseburia	1.11418563411874	0.78618717606878	0	0.0402440307912188	0.739387783840002	0.115926033013989	0.447204260159285	0.834905837379294	0.237905073006915	0.101301763152106	0.999816050731035	0.666574689830436	0.967527665354942	0.998728996343096	0.405319754011782
Adlercreutzia	0.0494034818878052	0	0	0.799260743747711	0.840863838101798	0.896322156039649	1	0.317390638488509	0.971445600867839	0.876772968148028	0.999816050731035	1	1	0.601984694770294	0.999847019189657
Parabacteroides	2.4421356879488	1.19540907797415	0	6.57548598895871e-05	0.0710732723054806	0.002083140732136	0.315918512914407	0.724768338379556	0.0131418687684223	0.000432103364988715	0.544895087675351	0.0231138968792489	0.914199811146187	0.981932482272899	0.0274784528794285
