Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Blautia	1.099	2.35	1.753	2.852	0	0	0.0495	0.394	0.193	0.0474	0.99	0.594	0.11385	1	0.986444444444444	0.249933333333333	0.999	0.759	0.041	0.086
Clostridium	0.283	1.253	0.57	1.705	0	0	0.339	0.555	0.695	0.34	0.792	0.427	0.5198	1	1	0.914888888888889	0.994594594594595	0.677310344827586	0.015	0.06
Phascolarctobacterium	0.169	0.963	0.212	1.121	0	0	0.263	0.976	0.786	0.756	0.999	2.41e-05	0.417172413793103	1	1	1	0.999	0.000138575	0.017	0.274
Porphyromonas	0	0	1.255	2.497	0	0	2.08e-06	8.77e-07	1	0.00096	0.0696	0.565	2.392e-05	4.0342e-05	1	0.01472	0.60168	0.759	0.191	0.214
Methanobrevibacter	0.122	0.858	0	0	0	0	0.789	0.703	0.801	1	0.13	0.59	0.877285714285714	1	1	1	0.60168	0.759	0.017	0.156
Acidaminococcus	0.173	0.982	0.403	1.48	0	0	0.0381	0.563	0.815	0.441	0.507	5.97e-11	0.1012	1	1	0.968090909090909	0.832928571428571	9.154e-10	0.033	0.431
Haemophilus	0.063	0.623	0	0	0	0	0.893	0.841	0.896	1	0.293	0.549	0.893	1	1	1	0.60168	0.759	0.008	0.156
Enterococcus	0.058	0.58	0	0	0	0	0.893	0.841	0.896	1	0.285	0.55	0.893	1	1	1	0.60168	0.759	0.009	0.156
Faecalibacterium	2.01	2.803	2.527	2.981	0	0	4.15e-06	0.64	0.0167	0.00864	0.0982	0.000244	3.818e-05	1	0.128033333333333	0.09936	0.60168	0.00102036363636364	0.147	0.444
Paraprevotella	0.593	1.787	0.196	1.038	0	0	0.092	0.464	0.34	0.916	0.143	1.72e-12	0.184	1	1	1	0.60168	3.956e-11	0.022	0.684
Bifidobacterium	0.381	1.407	0.386	1.42	0	0	0.163	1	0.54	0.625	0.246	3.82e-05	0.288384615384615	1	1	1	0.60168	0.000195244444444444	0.026	0.372
Veillonella	0.064	0.638	0	0	0	0	0.893	0.841	0.896	1	0.293	0.549	0.893	1	1	1	0.60168	0.759	0.008	0.156
Roseburia	1.114	2.235	0.786	1.967	0	0	0.0402	0.739	0.116	0.447	0.835	0.238	0.1012	1	0.667	0.968090909090909	0.999	0.405481481481481	0.046	0.13
Adlercreutzia	0.049	0.492	0	0	0	0	0.799	0.841	0.896	1	0.317	0.971	0.877285714285714	1	1	1	0.60168	1	0.01	0.012
Parabacteroides	2.442	2.873	1.195	2.336	0	0	6.58e-05	0.0711	0.00208	0.316	0.725	0.0131	0.0004324	0.5451	0.023092	0.914888888888889	0.982235294117647	0.0273909090909091	0.132	0.336
Clostridiaceae_noname	0	0	0.194	1.027	0	0	0.13	0.113	1	0.358	0.316	1	0.2392	0.6785	1	0.914888888888889	0.60168	1	0.035	0.035
Bilophila	0.32	1.273	0.177	0.937	0	0	0.0224	0.829	0.554	0.875	0.726	0.00028	0.0644	1	1	1	0.982235294117647	0.00107333333333333	0.054	0.272
Anaeroglobus	0.064	0.64	0.207	1.094	0	0	0.448	0.623	0.941	0.628	0.127	0.00791	0.624484848484849	1	1	1	0.60168	0.018193	0.024	0.154
Sutterellaceae_unclassified	0.049	0.486	0	0	0	0	0.893	0.841	0.896	1	0.285	0.55	0.893	1	1	1	0.60168	0.759	0.009	0.156
Klebsiella	0.327	1.428	0.236	1.249	0	0	0.121	0.944	0.628	0.835	0.269	1.85e-08	0.231916666666667	1	1	1	0.60168	2.1275e-07	0.026	0.502
Oscillibacter	0.697	1.81	0.519	1.538	0	0	0.0418	0.872	0.269	0.581	0.544	0.075	0.1012	1	1	1	0.840266666666667	0.14375	0.048	0.179
Lachnospiraceae_noname	0.405	1.485	1.247	2.439	0	0	0.0166	0.0454	0.628	0.0423	0.117	0.426	0.0509066666666667	0.41768	1	0.249933333333333	0.60168	0.677310344827586	0.07	0.123
Flavonifractor	0.107	0.747	0	0	0	0	0.217	0.707	0.803	1	0.978	0.00409	0.3565	1	1	1	0.999	0.0104522222222222	0.022	0.17
Streptococcus	0.359	1.424	0	0	0	0	0.418	0.341	0.505	1	0.299	0.00125	0.600875	1	1	1	0.60168	0.00359375	0.015	0.426
Escherichia	0.944	2.251	2.767	3.27	0.905	2.474	0.00375	0.00244	0.998	0.0489	0.149	0.000662	0.0215363636363636	0.05612	1	0.249933333333333	0.60168	0.00234246153846154	0.073	0.318
Alistipes	2.951	3.069	1.752	2.611	0	0	1.87e-09	0.118	0.000451	0.12	0.302	2.12e-05	2.86733333333333e-08	0.6785	0.00691533333333333	0.475333333333333	0.60168	0.000138575	0.227	0.572
Megamonas	0.061	0.605	0	0	0	0	0.801	0.841	0.896	1	0.327	0.959	0.877285714285714	1	1	1	0.60168	1	0.01	0.013
Prevotella	0.622	1.983	1.8	2.909	0	0	0.00515	0.0264	0.516	0.0193	0.8	1.38e-07	0.0215363636363636	0.3036	1	0.17756	0.994594594594595	1.2696e-06	0.048	0.44
Akkermansia	1.645	2.789	1.563	2.76	0	0	0.00508	0.988	0.0562	0.144	0.264	2.34e-05	0.0215363636363636	1	0.369314285714286	0.509538461538461	0.60168	0.000138575	0.068	0.399
Butyrivibrio	0.056	0.556	0	0	0	0	0.799	0.841	0.896	1	0.317	0.971	0.877285714285714	1	1	1	0.60168	1	0.01	0.012
C2likevirus	0.155	0.882	0	0	0	0	0.516	0.592	0.718	1	0.548	1	0.698117647058824	1	1	1	0.840266666666667	1	0.012	0.012
Anaerostipes	0.115	0.804	0	0	0	0	0.759	0.708	0.804	1	0.905	0.822	0.877285714285714	1	1	1	0.999	0.996263157894737	0.004	0.105
Bacteroides	5.782	2.41	5.118	2.755	0	0	3.17e-14	0.389	3.32e-14	4.2e-10	0.419	0.185	1.4582e-12	1	1.5272e-12	1.932e-08	0.741307692307692	0.3404	0.386	0.466
Barnesiella	0.516	1.643	0.593	1.745	0	0	0.0688	0.971	0.448	0.456	0.579	0.00214	0.150704761904762	1	1	0.968090909090909	0.859161290322581	0.00579058823529412	0.035	0.273
Ruminococcus	0.823	1.975	1.425	2.518	0	0	0.0127	0.333	0.276	0.06	0.138	0.0202	0.0417285714285714	1	1	0.276	0.60168	0.0404	0.065	0.24
Collinsella	0.798	1.986	0.559	1.644	0	0	0.00477	0.813	0.237	0.59	0.71	0.00959	0.0215363636363636	1	1	1	0.982235294117647	0.0210066666666667	0.075	0.263
Dialister	0.699	1.904	0.405	1.495	0	0	0.0898	0.707	0.293	0.735	0.439	7.32e-05	0.184	1	1	1	0.747925925925926	0.00033672	0.032	0.404
Sutterella	0.119	0.835	0	0	0	0	0.759	0.708	0.804	1	0.931	0.823	0.877285714285714	1	1	1	0.999	0.996263157894737	0.004	0.105
Eggerthella	0.1	0.713	0	0	0	0	0.646	0.71	0.805	1	0.16	0.962	0.849028571428571	1	1	1	0.60168	1	0.02	0.024
Odoribacter	0.128	0.898	0.468	1.72	0	0	0.00706	0.301	0.897	0.345	0.943	6.81e-15	0.0270633333333333	1	1	0.914888888888889	0.999	3.1326e-13	0.045	0.477
Dorea	0.173	0.986	0.383	1.408	0	0	0.361	0.608	0.807	0.463	0.169	0.194	0.535677419354839	1	1	0.968090909090909	0.60168	0.343230769230769	0.025	0.11
Coprococcus	0	0	0.317	1.164	0	0	0.00888	0.0126	1	0.124	0.939	0.00627	0.0314215384615385	0.1932	1	0.475333333333333	0.999	0.01518	0.062	0.188
Pyramidobacter	0.046	0.453	0	0	0	0	0.799	0.841	0.896	1	0.327	0.971	0.877285714285714	1	1	1	0.60168	1	0.01	0.012
Eubacterium	2.629	3.035	2.341	2.988	0	0	6.28e-05	0.886	0.00251	0.0274	0.998	0.000734	0.0004324	1	0.023092	0.210066666666667	0.999	0.00241171428571429	0.12	0.377
Acinetobacter	0.114	0.8	0.47	1.73	0	0	0.199	0.223	0.906	0.294	0.0429	1	0.339037037037037	1	1	0.914888888888889	0.60168	1	0.05	0.05
Subdoligranulum	4.971	2.705	4.795	2.853	0	0	7.78e-13	0.946	1.68e-10	8.09e-08	0.763	0.000981	1.7894e-11	1	3.864e-09	1.8607e-06	0.994594594594595	0.0030084	0.312	0.533
