Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Acetanaerobacterium	1.18069746104819	0.592	1.02329727764295	1.023	0.0294	0.739	0.00568	0.0683720930232558	0.876742268041237	0.00740428571428571	0.017	0.176
Acetivibrio	0.517285560968555	0.764	0.310282718643863	0.31	0.000493	0.292	<2e-16	0.001984	0.7752	NA	0.026	0.553
Acidaminococcus	0.415629457874042	0.889	0.471462352408618	0.471	0.341	0.0201	<2e-16	0.460810810810811	0.3819	NA	0.008	0.711
Acinetobacter	0.066800590562761	0.258	0.983448265262518	0.983	<2e-16	0.362	0.131	NA	0.7752	0.144893939393939	0.348	0.403
Actinomyces	1.32071691914401	0.703	1.00974196918985	1.01	0.00125	0.45	0.0801	0.00416666666666667	0.801123287671233	0.0913640625	0.041	0.135
Akkermansia	1.55388715270708	1.231	1.20507771374139	1.205	0.00336	0.336	4.33e-15	0.00908108108108108	0.7752	5.26816666666667e-14	0.021	0.491
Alistipes	3.35748142926323	0.698	2.99679803380629	2.997	3.56e-07	0.491	<2e-16	2.225e-06	0.801123287671233	NA	0.051	0.573
Allisonella	0.148572670317246	0.397	0.26938455462895	0.269	0.0141	0.499	0.00114	0.0335714285714286	0.801123287671233	0.00163176470588235	0.022	0.207
Allobaculum	0.520582386552989	0.677	0.665463951387759	0.665	0.0573	0.776	1.94e-15	0.1146	0.88692	3.5405e-14	0.008	0.484
Anaerococcus	0.28546752243663	0.454	2.03064656239741	2.031	<2e-16	0.973	0.00626	NA	0.990375	0.00801719298245614	0.562	0.631
Anaerofilum	0.863198421402273	0.663	0.826256408400643	0.826	0.624	0.288	2.82e-07	0.701123595505618	0.7752	7.09862068965517e-07	0.004	0.31
Anaerofustis	0.610288534815063	0.622	0.274511458768838	0.275	2.09e-07	0.486	0.000674	1.39333333333333e-06	0.801123287671233	0.00098404	0.091	0.271
Anaerosphaera	0.0576194463536519	0.169	1.28697453760819	1.287	<2e-16	0.924	0.0118	NA	0.984448598130841	0.0146	0.443	0.523
Anaerostipes	1.83882987588692	0.773	1.59393269335569	1.594	0.00399	0.0773	7.82e-07	0.0105	0.4997	1.90286666666667e-06	0.033	0.319
Anaerotruncus	2.42201204788856	0.756	2.28648691059327	2.286	0.0823	0.117	5.64e-16	0.149636363636364	0.53808	2.14376666666667e-14	0.012	0.495
Anaerovorax	2.00550096030041	0.749	1.95704728520113	1.957	0.418	0.0478	3.84e-11	0.55	0.4997	1.4016e-10	0.012	0.408
Anoxybacillus	1.33380769364612	0.699	2.91284779535401	2.913	<2e-16	0.118	0.00533	NA	0.53808	0.00707436363636364	0.486	0.568
Aquabacterium	0.698391451913016	1.029	0.696727793099226	0.697	0.949	0.844	<2e-16	0.949	0.930634615384615	NA	0	0.782
Asaccharobacter	1.38260819012181	0.927	0.736597657842674	0.737	<2e-16	0.609	<2e-16	NA	0.817655172413793	NA	0.147	0.593
Atopobium	0.35057595063366	0.524	0.489512280535925	0.49	0.0692	0.0552	0.158	0.135686274509804	0.4997	0.171764705882353	0.027	0.103
Bacteroides	4.56553637644947	0.271	4.51522259397426	4.515	0.0539	0.431	1.78e-12	0.11	0.796161290322581	1.18127272727273e-11	0.011	0.433
Barnesiella	1.77246445010699	1.386	1.75709840449829	1.757	0.945	0.554	<2e-16	0.949	0.812430379746835	NA	0	0.793
Beijerinckia	0.332566678601308	0.518	0.302136429721441	0.302	0.611	0.333	0.000314	0.697727272727273	0.7752	0.000477541666666667	0.004	0.214
Bifidobacterium	0.421941768931513	0.593	0.254100061762652	0.254	0.00215	0.9	1.25e-10	0.00651515151515152	0.967924528301887	3.96739130434783e-10	0.024	0.403
Bilophila	1.58788368583111	1.042	1.64545285556029	1.645	0.285	0.369	<2e-16	0.41304347826087	0.7752	NA	0.003	0.674
Blautia	3.64258018985084	0.375	3.57802901231105	3.578	0.2	0.0617	0.0644	0.303030303030303	0.4997	0.0746222222222222	0.019	0.121
Butyricicoccus	2.62458210770332	0.471	2.56955187090397	2.57	0.235	0.11	1.31e-05	0.350746268656716	0.53808	2.42725e-05	0.012	0.268
Butyricimonas	1.50425552091043	1.024	1.49404273087332	1.494	0.935	0.433	<2e-16	0.949	0.796161290322581	NA	0.001	0.726
Butyrivibrio	0.831159399691975	0.729	0.727293040967876	0.727	0.149	0.563	7.46e-16	0.2328125	0.812430379746835	2.14376666666667e-14	0.005	0.49
Campylobacter	0.332287450346593	0.496	1.48507890771635	1.485	<2e-16	0.37	1.17e-05	NA	0.7752	2.24763157894737e-05	0.3	0.483
Catenibacterium	0.512689647904836	1.016	0.440647077829359	0.441	0.338	0.764	<2e-16	0.460810810810811	0.88692	NA	0.001	0.682
Clostridium_IV	3.05247956685723	0.658	2.87232881841985	2.872	0.00324	0.849	4.46e-11	0.009	0.930634615384615	1.55038095238095e-10	0.022	0.413
Clostridium_XI	1.90365827497832	1.007	1.67002542704538	1.67	0.00968	0.612	8.81e-16	0.023609756097561	0.817655172413793	2.14376666666667e-14	0.015	0.498
Clostridium_XIX	0.376162892434447	0.872	0.392434629559169	0.392	0.543	0.374	<2e-16	0.65421686746988	0.7752	NA	0.002	0.633
