Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinomycetales	1.5372378927582	1.75865205529548	0.0155259896172707	0.989648181684795	0.00263130827311521	0.0341571771579954	0.993869784299273	0.00358064788489933
Bacillales	1.92318881660357	3.34502973594263	2.68607315980561e-33	0.288585802501209	0.156642133575583	2.95468047578617e-32	0.902176921410111	0.164101282793468
Bacteroidales	4.74804044539159	4.72519971837521	0.302969748529169	0.0512301694895354	0.00326424375238868	0.416583404227608	0.386773460588517	0.00397033919991692
Bifidobacteriales	0.452180483601761	0.314879123099974	0.02198890006353	0.826567605219958	1.38740437111377e-08	0.0439778001270601	0.993869784299273	2.54357468037524e-08
Burkholderiales	2.80576357668948	2.87354715951681	0.284721295968481	0.00355751475175015	2.46849785805559e-32	0.416583404227608	0.0782653245385033	5.4306952877223e-31
Campylobacterales	0.333829378003845	1.48204716300337	4.63990728827527e-24	0.36910475491911	1.03456950939172e-05	3.40259867806853e-23	0.902176921410111	1.51736861377452e-05
Clostridiales	4.82718054338563	4.81469610862116	0.508147898718647	0.532422901161142	0.00342892930901916	0.621069653989457	0.97610865212876	0.00397033919991692
Coriobacteriales	2.95893983689014	2.64852294774108	2.76517852117068e-06	0.81491779889752	0.00276686427469494	8.69056106653643e-06	0.993869784299273	0.00358064788489933
Desulfovibrionales	1.91007784080374	1.93225951879306	0.497807050200477	0.586435041047879	1.46212214907349e-30	0.621069653989457	0.992428531004104	1.60833436398083e-29
Enterobacteriales	1.42271334969063	2.12592468595617	5.96477743004098e-11	0.894335065327198	5.46851820919633e-18	2.62450206921803e-10	0.993869784299273	3.00768501505798e-17
Erysipelotrichales	3.1896263760256	3.22241346251524	0.542417840229276	0.0879030592246629	3.15674598816168e-07	0.628062762370741	0.386773460588517	4.96060083853977e-07
Flavobacteriales	0.457074709659332	0.460515445383138	0.871225159442542	0.917071187434058	1.32484323283427e-08	0.871225159442542	0.993869784299273	2.54357468037524e-08
Fusobacteriales	0.616660255684697	1.21173081803749	3.18883879739132e-09	0.451088460705056	2.7525678687435e-13	1.16924089237682e-08	0.902176921410111	7.56956163904463e-13
Lactobacillales	2.87693441100118	2.88729861550606	0.705790760312668	0.993869784299273	2.86337798672292e-14	0.776369836343934	0.993869784299273	8.99918795827202e-14
Pasteurellales	0.567316110090376	0.54950551020615	0.848914475247655	0.413819956199983	1.10125082964589e-09	0.871225159442542	0.902176921410111	2.42275182522097e-09
Pseudomonadales	0.169713311973804	1.02421260769224	2.98766385152292e-20	0.706534614526637	0.205248137539845	1.64321511833761e-19	0.993869784299273	0.205248137539845
Rhizobiales	1.17220791394871	1.12912737259679	0.251057096991237	0.0657424816705552	7.29760523523021e-27	0.394518295271944	0.386773460588517	5.35157717250215e-26
Selenomonadales	3.53710005050306	3.32251754989498	1.67492917450044e-05	0.777771226849524	8.42029029112755e-13	4.60605522987621e-05	0.993869784299273	2.05829318227562e-12
Sphingobacteriales	0.286181027293506	0.351274613105771	0.23427556767399	0.788610256529249	2.04510444195707e-08	0.394518295271944	0.993869784299273	3.46094597869658e-08
Synergistales	0.542155069189391	0.660398124056202	0.114418943990931	0.390447070739788	1.15594609888705e-14	0.209768063983374	0.902176921410111	4.2384690292525e-14
Thermales	0.205759317729687	1.57774786379604	3.49571901667197e-34	0.0843299001761725	0.117988087446845	7.69058183667834e-33	0.386773460588517	0.129786896191529
Verrucomicrobiales	1.54962154984593	1.19876132137525	0.00301779026291803	0.366565427349708	5.93237828225885e-15	0.00737682064268852	0.902176921410111	2.61024644419389e-14
