Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Actinomycetales	0.54	0.416	0.782	0.633	0.000328	0.741	0.0153	0.000728888888888889	0.843333333333333	0.0204	0.05	0.196
Bacillales	0.725	0.432	2.178	0.869	4.24e-37	0.187	0.0442	8.48e-36	0.534285714285714	0.05525	0.535	0.594
Bacteroidales	3.572	0.222	3.535	0.193	0.162	0.0914	0.00611	0.2075	0.433333333333333	0.00872857142857143	0.018	0.196
Burkholderiales	1.673	0.744	1.71	0.716	0.232	0.0065	1.68e-31	0.257777777777778	0.13	1.68e-30	0.012	0.714
Campylobacterales	0.041	0.128	0.72	0.762	1.1e-17	0.639	0.0552	7.33333333333333e-17	0.843333333333333	0.0613333333333333	0.275	0.365
Clostridiales	3.674	0.148	3.634	0.148	0.0307	0.322	0.0517	0.0472307692307692	0.607272727272727	0.0608235294117647	0.023	0.147
Coriobacteriales	1.61	0.525	1.355	0.363	2.19e-06	0.555	0.000326	7.3e-06	0.843333333333333	0.000501538461538462	0.08	0.294
Desulfovibrionales	0.995	0.653	0.956	0.59	0.416	0.915	4.53e-26	0.437894736842105	0.963157894736842	3.02e-25	0.001	0.664
Enterobacteriales	0.534	0.645	1.1	0.877	4.87e-12	0.984	3.58e-12	2.435e-11	0.984	7.95555555555556e-12	0.128	0.511
Erysipelotrichales	1.927	0.575	2.018	0.39	0.134	0.129	3.64e-15	0.191428571428571	0.433333333333333	1.456e-14	0.01	0.516
Fusobacteriales	0.222	0.627	0.511	0.75	7.67e-08	0.738	2.6e-22	3.068e-07	0.843333333333333	1.3e-21	0.05	0.662
Gemellales	0.171	0.279	0.169	0.413	0.971	0.759	1	0.971	0.843333333333333	1	0	0
Lactobacillales	1.632	0.676	1.733	0.658	0.186	0.726	1.13e-09	0.218823529411765	0.843333333333333	2.05454545454545e-09	0.005	0.411
Pasteurellales	0.212	0.418	0.158	0.35	0.166	0.502	1.14e-06	0.2075	0.836666666666667	1.9e-06	0.007	0.339
Pseudomonadales	0.255	0.655	0.431	0.553	0.000641	0.301	4.89e-15	0.001282	0.607272727272727	1.63e-14	0.029	0.529
RF32	0.273	0.571	0.369	0.679	0.0276	0.0636	1.26e-42	0.046	0.433333333333333	2.52e-41	0.008	0.796
Thermales	0.045	0.152	0.717	0.644	1.1e-21	0.13	0.169	1.1e-20	0.433333333333333	0.177894736842105	0.348	0.404
Turicibacterales	0.316	0.548	0.137	0.26	0.000117	0.0925	1.33e-13	0.0002925	0.433333333333333	3.8e-13	0.042	0.511
Unassigned	1.883	0.452	2.12	0.552	5.17e-05	0.334	2.46e-10	0.000147714285714286	0.607272727272727	4.92e-10	0.047	0.449
Verrucomicrobiales	0.771	0.854	0.552	0.647	0.00302	0.215	1.39e-12	0.00549090909090909	0.5375	3.475e-12	0.026	0.479
