Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Herpetosiphonales	0.0120383753120144	0.00643171501264715	0	0.628485767439678	0.860586998659765	0.646981239706352	0.911898296806998	0.0977850754546155	0.999898745179873	0.662642602626617	0.99995620847492	0.756110605439954	0.972023459233833	0.980560929758008	0.999990270309477
Burkholderiales	1.20003504604534	1.28047110542571	1.04882467876262	0.227222481420225	0.654079508327803	0.390082124408881	0.197670023003468	0.436993093544129	7.55681123398647e-12	0.286241307763141	0.99995620847492	0.525527306495298	0.324982919175193	0.980560929758008	3.03737463307269e-10
Acidithiobacillales	0.0792921217987149	0.22733280094092	0.0501713787930516	0.000757521040340841	0.000939221591203965	0.833011290673272	0.00855616004364701	0.215470629274618	0.682402240416907	0.00222665275494126	0.0101227215940872	0.903152027041175	0.02243101416848	0.980560929758008	0.760839279545287
Thermotogales	0.135137977749377	0.116287792192527	0.0238152894117063	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.273337570959675	0.99995620847492	0.305084820754013	0.571107413393527	0.980560929758008	0.00175079285505874
Aquificales	0.126842726636262	0.0801759370358542	0	0.0757496953705865	0.56600017453717	0.0745681072946921	0.457553065075872	0.555948518971674	0.0174239203280217	0.124537634761812	0.99995620847492	0.144662128151703	0.576398017043631	0.980560929758008	0.0286461063020019
Bacillales	1.60350709966328	2.59934473444399	1.65259988312888	1.34703247401524e-19	1.98729921407903e-14	0.904776741818654	2.09066430834071e-10	0.0352306394364886	0.516947529775338	1.86660214256398e-18	1.44845246907721e-12	0.953949390830537	2.02794437909048e-09	0.980560929758008	0.589928357508327
Chlamydiales	0.171833208766378	0.118247335261628	0	0.11816438802374	0.704655519387095	0.107992098603089	0.453257195063832	0.789869208357785	0.043808222104119	0.171073815497057	0.99995620847492	0.193985806749993	0.576398017043631	0.995692413269522	0.0653753468323006
Nitrospirales	0.065486413032568	0.127284542910306	0	0.0603528861225379	0.222353038006797	0.342858679490514	0.0533794996791381	0.881556981159337	0.000141449938305743	0.106440544616112	0.898676861944138	0.480908320574441	0.105669621813804	0.995692413269522	0.000442601419859904
Thermales	0.636318667999715	1.54124043857125	0.652453947511019	4.57974780300803e-16	2.98649993624167e-14	0.990132282115711	8.46999781423108e-09	0.177526885663018	0.264512687180161	4.03850488083435e-15	1.44845246907721e-12	0.999462195220596	6.84658156650346e-08	0.980560929758008	0.337601719164153
Vibrionales	0.43624989724325	0.474499288201034	0.118236230328426	0.00176697348579256	0.859954604792666	0.00207571680920271	0.00316608750042957	0.791753063592077	0.00010124419969942	0.00428491070304695	0.99995620847492	0.00610134940886857	0.00990678992069898	0.995692413269522	0.000338644392098061
Gemmatimonadales	0.0664425181735002	0.0831953019584084	0	0.268859738116711	0.888994110750365	0.315133840308799	0.262972495635629	0.224035062010878	0.00353459080322934	0.33011891895343	0.99995620847492	0.470276653999285	0.403319600944085	0.980560929758008	0.00714281891485928
Dictyoglomales	0.0471821190756038	0.0122238649330132	0	0.199453069187617	0.378230811571303	0.327623326806514	0.945524786501923	0.821900250920235	0.543871514030831	0.261445239340525	0.99995620847492	0.479746331615337	0.995098015002196	0.995692413269522	0.613436475127797
Thermoanaerobacterales	0.93943559804807	1.28485776538953	1.67453535548281	1.13022866952178e-17	3.72845543661349e-07	3.09752223870419e-14	9.61597749596921e-05	0.99265842955352	0.277394492828622	1.21813534381792e-16	7.23320354703016e-06	3.33844063504785e-13	0.000423977189595006	0.995692413269522	0.349445010446445
Chloroflexales	0.175195711364698	0.113438635096238	0	0.0239302238126748	0.463765955184127	0.0228489026245919	0.300100580825178	0.424708130299748	0.0068174351318456	0.0493879087197757	0.99995620847492	0.0599011771509572	0.430557969958236	0.980560929758008	0.0116016001366495
Phycisphaerales	0.137786830952694	0.1070191239523	0	0.0853666481578613	0.806356983220753	0.0704420149471627	0.300700660870542	0.860078641075205	0.00333723704203916	0.138009414521876	0.99995620847492	0.142351571872391	0.430557969958236	0.995692413269522	0.00688748921442125
Fibrobacterales	0.100536310684077	0.110122697573074	0	0.104381379757814	0.967086111421005	0.10360819055266	0.133168894381306	0.245664489209131	0.0056708171722773	0.158203028695436	0.99995620847492	0.19187911409817	0.234861504636122	0.980560929758008	0.0107856718766843
Acholeplasmatales	0.241250238020148	0.36878531075546	0.214423753355766	0.139485369508908	0.145915757282724	0.946628867671069	0.266107777942489	0.235732735387172	0.00643044750812133	0.19328686917663	0.673991831258298	0.980661971717266	0.403319600944085	0.980560929758008	0.0115502016389984
Cytophagales	0.752419165069793	0.660016885955632	0.390107808122779	0.00367027166213621	0.524741633207001	0.00268643891702325	0.0808383247373103	0.555988156048355	0.00268448382333153	0.0086833256396881	0.99995620847492	0.00766425220444868	0.153751323519982	0.980560929758008	0.00578655401918129
Entomoplasmatales	0.0911206094544612	0.0771036510458987	0.0501713787930516	0.723340369794994	0.939677528592298	0.715987441394387	0.898438323684371	0.905104932650987	0.176360747983355	0.746425700745898	0.99995620847492	0.826795021610185	0.972023459233833	0.995692413269522	0.237597118810909
Caldisericales	0.0089009288888475	0.0123489501932742	0	0.764434251908055	0.952622903864014	0.815658353837189	0.748530298552957	0.632911187320311	0.999960935528135	0.772397108698764	0.99995620847492	0.903152027041175	0.825084533632237	0.982433325026752	0.999990270309477
Rubrobacterales	0.0944423052851321	0.131779645506178	0	0.114615244392328	0.665129843677653	0.19697254455517	0.0981841768170912	0.592854062841002	0.109754043706166	0.168449677364482	0.99995620847492	0.318438947030858	0.183151252908805	0.982433325026752	0.154291916514466
Bacteroidales	4.32089349938983	4.07286368918928	2.08827184615601	1.31627025668507e-38	0.0270277844053348	1.66533453693773e-15	1.66533453693773e-15	0.818932400691196	0.00222498198868679	6.38391074492257e-37	0.201668852870575	5.38458166943201e-14	6.10252589202294e-14	0.995692413269522	0.00490507392960498
Desulfurellales	0.0579911526749514	0.0773399565051884	0	0.444317523006706	0.890391697112265	0.519852070518345	0.423914781075608	0.551046017795214	0.00160040257388145	0.495388502662649	0.99995620847492	0.638299377725057	0.571107413393527	0.980560929758008	0.00388097624166252
Thermomicrobiales	0.0398923806862439	0.00972651367243885	0	0.210598969689705	0.382905774348615	0.347047241651659	0.954063045311384	0.327396976986058	0.222588874977077	0.272374667465351	0.99995620847492	0.480908320574441	0.995098015002196	0.980560929758008	0.291771903686169
Clostridiales	3.8546372508642	3.7920582582857	1.76865328600991	9.00662844939451e-32	0.825106604545233	1.66533453693773e-15	1.88737914186277e-15	0.995692413269522	0.0030817434592819	2.91214319863756e-30	0.99995620847492	5.38458166943201e-14	6.10252589202294e-14	0.995692413269522	0.00649845903370313
Parvularculales	0.0291736070440092	0	0	0.191908907328861	0.272219897455207	0.43807624379819	1	0.974451085771264	0.0541528732103814	0.258543944595827	0.99995620847492	0.559123626952953	1	0.995692413269522	0.0795883136576817
Nautiliales	0.0352431291923167	0.0251361806554898	0	0.439432239056225	0.891697514646537	0.418002041813916	0.718956784809883	0.620004468486749	0.999957045800737	0.495388502662649	0.99995620847492	0.55542737062945	0.80159549570757	0.982433325026752	0.999990270309477
Synergistales	0.399809717212446	0.396231045413419	0.0501713787930516	0.00174040805512248	0.998815044225214	0.00128073385896532	0.00738140101569285	0.883922154460532	7.47172315036483e-08	0.00428491070304695	0.99995620847492	0.00388222450998863	0.0198887749589502	0.995692413269522	4.26327732697287e-07
Actinomycetales	1.55681662056442	1.75650896648709	0.627142462960317	6.36637439898146e-12	0.129697508743782	1.04508512954737e-10	1.86627380216464e-11	0.94412423126784	8.12649729105449e-09	4.41098797643716e-11	0.629032917407342	8.44777146384127e-10	2.58612226871386e-10	0.995692413269522	6.06361720947912e-08
Acidobacteriales	0.392680114910984	0.363108595092894	0	0.00057148702404824	0.925396168838327	0.000352275827861459	0.00570432379394048	0.811854116939502	1.20876499580323e-09	0.00178820133331223	0.99995620847492	0.0012655835297245	0.0167672547882493	0.995692413269522	1.06591095084467e-08
Neisseriales	0.498600364385221	0.458795219002829	0.340160869399909	0.29919373156901	0.876912674943401	0.273469195110356	0.581702234797493	0.488873078441374	0.037710568334263	0.353924292221877	0.99995620847492	0.427060020267681	0.688111180187279	0.980560929758008	0.0589987923939275
