Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Pseudomonadales	0.171327250103093	1.03233509657853	9.39822654381604e-21	0.692530776010813	0.26169947716554	1.87964530876321e-19	0.959740548079311	0.268409720169785
Burkholderiales	1.74638130927633	1.79775990016802	0.611414457210173	0.311661835378893	7.48339394937335e-21	0.679349396900193	0.768516303318461	2.49446464979112e-20
Campylobacterales	0.484866100287442	1.5160683293527	9.09419821234525e-20	0.250646983752768	0.000139168908340481	1.21255976164603e-18	0.768516303318461	0.000185558544453974
Thermotogales	0.398285733944213	0.393445957763421	0.863610979595911	0.90385057267547	4.34048954664366e-13	0.863610979595911	0.959740548079311	8.26759913646411e-13
Mycoplasmatales	0.200010712640198	0.158265941170451	0.32800511833288	0.416407906422378	0.518852948526223	0.441774484831592	0.793157916995005	0.518852948526223
Bacillales	3.01152376862744	3.65108387408879	2.2615060302642e-19	0.0646932241290716	1.31208517186878e-05	2.2615060302642e-18	0.571439630161912	1.80977265085349e-05
Enterobacteriales	1.63539448522815	2.24505736121521	2.22056445657116e-10	0.480895440383459	2.66222027313226e-17	1.26889397518352e-09	0.862108054734816	7.09925406168603e-17
Bifidobacteriales	0.418041774516201	0.272828984625463	0.00941564847767158	0.77048070079662	9.92159278300516e-10	0.0221544670062861	0.959740548079311	1.58745484528083e-09
Lactobacillales	2.92432005610356	2.93150172321234	0.726770430908389	0.78367208551715	8.18557180694105e-14	0.765021506219357	0.959740548079311	1.63711436138821e-13
Thermales	0.207945921732677	1.58505848633053	3.27454209873721e-35	0.126122189776928	0.0702731176786813	1.30981683949488e-33	0.630610948884641	0.0739717028196646
Thermoanaerobacterales	0.240655072771291	0.349229416752481	0.00938336064561004	0.713129506164102	4.25896329045907e-24	0.0221544670062861	0.959740548079311	1.70358531618363e-23
Desulfuromonadales	2.33341524768272	2.02919483873792	5.10048546640083e-07	0.548517536463653	3.06194993076412e-12	2.26688242951148e-06	0.877628058341844	5.56718169229841e-12
Dehalococcoidales	0.151055914916945	0.142791542221236	0.718786896538695	0.896887192562821	0.00129111947474515	0.765021506219357	0.959740548079311	0.00161389934343144
