Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Pseudomonadales	0.171327250103093	0.368	1.03233509657853	0.835	<2e-16	0.693	0.262	NA	0.96	0.273391304347826	0.309	0.352
Burkholderiales	1.74638130927633	0.995	1.79775990016802	0.952	0.611	0.312	<2e-16	0.687375	0.768421052631579	NA	0.002	0.567
Campylobacterales	0.484866100287442	0.57	1.5160683293527	1.111	<2e-16	0.251	0.000139	NA	0.768421052631579	0.000238285714285714	0.259	0.426
Thermotogales	0.398285733944213	0.561	0.393445957763421	0.557	0.864	0.904	4.34e-13	0.864	0.96	2.0832e-12	0	0.438
Mycoplasmatales	0.200010712640198	0.371	0.158265941170451	0.294	0.328	0.416	0.519	0.458307692307692	0.792380952380952	0.519	0.007	0.041
Bacillales	3.01152376862744	0.515	3.65108387408879	0.616	<2e-16	0.0647	1.31e-05	NA	0.571333333333333	2.41846153846154e-05	0.25	0.444
Enterobacteriales	1.63539448522815	1.02	2.24505736121521	1.012	2.22e-10	0.481	<2e-16	2.664e-09	0.862608695652174	NA	0.086	0.554
Bifidobacteriales	0.418041774516201	0.585	0.272828984625463	0.456	0.00942	0.77	9.92e-10	0.0260861538461538	0.96	2.64533333333333e-09	0.018	0.379
Lactobacillales	2.92432005610356	0.665	2.93150172321234	0.691	0.727	0.784	8.19e-14	0.769764705882353	0.96	4.914e-13	0	0.453
Thermales	0.207945921732677	0.392	1.58505848633053	0.94	<2e-16	0.126	0.0703	NA	0.63	0.0766909090909091	0.483	0.536
Thermoanaerobacterales	0.240655072771291	0.504	0.349229416752481	0.511	0.00938	0.713	<2e-16	0.0260861538461538	0.96	NA	0.012	0.607
Desulfuromonadales	2.33341524768272	0.628	2.02919483873792	0.544	5.1e-07	0.549	3.06e-12	3.672e-06	0.8784	1.224e-11	0.063	0.458
Dehalococcoidales	0.151055914916945	0.297	0.142791542221236	0.27	0.719	0.897	0.00129	0.769764705882353	0.96	0.001935	0.001	0.188
Sphingobacteriales	0.512506243705856	0.7	0.55306639483389	0.674	0.419	0.885	<2e-16	0.558666666666667	0.96	NA	0.001	0.618
Fibrobacterales	0.95511995192608	0.739	0.862729066927008	0.762	0.238	0.0295	<2e-16	0.389454545454545	0.453333333333333	NA	0.012	0.536
