Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Burkholderiales	1.20003504604534	0.401	1.28047110542571	0.58	1.04882467876262	0.201	2.34e-10	0.654	0.39	0.198	0.233	7.56e-12	7.644e-10	1	0.459642857142857	0.242	0.81312	2.0625e-10	0.192	0.676
Acidithiobacillales	0.0792921217987149	0.162	0.22733280094092	0.256	0.0501713787930516	0.201	0.000862	0.000939	0.833	0.00856	0.211	0.682	0.00111152631578947	0.006886	0.90127868852459	0.0152691891891892	0.81312	0.714476190476191	0.105	0.128
Thermotogales	0.135137977749377	0.246	0.116287792192527	0.244	0.0238152894117063	0.095	0.00185	0.925	0.186	0.42	0.243	0.000704	0.00226625	1	0.236076923076923	0.454426229508197	0.81312	0.00122273684210526	0.091	0.32
Bacillales	1.60350709966328	0.422	2.59934473444399	0.507	1.65259988312888	0.35	<2e-16	1.99e-14	0.905	2.09e-10	0.0314	0.517	NA	9.867e-13	0.963387096774194	1.3794e-09	0.4653	0.550354838709677	0.464	0.495
Chlamydiales	0.171833208766378	0.353	0.118247335261628	0.232	0	0	0.0157	0.705	0.108	0.453	0.761	0.0438	0.0170955555555556	1	0.14256	0.482225806451613	0.950888888888889	0.0516214285714286	0.059	0.239
Thermales	0.636318667999715	0.428	1.54124043857125	0.492	0.652453947511019	0.487	1.93e-14	2.99e-14	0.99	8.47e-09	0.163	0.265	1.57616666666667e-13	9.867e-13	0.999	4.6585e-08	0.81312	0.301551724137931	0.392	0.435
Vibrionales	0.43624989724325	0.32	0.474499288201034	0.435	0.118236230328426	0.267	2.61e-06	0.86	0.00208	0.00317	0.745	0.000101	5.5604347826087e-06	1	0.00416	0.00674903225806452	0.950888888888889	0.000229862068965517	0.148	0.413
Thermoanaerobacterales	0.93943559804807	0.295	1.28485776538953	0.291	1.67453535548281	0.239	4.07e-14	3.73e-07	3.1e-14	9.62e-05	0.998	0.277	2.46088888888889e-13	4.9236e-06	2.27333333333333e-13	0.0002886	0.999	0.309864406779661	0.394	0.453
Chloroflexales	0.175195711364698	0.262	0.113438635096238	0.239	0	0	0.000564	0.464	0.0228	0.3	0.374	0.00682	0.000812823529411765	1	0.0406702702702703	0.33671186440678	0.851172413793103	0.00882588235294118	0.106	0.306
Phycisphaerales	0.137786830952694	0.245	0.1070191239523	0.234	0	0	0.000698	0.806	0.0704	0.301	0.832	0.00334	0.000924378378378378	1	0.0988595744680851	0.33671186440678	0.962689655172414	0.00489866666666667	0.099	0.292
Acholeplasmatales	0.241250238020148	0.306	0.36878531075546	0.359	0.214423753355766	0.299	0.0266	0.146	0.947	0.266	0.187	0.00643	0.027731914893617	0.4818	0.9796875	0.308	0.81312	0.00882244897959184	0.052	0.252
Cytophagales	0.752419165069793	0.367	0.660016885955632	0.505	0.390107808122779	0.366	6.54e-07	0.525	0.00269	0.0808	0.526	0.00268	1.45663636363636e-06	1	0.00522176470588235	0.1111	0.890153846153846	0.00411348837209302	0.187	0.395
Bacteroidales	4.32089349938983	0.376	4.07286368918928	0.586	2.08827184615601	0.536	<2e-16	0.027	1.67e-15	1.67e-15	0.799	0.00222	NA	0.137076923076923	3.674e-14	4.158e-14	0.957	0.00348857142857143	0.737	0.806
Clostridiales	3.8546372508642	0.43	3.7920582582857	0.639	1.76865328600991	0.568	<2e-16	0.825	1.67e-15	1.89e-15	0.999	0.00308	NA	1	3.674e-14	4.158e-14	0.999	0.00462	0.684	0.773
Synergistales	0.399809717212446	0.35	0.396231045413419	0.45	0.0501713787930516	0.201	2.89e-10	0.999	0.00128	0.00738	0.846	7.47e-08	8.33e-10	1	0.00264	0.01353	0.962689655172414	2.90011764705882e-07	0.235	0.566
Actinomycetales	1.55681662056442	0.419	1.75650896648709	0.629	0.627142462960317	0.521	<2e-16	0.13	1.05e-10	1.87e-11	0.89	8.13e-09	NA	0.451578947368421	5.775e-10	1.76314285714286e-10	0.9812	4.12753846153846e-08	0.469	0.725
Acidobacteriales	0.392680114910984	0.361	0.363108595092894	0.476	0	0	3.72e-13	0.925	0.000352	0.0057	0.735	1.21e-09	1.8228e-12	1	0.000860444444444444	0.0114	0.950888888888889	7.26e-09	0.282	0.641
Neisseriales	0.498600364385221	0.357	0.458795219002829	0.44	0.340160869399909	0.41	0.0222	0.877	0.273	0.582	0.455	0.0377	0.0236478260869565	1	0.338555555555556	0.609714285714286	0.890153846153846	0.04524	0.057	0.202
Rhizobiales	1.08119079517198	0.414	1.25992637685261	0.452	0.96589395999745	0.377	2.66e-08	0.118	0.565	0.0681	0.524	5.09e-09	6.517e-08	0.451578947368421	0.654210526315789	0.0956297872340425	0.890153846153846	2.7995e-08	0.158	0.606
Thermodesulfobacteriales	0.189977399001811	0.236	0.136624686153274	0.224	0.0447182510934897	0.179	0.0623	0.512	0.0471	0.396	0.0378	0.846	0.0635979166666667	1	0.072293023255814	0.4356	0.4653	0.8724375	0.067	0.081
Xanthomonadales	0.45199284103991	0.392	0.526058884891388	0.418	0.302487882048545	0.373	1.91e-05	0.656	0.341	0.171	0.136	5.32e-06	3.4662962962963e-05	1	0.4092	0.215433962264151	0.81312	1.40448e-05	0.131	0.453
Desulfobacterales	0.513189493925404	0.369	0.451072786183352	0.435	0.111477719259713	0.311	8.14e-09	0.724	0.000378	0.0134	0.892	0.000121	2.09926315789474e-08	1	0.000891	0.02211	0.9812	0.0002662	0.226	0.469
Rhodobacterales	0.580713772866931	0.407	0.629390362575318	0.478	0	0	<2e-16	0.837	9.15e-07	4.76e-06	0.308	6.14e-10	NA	1	3.55235294117647e-06	1.97175e-05	0.81312	4.576e-09	0.395	0.744
Fusobacteriales	0.357480403305451	0.381	0.516040480899755	0.539	0.0442495621236677	0.177	0.000601	0.154	0.0113	0.000668	0.0412	0.0043	0.0008414	0.484	0.0207166666666667	0.00169569230769231	0.4653	0.0061695652173913	0.107	0.32
Verrucomicrobiales	1.85962450889462	1.218	1.61482646806439	1.282	0.632661966377829	0.716	6.16e-08	0.6	0.000538	0.0246	0.0564	1.25e-11	1.43733333333333e-07	1	0.00122441379310345	0.0377581395348837	0.4653	2.0625e-10	0.164	0.626
Erysipelotrichales	1.64202430080606	0.458	1.57569945634243	0.618	0.319243477490286	0.468	<2e-16	0.806	2.81e-14	7.35e-13	0.217	6.06e-05	NA	1	2.27333333333333e-13	9.702e-12	0.81312	0.000142842857142857	0.507	0.696
Chlorobiales	0.619395859629698	0.394	0.431678616676056	0.493	0.0813746587491984	0.224	2.89e-16	0.0779	5.86e-06	0.0169	0.485	7.99e-08	1.4161e-14	0.3403125	2.03557894736842e-05	0.0272048780487805	0.890153846153846	2.92966666666667e-07	0.37	0.682
Pseudomonadales	1.05118930246649	0.449	1.79660245336115	0.621	1.05519960954634	0.418	2.79e-10	5.77e-11	0.999	5.9e-06	0.00788	0.00172	8.33e-10	1.2694e-09	0.999	2.29058823529412e-05	0.4653	0.00291076923076923	0.261	0.467
Rhodocyclales	0.431078996519141	0.352	0.30500477674621	0.363	0	0	6.05e-16	0.189	1.4e-05	0.0121	0.639	4.6e-07	1.48225e-14	0.567	4.2e-05	0.0204769230769231	0.922565217391304	1.44571428571429e-06	0.357	0.688
Caulobacterales	0.347434374320332	0.357	0.37066154490399	0.422	0	0	2.44e-15	0.949	0.00105	0.00293	0.95	3.16e-11	2.989e-14	1	0.00231	0.00666827586206897	0.995238095238095	4.1712e-10	0.304	0.699
Planctomycetales	0.362392283870712	0.333	0.384221846274642	0.41	0.0352537561027599	0.141	3.24e-11	0.95	0.00122	0.00333	0.568	2.23e-07	1.134e-10	1	0.00259741935483871	0.006868125	0.892571428571428	7.74631578947368e-07	0.254	0.576
Campylobacterales	1.22475825407359	0.504	1.45206822052438	0.709	0.249820369518342	0.413	<2e-16	0.126	1.6e-09	1.95e-10	0.265	6.35e-07	NA	0.451578947368421	7.54285714285714e-09	1.3794e-09	0.81312	1.905e-06	0.365	0.632
Syntrophobacterales	0.149773936041511	0.214	0.20237891043084	0.343	0	0	0.00011	0.548	0.0501	0.0183	0.94	0.00177	0.000173870967741935	1	0.07515	0.0287571428571429	0.995238095238095	0.0029205	0.113	0.323
Mycoplasmatales	0.963469536201373	0.356	1.34732435909576	0.445	2.03336310489111	0.227	<2e-16	7.42e-06	2.01e-14	4.94e-08	0.991	0.351	NA	8.162e-05	2.27333333333333e-13	2.508e-07	0.999	0.379770491803279	0.513	0.556
Aeromonadales	0.47671814621573	0.354	0.57938940587568	0.496	0	0	1.58e-11	0.397	1.22e-05	4.78e-06	0.73	0.000192	5.95538461538461e-11	1	3.83428571428571e-05	1.97175e-05	0.950888888888889	0.000400125	0.276	0.52
Enterobacteriales	2.22909949346799	0.979	3.03879396499353	1.036	1.83375008819607	0.518	1.01e-09	0.000349	0.277	0.000273	0.812	1.93e-10	2.74944444444444e-09	0.00287925	0.338555555555556	0.00075075	0.957	1.81971428571429e-09	0.155	0.623
Oceanospirillales	0.52613141391187	0.31	0.911037353279287	0.371	1.25522905401255	0.295	4.52e-14	3.51e-07	1.64e-13	0.00242	0.5	1	2.46088888888889e-13	4.9236e-06	9.84e-13	0.00570428571428571	0.890153846153846	1	0.384	0.384
Bifidobacteriales	1.93005174668966	0.705	1.83861933722293	0.659	0.347531132303426	0.394	<2e-16	0.8	4.7e-14	1.73e-10	0.196	9.72e-06	NA	1	3.102e-13	1.3794e-09	0.81312	2.46738461538462e-05	0.416	0.652
Lactobacillales	2.22947500598084	0.598	2.59933959361932	0.488	0.603791652755609	0.683	<2e-16	0.0111	2.88e-14	2.1e-14	0.776	0.121	NA	0.0666	2.27333333333333e-13	3.465e-13	0.950888888888889	0.140105263157895	0.483	0.566
Chrysiogenales	0.101668369992943	0.201	0.230455378442459	0.288	0	0	5.95e-06	0.0127	0.171	0.00168	0.0534	0.000616	1.21479166666667e-05	0.06985	0.221294117647059	0.00410666666666667	0.4653	0.00109881081081081	0.153	0.359
Rickettsiales	0.267339308648519	0.251	0.531621836603848	0.354	1.12467609192221	0.334	<2e-16	7.97e-05	1.45e-14	1.8e-09	0.913	1	NA	0.000751457142857143	2.27333333333333e-13	1.08e-08	0.987836065573771	1	0.48	0.48
Myxococcales	0.62297247622276	0.467	0.686427630567887	0.549	0.222564098901413	0.347	2.79e-14	0.807	0.00595	0.00619	0.778	9.62e-12	1.953e-13	1	0.01122	0.0120158823529412	0.950888888888889	2.0625e-10	0.276	0.692
Desulfarculales	0.224088197510459	0.286	0.182744321639796	0.333	0.168826088002821	0.309	0.00469	0.794	0.771	0.988	0.303	1.6e-06	0.00534441860465116	1	0.862474576271186	0.988	0.81312	4.4e-06	0.073	0.392
Thiotrichales	0.162761730790665	0.288	0.163266398919858	0.249	0	0	0.000186	1	0.0615	0.124	0.27	0.000401	0.0002848125	1	0.0882391304347826	0.16368	0.81312	0.000778411764705882	0.117	0.353
Desulfuromonadales	0.68587721311815	0.422	0.741486170649469	0.487	0.129662946016554	0.289	<2e-16	0.814	9.1e-06	2.78e-05	0.37	1.19e-09	NA	1	3.003e-05	9.174e-05	0.851172413793103	7.26e-09	0.361	0.701
Dehalococcoidales	0.187083817495215	0.275	0.270642235555227	0.426	0	0	0.00205	0.39	0.0541	0.0118	0.421	0.000413	0.00245	1	0.0793466666666667	0.0204769230769231	0.8889375	0.0007788	0.075	0.315
Sphingobacteriales	0.697303205943899	0.391	0.580852560735939	0.457	0.0352537561027599	0.141	7.56e-13	0.342	9.04e-09	4.37e-05	0.46	0.000461	3.087e-12	0.981391304347826	3.9776e-08	0.000137342857142857	0.890153846153846	0.000845166666666667	0.328	0.54
Methylococcales	0.161374167890584	0.24	0.201616012779165	0.315	0	0	0.000212	0.723	0.0411	0.0256	0.682	0.000194	0.000314787878787879	1	0.067815	0.0384	0.950888888888889	0.000400125	0.099	0.342
Pasteurellales	0.975996465024365	0.68	0.994611566601515	0.533	0.815568249269322	0.412	0.341	0.99	0.614	0.638	0.431	0.0286	0.341	1	0.698689655172414	0.6579375	0.8889375	0.0349555555555556	0.018	0.237
Flavobacteriales	1.25666004019781	0.333	1.49028502567173	0.292	1.73747502019877	0.122	1.59e-05	0.00167	1.57e-07	0.0321	0.629	0.00629	2.99653846153846e-05	0.011022	6.47625e-07	0.0460565217391304	0.922565217391304	0.00882244897959184	0.15	0.361
