Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Burkholderiales	1.2	0.401	1.28	0.58	1.049	0.201	0.227222481420225	0.654079508327803	0.390082124408881	0.197670023003468	0.436993093544129	7.55681123398647e-12	0.241881996350562	0.99995620847492	0.459739646624753	0.241596694782016	0.972190562078386	2.06666727611131e-10
Acidithiobacillales	0.079	0.162	0.227	0.256	0.05	0.201	0.000757521040340841	0.000939221591203965	0.833011290673272	0.00855616004364701	0.215470629274618	0.682402240416907	0.00151504208068168	0.00688762500216241	0.901290904662884	0.0152623395373163	0.972190562078386	0.714897585198664
Thermotogales	0.135	0.246	0.116	0.244	0.024	0.095	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.231715608574232	0.99995620847492	0.23552741713246	0.45475296497499	0.972190562078386	0.0012226100946612
Bacillales	1.604	0.422	2.599	0.507	1.653	0.35	1.34703247401524e-19	1.98729921407903e-14	0.904776741818654	2.09066430834071e-10	0.0352306394364886	0.516947529775338	1.2700591897858e-18	9.85544978959751e-13	0.963149434839212	1.37983844350487e-09	0.838479524436785	0.550298983309231
Chlamydiales	0.172	0.353	0.118	0.232	0	0	0.11816438802374	0.704655519387095	0.107992098603089	0.453257195063832	0.789869208357785	0.043808222104119	0.134462924302877	0.99995620847492	0.142549570156077	0.482499594745369	0.995692413269522	0.051631118908426
Thermales	0.636	0.428	1.541	0.492	0.652	0.487	4.57974780300803e-16	2.98649993624167e-14	0.990132282115711	8.46999781423108e-09	0.177526885663018	0.264512687180161	2.74784868180482e-15	9.85544978959751e-13	0.999462195220596	4.65849879782709e-08	0.972190562078386	0.300997195756735
Vibrionales	0.436	0.32	0.474	0.435	0.118	0.267	0.00176697348579256	0.859954604792666	0.00207571680920271	0.00316608750042957	0.791753063592077	0.00010124419969942	0.00291550625155772	0.99995620847492	0.00415143361840542	0.00674070242026941	0.995692413269522	0.000230417833798681
Thermoanaerobacterales	0.939	0.295	1.285	0.291	1.675	0.239	1.13022866952178e-17	3.72845543661349e-07	3.09752223870419e-14	9.61597749596921e-05	0.99265842955352	0.277394492828622	8.28834357649303e-17	4.9215611763298e-06	2.27151630838307e-13	0.000288479324879076	0.995692413269522	0.310305703842187
Chloroflexales	0.175	0.262	0.113	0.239	0	0	0.0239302238126748	0.463765955184127	0.0228489026245919	0.300100580825178	0.424708130299748	0.0068174351318456	0.0343346689486204	0.99995620847492	0.0407575019790018	0.336377010465352	0.972190562078386	0.00882256311180018
Phycisphaerales	0.138	0.245	0.107	0.234	0	0	0.0853666481578613	0.806356983220753	0.0704420149471627	0.300700660870542	0.860078641075205	0.00333723704203916	0.102439977789434	0.99995620847492	0.0989185741811221	0.336377010465352	0.995692413269522	0.0048946143283241
