Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Clostridiales	5.88	2.133	5.548	2.651	0	0	<2e-16	0.749	2.89e-14	3.01e-13	0.62	0.00836	NA	0.970384615384615	2.1675e-13	2.2575e-12	0.717692307692308	0.0179142857142857	0.459	0.611
Verrucomicrobiales	1.645	2.789	1.563	2.76	0	0	0.00508	0.988	0.0562	0.144	0.264	2.34e-05	0.0190125	1	0.281	0.54	0.717692307692308	0.000117	0.068	0.399
Methanobacteriales	0.122	0.858	0	0	0	0	0.789	0.703	0.801	1	0.13	0.59	0.865583333333333	0.970384615384615	0.906	1	0.717692307692308	0.804545454545454	0.017	0.156
Selenomonadales	1.119	2.32	0.845	2.11	0	0	0.00242	0.824	0.135	0.426	0.622	1.11e-06	0.0190125	0.970384615384615	0.50625	1	0.717692307692308	8.325e-06	0.069	0.469
Pseudomonadales	0.114	0.8	0.47	1.73	0	0	0.199	0.223	0.906	0.294	0.0429	1	0.369571428571429	0.970384615384615	0.906	0.882	0.6435	1	0.05	0.05
Enterobacteriales	1.213	2.508	3.003	3.302	0.905	2.474	0.00307	0.00622	0.905	0.0364	0.489	0.000563	0.0190125	0.0933	0.906	0.182	0.717692307692308	0.0014075	0.065	0.333
Coriobacteriales	0.857	2.049	0.559	1.644	0	0	0.00585	0.736	0.206	0.605	0.513	0.0154	0.0190125	0.970384615384615	0.618	1	0.717692307692308	0.028875	0.075	0.251
Bacteroidales	6.313	2.023	5.829	2.439	0	0	<2e-16	0.501	7.88e-15	3.16e-14	0.622	0.284	NA	0.970384615384615	1.182e-13	4.74e-13	0.717692307692308	0.473333333333333	0.504	0.561
Desulfovibrionales	0.32	1.273	0.177	0.937	0	0	0.0224	0.829	0.554	0.875	0.726	0.00028	0.05824	0.970384615384615	0.906	1	0.777857142857143	0.00084	0.054	0.272
Pasteurellales	0.063	0.623	0	0	0	0	0.893	0.841	0.896	1	0.293	0.549	0.893	0.970384615384615	0.906	1	0.717692307692308	0.804545454545454	0.008	0.156
Synergistales	0.046	0.453	0	0	0	0	0.799	0.841	0.896	1	0.327	0.971	0.865583333333333	0.970384615384615	0.906	1	0.717692307692308	1	0.01	0.012
Lactobacillales	0.417	1.524	0	0	0	0	0.402	0.283	0.449	1	0.542	1.75e-08	0.65325	0.970384615384615	0.906	1	0.717692307692308	2.625e-07	0.009	0.633
Caudovirales	0.155	0.882	0	0	0	0	0.516	0.592	0.718	1	0.548	1	0.745333333333333	0.970384615384615	0.906	1	0.717692307692308	1	0.012	0.012
Bifidobacteriales	0.381	1.407	0.386	1.42	0	0	0.163	1	0.54	0.625	0.246	3.82e-05	0.353166666666667	1	0.906	1	0.717692307692308	0.00014325	0.026	0.372
Burkholderiales	0.12	0.841	0	0	0	0	0.759	0.708	0.804	1	0.94	0.823	0.865583333333333	0.970384615384615	0.906	1	0.94	1	0.004	0.105
