Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Actinomycetales	1.5372378927582	0.687	1.75865205529548	1.759	0.0155	0.99	0.00263	0.0465	0.994	0.00383538461538462	0.02	0.191
Bacillales	1.92318881660357	0.605	3.34502973594263	3.345	<2e-16	0.289	0.157	NA	0.902	0.166235294117647	0.466	0.508
Bacteroidales	4.74804044539159	0.215	4.72519971837521	4.725	0.303	0.0512	0.00326	0.4545	0.38676	0.004116	0.017	0.184
Bifidobacteriales	0.452180483601761	0.599	0.314879123099974	0.315	0.022	0.827	1.39e-08	0.0565714285714286	0.994	3.1275e-08	0.015	0.35
Burkholderiales	2.80576357668948	0.883	2.87354715951681	2.874	0.285	0.00356	<2e-16	0.4545	0.07832	NA	0.013	0.692
Campylobacterales	0.333829378003845	0.49	1.48204716300337	1.482	<2e-16	0.369	1.03e-05	NA	0.902	1.68545454545455e-05	0.303	0.486
Clostridiales	4.82718054338563	0.164	4.81469610862116	4.815	0.508	0.532	0.00343	0.6504	0.975333333333333	0.004116	0.003	0.176
Coriobacteriales	2.95893983689014	0.561	2.64852294774108	2.649	2.77e-06	0.815	0.00277	1.662e-05	0.994	0.00383538461538462	0.076	0.235
Desulfovibrionales	1.91007784080374	1.024	1.93225951879306	1.932	0.498	0.586	<2e-16	0.6504	0.991692307692308	NA	0.001	0.672
Enterobacteriales	1.42271334969063	1.162	2.12592468595617	2.126	5.96e-11	0.894	<2e-16	1.0728e-09	0.994	NA	0.089	0.566
Erysipelotrichales	3.1896263760256	0.578	3.22241346251524	3.222	0.542	0.0879	3.16e-07	0.6504	0.38676	5.688e-07	0.01	0.313
Flavobacteriales	0.457074709659332	0.548	0.460515445383138	0.461	0.871	0.917	1.32e-08	0.871	0.994	3.1275e-08	0	0.342
Fusobacteriales	0.616660255684697	0.975	1.21173081803749	1.212	3.19e-09	0.451	2.75e-13	2.871e-08	0.902	1.2375e-12	0.082	0.508
Lactobacillales	2.87693441100118	0.704	2.88729861550606	2.887	0.706	0.994	2.86e-14	0.79425	0.994	1.716e-13	0	0.461
Pasteurellales	0.567316110090376	0.805	0.54950551020615	0.55	0.849	0.414	1.1e-09	0.871	0.902	3.3e-09	0.002	0.368
Pseudomonadales	0.169713311973804	0.373	1.02421260769224	1.024	<2e-16	0.707	0.205	NA	0.994	0.205	0.3	0.349
Rhizobiales	1.17220791394871	0.798	1.12912737259679	1.129	0.251	0.0657	<2e-16	0.4518	0.38676	NA	0.007	0.639
Selenomonadales	3.53710005050306	0.576	3.32251754989498	3.323	1.67e-05	0.778	8.42e-13	7.515e-05	0.994	3.0312e-12	0.045	0.458
Sphingobacteriales	0.286181027293506	0.506	0.351274613105771	0.351	0.234	0.789	2.05e-08	0.4518	0.994	4.1e-08	0.004	0.339
Synergistales	0.542155069189391	0.781	0.660398124056202	0.66	0.114	0.39	1.16e-14	0.2565	0.902	1.044e-13	0.007	0.471
Thermales	0.205759317729687	0.396	1.57774786379604	1.578	<2e-16	0.0843	0.118	NA	0.38676	0.13275	0.476	0.522
Verrucomicrobiales	1.54962154984593	1.22	1.19876132137525	1.199	0.00302	0.367	5.93e-15	0.010872	0.902	1.044e-13	0.021	0.489
