Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinomycetales	1.537	0.687	1.759	0.902	0.0116821869132315	0.992717780664182	0.00263130827311521	0.0257008112091092	0.992717780664182	0.00358064788489933
Bacillales	1.923	0.605	3.345	0.897	1.78251659924441e-52	0.308382799780103	0.156642133575583	1.96076825916885e-51	0.992717780664182	0.164101282793468
Bacteroidales	4.748	0.215	4.725	0.185	0.458003045460158	0.0734787099222394	0.00326424375238868	0.719719071437391	0.787134236377193	0.00397033919991692
Bifidobacteriales	0.452	0.599	0.315	0.494	0.0255743474914291	0.863963077746425	1.38740437111377e-08	0.0511486949828582	0.992717780664182	2.54357468037524e-08
Burkholderiales	2.806	0.883	2.874	0.831	0.686967277617101	0.107336486778708	2.46849785805559e-32	0.948713687315799	0.787134236377193	5.4306952877223e-31
Campylobacterales	0.334	0.49	1.482	1.141	1.45028607013725e-32	0.453215062302953	1.03456950939172e-05	9.28032441104159e-32	0.992717780664182	1.51736861377452e-05
Clostridiales	4.827	0.164	4.815	0.152	0.689973590775127	0.539651512620027	0.00342892930901916	0.948713687315799	0.992717780664182	0.00397033919991692
Coriobacteriales	2.959	0.561	2.649	0.522	1.42613929641642e-08	0.829670205594515	0.00276686427469494	5.22917742019355e-08	0.992717780664182	0.00358064788489933
Desulfovibrionales	1.91	1.024	1.932	0.897	0.968848750255754	0.746993826056233	1.46212214907349e-30	0.997728129681472	0.992717780664182	1.60833436398083e-29
Enterobacteriales	1.423	1.162	2.126	1.136	1.35813310247489e-09	0.971504237094045	5.46851820919633e-18	5.97578565088953e-09	0.992717780664182	3.00768501505798e-17
Erysipelotrichales	3.19	0.578	3.222	0.383	0.764618126287231	0.147435512263735	3.15674598816168e-07	0.989505810489357	0.810895317450543	4.96060083853977e-07
Flavobacteriales	0.457	0.548	0.461	0.565	0.997728129681472	0.913319856799542	1.32484323283427e-08	0.997728129681472	0.992717780664182	2.54357468037524e-08
Fusobacteriales	0.617	0.975	1.212	1.115	1.83141985915628e-08	0.477533298553535	2.7525678687435e-13	5.75589098591974e-08	0.992717780664182	7.56956163904463e-13
Lactobacillales	2.877	0.704	2.887	0.737	0.987780393352782	0.961491886270555	2.86337798672292e-14	0.997728129681472	0.992717780664182	8.99918795827202e-14
Pasteurellales	0.567	0.805	0.55	0.742	0.968929259981094	0.50896015768172	1.10125082964589e-09	0.997728129681472	0.992717780664182	2.42275182522097e-09
Pseudomonadales	0.17	0.373	1.024	0.846	1.68733171109847e-32	0.719370659821768	0.205248137539845	9.28032441104159e-32	0.992717780664182	0.205248137539845
Rhizobiales	1.172	0.798	1.129	0.805	0.841383186563623	0.240562573712482	7.29760523523021e-27	0.997728129681472	0.992717780664182	5.35157717250215e-26
Selenomonadales	3.537	0.576	3.323	0.422	3.41608362187762e-05	0.85303815786791	8.42029029112755e-13	9.39422996016346e-05	0.992717780664182	2.05829318227562e-12
Sphingobacteriales	0.286	0.506	0.351	0.582	0.430323734485253	0.826278148155837	2.04510444195707e-08	0.719719071437391	0.992717780664182	3.46094597869658e-08
Synergistales	0.542	0.781	0.66	0.852	0.289208459488175	0.552389479985541	1.15594609888705e-14	0.530215509061654	0.992717780664182	4.2384690292525e-14
Thermales	0.206	0.396	1.578	0.952	1.63520137997441e-53	0.0988306802252732	0.117988087446845	3.59744303594371e-52	0.787134236377193	0.129786896191529
Verrucomicrobiales	1.55	1.22	1.199	1.065	0.00423068822347027	0.568069743797603	5.93237828225885e-15	0.0103416823240384	0.992717780664182	2.61024644419389e-14
