Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
OTU4465905	0.3892923115415	0.440170060069023	0.576972122841524	0.570755376204985	1.39726576159446e-11	0.999999461192889	0.998351084606317	1.9285717548921e-11
OTU177313	0.666826444291198	0.670815974554975	0.998886595284321	0.742539296868109	1.06650874379863e-35	0.999999461192889	0.998351084606317	3.70297135269215e-35
OTU177319	1.93827550195199	2.07565593298713	0.19901257550777	0.224224233903432	6.03580023891174e-24	0.619766182221969	0.998351084606317	1.19519995921707e-23
OTU505587	0.188154126473088	1.88985324242133	3.52598403651623e-65	0.574960864025292	0.0147132317077134	3.94205015282514e-62	0.998351084606317	0.0152450352634139
OTU2996838	0.367183702263334	0.318384363484877	0.783284336933728	0.662238095467754	2.17628261948696e-58	0.999999461192889	0.998351084606317	1.10594725844837e-56
OTU193778	0.328981695525577	0.333665653158047	0.996003021757923	0.70622229016583	1.79757875671609e-29	0.999999461192889	0.998351084606317	4.47593106906144e-29
OTU191687	0.882972274617786	0.732406181603206	0.248303768632442	0.905342626726216	1.90090035743679e-53	0.721048346314467	0.998351084606317	5.06001571336746e-52
OTU1086889	0.123862868557435	0.911053499451283	5.5145208666074e-21	0.580341787259145	0.00487735904951774	1.98878526737647e-19	0.998351084606317	0.0051248941892489
OTU3443119	2.0017886524169	1.9685211938582	0.861109581543275	0.534332691421441	7.36270271590471e-11	0.999999461192889	0.998351084606317	9.98968645191926e-11
OTU295705	0.509545374635788	0.436943285154762	0.716265345427738	0.87534228893181	5.35377405384593e-32	0.999999461192889	0.998351084606317	1.53082337396413e-31
OTU190092	0.464481580575231	0.604194185003802	0.0420594192058538	0.271284691437515	1.49425562572425e-16	0.211812750775426	0.998351084606317	2.33320920329569e-16
OTU188966	0.571282670452393	0.136684870655834	5.0359676331867e-17	0.444853029822298	0.00261839684883403	1.52167886862236e-15	0.998351084606317	0.00276688816351271
OTU183224	0.391106375088084	0.285903496714126	0.100722338323874	0.845292183942336	4.0712015150654e-15	0.402169908021756	0.998351084606317	6.15081526195016e-15
OTU183220	0.952770205414347	0.93736887811384	0.987895596348145	0.75666917532364	1.1289750302203e-52	0.999999461192889	0.998351084606317	2.68551932720488e-51
OTU495095	0.0546115264040167	0.878027675973029	4.12239753765989e-26	0.448988553346435	0.000181063009384343	2.19468592719227e-24	0.998351084606317	0.000200622838941225
OTU205934	0.305534412052551	0.475939942267657	0.0215562500400061	0.91178652529269	1.1592304074558e-16	0.118136703650621	0.998351084606317	1.81769929247628e-16
OTU525515	0.0558582562373322	0.694598049567115	1.10940905165931e-19	0.460825844607054	0.00143529413306762	3.64799799927973e-18	0.998351084606317	0.00153555869930105
OTU180754	0.918995057163034	0.821837652867839	0.577556784925705	0.796760825562285	2.45125795776441e-42	0.999999461192889	0.998351084606317	1.48840602907336e-41
OTU288680	0.545856377400616	0.349956531695425	0.00270381955308263	0.0235050243291571	0.0910116357676044	0.0201524684023092	0.998351084606317	0.092838511668049
OTU192226	0.289465985210239	0.319226596864178	0.856255404920209	0.360846419009161	1.19233578086494e-30	0.999999461192889	0.998351084606317	3.15137447519385e-30
OTU180285	1.20430099766636	1.12423975473504	0.762463708382053	0.828450759463239	5.79646009956446e-44	0.999999461192889	0.998351084606317	4.18093057504069e-43
OTU192225	0.181514851660368	0.164472927584165	0.835459735469093	0.0618200668596345	0.00506383659747841	0.999999461192889	0.998351084606317	0.0053108530168676
OTU184440	0.249746337307642	0.28698495533589	0.726339557559547	0.539129994335582	1.85223741305087e-28	0.999999461192889	0.998351084606317	4.37801570357479e-28
OTU192228	0.475176106619282	0.573090624908465	0.444612204943061	0.504441805125299	9.16960513530993e-43	0.992168553146392	0.998351084606317	6.10215389361696e-42
OTU180572	1.17511187307067	1.17644457317932	0.999913424382278	0.238458435916932	1.6616445515051e-33	0.999999461192889	0.998351084606317	5.11768211730772e-33
OTU165346	0.326963188152126	0.278087153145894	0.574936559665535	0.7260312191717	5.47115609856416e-28	0.999999461192889	0.998351084606317	1.25859105312649e-27
OTU177109	0.593165453848132	0.502431674485527	0.510956698168552	0.798042568280186	5.29771253347082e-38	0.999999461192889	0.998351084606317	2.25203141156668e-37
OTU181155	0.632934661341774	0.572835294371944	0.609755900151323	0.900442328408884	1.48640553424302e-20	0.999999461192889	0.998351084606317	2.60470436878323e-20
OTU210095	0.268272150427512	0.169683202162003	0.0147339941951804	0.636857199728646	0.00944013229083076	0.089041110866009	0.998351084606317	0.00983603718653196
OTU163243	0.630069008684259	0.619775282102722	0.99462675427646	0.390862261275465	5.69422922214439e-40	0.999999461192889	0.998351084606317	2.79217029401641e-39
OTU1076557	2.01686982722585	1.51795473395904	3.37917777894641e-07	0.413855723186978	1.63377969875652e-21	5.55576581891484e-06	0.998351084606317	2.94132963479838e-21
OTU179623	0.591259470533159	0.53116431964331	0.73453231170276	0.65291214245612	2.06406306626059e-31	0.999999461192889	0.998351084606317	5.71193690118648e-31
OTU4338624	0.364277090282037	0.504946442041232	0.26304242784008	0.654608623389276	4.96401521724305e-30	0.74484287590604	0.998351084606317	1.26418428539356e-29
OTU495394	0.116826731761494	0.759822063954837	3.86417574641032e-16	0.96654608882074	1.75705060817357e-06	1.00468569406668e-14	0.998351084606317	2.08312044532137e-06
OTU289875	0.186747129671041	0.211992048454034	0.659240517345049	0.684394663408742	0.00068188092004916	0.999999461192889	0.998351084606317	0.000740857986992187
OTU147195	0.389342849035327	0.375145710239105	0.971202361416014	0.126085836286233	2.10332922441672e-22	0.999999461192889	0.998351084606317	3.91920345482982e-22
OTU363844	1.12180945616571	0.777707571639405	3.67137157191224e-06	0.458765448798886	1.17381748769827e-11	4.94529327397335e-05	0.998351084606317	1.6241682564934e-11
OTU175741	0.434112745485897	0.464780960570205	0.897101719035404	0.665251280440797	2.16739465998834e-39	0.999999461192889	0.998351084606317	1.03112648079445e-38
OTU178712	0.485452804818481	0.421312434948589	0.649697213836727	0.666863395214547	3.64899684366899e-21	0.999999461192889	0.998351084606317	6.51689851632897e-21
OTU849723	0.520457498004068	0.652699113851217	0.177856890072499	0.753158167059862	9.84084599279817e-17	0.583120243698104	0.998351084606317	1.54958673520399e-16
OTU298942	0.219395249390045	0.166762114529552	0.245629764800234	0.102539718093281	0.0108303055555716	0.720796837267141	0.998351084606317	0.011274005224515
OTU183145	0.537029679067656	0.466050467307605	0.618136934620141	0.685402632043014	7.09331040234202e-28	0.999999461192889	0.998351084606317	1.62174254188515e-27
