Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
OTU187248	0.478	0.529	0.731	0.675	9.17e-08	0.355	1.35e-18	1.03926666666667e-06	0.77295566502463	2.26882129277567e-18	0.06	0.6
OTU195512	0.355	0.623	0.271	0.57	0.0459	0.115	1.12e-26	0.105665625	0.617849462365591	2.86150289017341e-26	0.01	0.662
OTU521996	0.27	0.396	0.128	0.295	1.52e-05	0.927	4.39e-14	9.59771428571429e-05	0.984132723112128	6.17955414012739e-14	0.042	0.544
OTU362389	0.116	0.202	0.111	0.189	0.83	0.661	0.00775	0.914862842892768	0.933880877742947	0.00829418886198547	0.001	0.168
OTU186352	0.186	0.237	0.14	0.208	0.108	0.576	0.0107	0.197256198347107	0.909257142857143	0.01136875	0.011	0.167
OTU644946	0.388	0.38	1.76	0.839	1.85e-36	0.327	0.0654	8.177e-34	0.748880829015544	0.0673818181818182	0.53	0.584
OTU523934	0.149	0.319	0.154	0.282	0.945	0.737	2.44e-16	0.966114678899083	0.955290322580645	3.75777003484321e-16	0	0.551
OTU195207	0.311	0.564	0.226	0.449	0.0631	0.902	1.96e-22	0.131557547169811	0.979567567567568	3.78305676855895e-22	0.006	0.624
OTU199543	0.176	0.267	0.121	0.222	0.0171	0.612	3.55e-14	0.0475358490566038	0.927013422818792	5.01309904153355e-14	0.014	0.524
OTU521515	0.2	0.343	0.231	0.365	0.515	0.787	3.33e-23	0.683573573573574	0.961928374655648	6.9427358490566e-23	0.001	0.65
OTU176469	0.22	0.337	0.312	0.463	0.0153	0.907	1.96e-11	0.043912987012987	0.982583333333333	2.55551622418879e-11	0.016	0.44
OTU364179	1.097	1.077	0.926	0.897	0.00245	0.674	3.91e-50	0.00949912280701754	0.933880877742947	6.17221428571429e-49	0.007	0.84
OTU198011	0.86	0.602	0.848	0.575	0.856	0.703	3.34e-21	0.927121951219512	0.952404761904762	6.17690376569038e-21	0	0.615
OTU198542	0.276	0.372	0.211	0.351	0.115	0.517	1.94e-09	0.206626016260163	0.899661417322835	2.35571428571429e-09	0.008	0.383
OTU335577	1.449	0.515	1.398	0.571	0.537	0.838	1.96e-10	0.700159292035398	0.974384039900249	2.50381502890173e-10	0.001	0.436
OTU197675	0.407	0.519	0.377	0.469	0.652	0.33	5.6e-23	0.796088397790055	0.751855670103093	1.13022831050228e-22	0.002	0.627
