Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
OTU4465905	0.3892923115415	0.533	0.440170060069023	0.44	0.377	0.48	1.4e-11	0.616296735905045	0.880903752039152	6.3e-11	0.003	0.41
OTU177313	0.666826444291198	0.922	0.670815974554975	0.671	0.691	0.694	<2e-16	0.855746892655367	0.922582639714625	NA	0	0.723
OTU177319	1.93827550195199	0.802	2.07565593298713	2.076	0.0135	0.0444	<2e-16	0.0613941908713693	0.602843137254902	NA	0.017	0.61
OTU505587	0.188154126473088	0.431	1.88985324242133	1.89	<2e-16	0.54	0.0147	NA	0.903174560216509	0.0163058823529412	0.557	0.619
OTU2996838	0.367183702263334	0.784	0.318384363484877	0.318	0.23	0.244	<2e-16	0.452567324955117	0.774977272727273	NA	0.002	0.849
OTU193778	0.328981695525577	0.584	0.333665653158047	0.334	0.948	0.553	<2e-16	0.976623474178404	0.903174560216509	NA	0.001	0.662
OTU191687	0.882972274617786	1.026	0.732406181603206	0.732	0.000967	0.684	<2e-16	0.00741141258741259	0.922582639714625	NA	0.008	0.829
OTU1086889	0.123862868557435	0.303	0.911053499451283	0.911	2.61e-14	0.541	0.00488	4.61885714285714e-12	0.903174560216509	0.00565052631578947	0.196	0.327
OTU3443119	2.0017886524169	0.608	1.9685211938582	1.969	0.71	0.464	7.36e-11	0.857949283351709	0.87244925124792	2.85741176470588e-10	0.002	0.397
OTU295705	0.509545374635788	1.01	0.436943285154762	0.437	0.328	0.742	<2e-16	0.565232704402516	0.944539071347678	NA	0.001	0.686
OTU190092	0.464481580575231	0.593	0.604194185003802	0.604	0.0151	0.108	<2e-16	0.0678262295081967	0.645689839572193	NA	0.018	0.509
OTU188966	0.571282670452393	0.65	0.136684870655834	0.137	1.05e-11	0.396	0.00262	5.00347826086956e-10	0.8643	0.00308785714285714	0.158	0.304
OTU183224	0.391106375088084	0.574	0.285903496714126	0.286	0.0412	0.822	4.07e-15	0.143806369426752	0.965331932773109	8.954e-14	0.009	0.48
OTU183220	0.952770205414347	1.093	0.93736887811384	0.937	0.872	0.542	<2e-16	0.940661417322835	0.903174560216509	NA	0	0.824
OTU495095	0.0546115264040167	0.249	0.878027675973029	0.878	<2e-16	0.383	0.000181	NA	0.8643	0.000249742160278746	0.245	0.411
OTU205934	0.305534412052551	0.547	0.475939942267657	0.476	0.00593	0.846	<2e-16	0.0322289108910891	0.966006042296073	NA	0.016	0.509
OTU525515	0.0558582562373322	0.298	0.694598049567115	0.695	9.74e-14	0.408	0.00144	9.70458181818182e-12	0.864867924528302	0.00176	0.185	0.336
OTU180754	0.918995057163034	1.071	0.821837652867839	0.822	0.156	0.671	<2e-16	0.350360655737705	0.921740920096852	NA	0.002	0.766
OTU288680	0.545856377400616	0.679	0.349956531695425	0.35	0.0107	0.0177	0.091	0.051210480349345	0.602843137254902	0.0963529411764706	0.045	0.135
OTU192226	0.289465985210239	0.596	0.319226596864178	0.319	0.44	0.116	<2e-16	0.682093352192362	0.666282828282828	NA	0.004	0.674
