Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
OTU4465905	0.389	0.533	0.44	0.525	0.576972122841524	0.570755376204985	1.39726576159446e-11	0.999999461192889	0.998351084606317	1.9285717548921e-11
OTU177313	0.667	0.922	0.671	0.922	0.998886595284321	0.742539296868109	1.06650874379863e-35	0.999999461192889	0.998351084606317	3.70297135269215e-35
OTU177319	1.938	0.802	2.076	0.864	0.19901257550777	0.224224233903432	6.03580023891174e-24	0.619766182221969	0.998351084606317	1.19519995921707e-23
OTU505587	0.188	0.431	1.89	0.986	3.52598403651623e-65	0.574960864025292	0.0147132317077134	3.94205015282514e-62	0.998351084606317	0.0152450352634139
OTU2996838	0.367	0.784	0.318	0.738	0.783284336933728	0.662238095467754	2.17628261948696e-58	0.999999461192889	0.998351084606317	1.10594725844837e-56
OTU193778	0.329	0.584	0.334	0.558	0.996003021757923	0.70622229016583	1.79757875671609e-29	0.999999461192889	0.998351084606317	4.47593106906144e-29
OTU191687	0.883	1.026	0.732	0.935	0.248303768632442	0.905342626726216	1.90090035743679e-53	0.721048346314467	0.998351084606317	5.06001571336746e-52
OTU1086889	0.124	0.303	0.911	1.093	5.5145208666074e-21	0.580341787259145	0.00487735904951774	1.98878526737647e-19	0.998351084606317	0.0051248941892489
OTU3443119	2.002	0.608	1.969	0.715	0.861109581543275	0.534332691421441	7.36270271590471e-11	0.999999461192889	0.998351084606317	9.98968645191926e-11
OTU295705	0.51	1.01	0.437	0.926	0.716265345427738	0.87534228893181	5.35377405384593e-32	0.999999461192889	0.998351084606317	1.53082337396413e-31
OTU190092	0.464	0.593	0.604	0.612	0.0420594192058538	0.271284691437515	1.49425562572425e-16	0.211812750775426	0.998351084606317	2.33320920329569e-16
OTU188966	0.571	0.65	0.137	0.298	5.0359676331867e-17	0.444853029822298	0.00261839684883403	1.52167886862236e-15	0.998351084606317	0.00276688816351271
OTU183224	0.391	0.574	0.286	0.489	0.100722338323874	0.845292183942336	4.0712015150654e-15	0.402169908021756	0.998351084606317	6.15081526195016e-15
OTU183220	0.953	1.093	0.937	1.06	0.987895596348145	0.75666917532364	1.1289750302203e-52	0.999999461192889	0.998351084606317	2.68551932720488e-51
OTU495095	0.055	0.249	0.878	1.002	4.12239753765989e-26	0.448988553346435	0.000181063009384343	2.19468592719227e-24	0.998351084606317	0.000200622838941225
OTU205934	0.306	0.547	0.476	0.765	0.0215562500400061	0.91178652529269	1.1592304074558e-16	0.118136703650621	0.998351084606317	1.81769929247628e-16
OTU525515	0.056	0.298	0.695	0.911	1.10940905165931e-19	0.460825844607054	0.00143529413306762	3.64799799927973e-18	0.998351084606317	0.00153555869930105
OTU180754	0.919	1.071	0.822	0.947	0.577556784925705	0.796760825562285	2.45125795776441e-42	0.999999461192889	0.998351084606317	1.48840602907336e-41
OTU288680	0.546	0.679	0.35	0.557	0.00270381955308263	0.0235050243291571	0.0910116357676044	0.0201524684023092	0.998351084606317	0.092838511668049
OTU192226	0.289	0.596	0.319	0.571	0.856255404920209	0.360846419009161	1.19233578086494e-30	0.999999461192889	0.998351084606317	3.15137447519385e-30
OTU180285	1.204	1.231	1.124	1.138	0.762463708382053	0.828450759463239	5.79646009956446e-44	0.999999461192889	0.998351084606317	4.18093057504069e-43
OTU192225	0.182	0.31	0.164	0.314	0.835459735469093	0.0618200668596345	0.00506383659747841	0.999999461192889	0.998351084606317	0.0053108530168676
OTU184440	0.25	0.514	0.287	0.502	0.726339557559547	0.539129994335582	1.85223741305087e-28	0.999999461192889	0.998351084606317	4.37801570357479e-28
OTU192228	0.475	0.789	0.573	0.885	0.444612204943061	0.504441805125299	9.16960513530993e-43	0.992168553146392	0.998351084606317	6.10215389361696e-42
OTU180572	1.175	1.097	1.176	1.118	0.999913424382278	0.238458435916932	1.6616445515051e-33	0.999999461192889	0.998351084606317	5.11768211730772e-33
OTU165346	0.327	0.525	0.278	0.487	0.574936559665535	0.7260312191717	5.47115609856416e-28	0.999999461192889	0.998351084606317	1.25859105312649e-27
OTU177109	0.593	0.881	0.502	0.824	0.510956698168552	0.798042568280186	5.29771253347082e-38	0.999999461192889	0.998351084606317	2.25203141156668e-37
OTU181155	0.633	0.666	0.573	0.651	0.609755900151323	0.900442328408884	1.48640553424302e-20	0.999999461192889	0.998351084606317	2.60470436878323e-20
OTU210095	0.268	0.409	0.17	0.32	0.0147339941951804	0.636857199728646	0.00944013229083076	0.089041110866009	0.998351084606317	0.00983603718653196
OTU163243	0.63	1.122	0.62	1.043	0.99462675427646	0.390862261275465	5.69422922214439e-40	0.999999461192889	0.998351084606317	2.79217029401641e-39
