Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
.Thermi.	0.045	0.152	0.717	0.644	1.1e-21	0.13	0.169	1.21e-20	0.476666666666667	0.1859	0.348	0.404
Actinobacteria	1.659	0.496	1.549	0.356	0.0189	0.936	1.96e-05	0.0233444444444444	0.936	2.695e-05	0.019	0.292
Bacteroidetes	3.572	0.222	3.535	0.193	0.162	0.0912	0.00601	0.162	0.476666666666667	0.00734555555555556	0.018	0.196
Cyanobacteria	0.388	0.514	0.276	0.497	0.00861	0.902	2.1e-16	0.01353	0.936	7.7e-16	0.015	0.551
Firmicutes	3.703	0.148	3.733	0.11	0.0545	0.0399	7.6e-06	0.05995	0.4389	1.19428571428571e-05	0.025	0.323
Fusobacteria	0.222	0.627	0.511	0.75	7.67e-08	0.738	2.6e-22	4.2185e-07	0.902	1.43e-21	0.05	0.662
Proteobacteria	2.064	0.482	2.241	0.408	0.000259	0.736	3.87e-06	0.0005698	0.902	7.095e-06	0.045	0.32
Tenericutes	0.445	0.733	0.337	0.643	0.0191	0.366	1.2e-26	0.0233444444444444	0.575142857142857	1.32e-25	0.009	0.691
TM7	0.234	0.342	0.048	0.174	4.16e-07	0.273	0.203	1.52533333333333e-06	0.557333333333333	0.203	0.11	0.179
Unassigned	1.869	0.459	2.119	0.553	2.32e-05	0.304	2e-10	6.38e-05	0.557333333333333	4.4e-10	0.051	0.453
Verrucomicrobia	0.774	0.852	0.554	0.647	0.00284	0.199	1.7e-12	0.00520666666666667	0.54725	4.675e-12	0.026	0.478
