Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Proteobacteria	4.85532675308976	4.85040256447332	5.06577992208885	1.72707097844061e-05	0.989167280988665	1.35448881557476e-05	0.000140248428267209	0.344473870679583	3.74266302833831e-07	6.90828391376244e-05	0.998815044225214	6.19194887119891e-05	0.000575418626363788	0.847935681672819	1.71093167009751e-06
Deinococcus.Thermus	0.838522270721998	1.60590117876655	0.652453947511019	3.50140357907446e-14	3.10196313080269e-13	0.25143732708509	2.62763255598486e-10	0.22029739552549	0.0506407442153604	1.86741524217304e-13	9.9262820185686e-12	0.349825846379256	1.68168483583031e-09	0.78612636546922	0.0707113948920894
Thermotogae	0.135137977749377	0.116287792192527	0.0238152894117063	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.263583256373486	0.998815044225214	0.269915717705518	0.560402643706554	0.847935681672819	0.00160897605531171
Elusimicrobia	0.0533839962569307	0.0286242448614526	0.0813746587491984	0.576453664456452	0.757422433699762	0.799151679660038	0.556392408400245	0.672497533913136	0.999890883611208	0.614883908753548	0.998815044225214	0.837976107563976	0.659428039585475	0.927755723485905	0.999960935528135
Bacteroidetes	4.32244795901741	4.07810133347163	2.30186218066505	5.78774649727682e-36	0.0229788994454241	1.66533453693773e-15	1.66533453693773e-15	0.702841617144564	0.00103508852488111	1.85207887912858e-34	0.183831195563393	1.77635683940025e-14	2.25005199657365e-14	0.927755723485905	0.00220818885307971
Tenericutes	1.09104485441839	1.42534643470402	2.03853552847785	1.95404398296019e-24	4.84779487774922e-07	2.99760216648792e-15	4.71814365354817e-10	0.592709049902394	0.999834255950658	1.56323518636815e-23	7.75647180439876e-06	2.39808173319034e-14	2.51634328189236e-09	0.927755723485905	0.999960935528135
Firmicutes	3.90459797098861	3.96348242941159	2.28608761294563	3.92284698549502e-29	0.787775588232839	1.66533453693773e-15	2.1094237467878e-15	0.89876335712697	0.000186382114679757	4.18437011786136e-28	0.998815044225214	1.77635683940025e-14	2.25005199657365e-14	0.927755723485905	0.000542202515432021
Armatimonadetes	0.0134696673114518	0.0289469399669966	0	0.552218488662483	0.691391691803848	0.837976107563976	0.548448710321097	0.277909687217691	0.42395950931234	0.609344539213775	0.998815044225214	0.837976107563976	0.659428039585475	0.808464544633283	0.502470529555366
Verrucomicrobia	1.89220818784122	1.62910528679233	0.632892608539706	0.000429915919873035	0.539922682168203	0.000264468841452703	0.0187460702313186	0.164680075715273	1.45676260005715e-11	0.00114644245299476	0.998815044225214	0.00084630029264865	0.0399916164934796	0.78612636546922	4.66164032018287e-10
Chlamydiae	0.171833208766378	0.118247335261628	0	0.11816438802374	0.704655519387095	0.107992098603089	0.453257195063832	0.789869208357785	0.043808222104119	0.157552517364987	0.998815044225214	0.181881429226255	0.580169209681705	0.927755723485905	0.0667553860634194
Cyanobacteria	0.765554895431876	0.878085709166942	1.0498576811997	0.0245316056534265	0.39392384237099	0.0261122375012763	0.363604856059186	0.788769079602433	0.000291038813922912	0.0490632113068531	0.998815044225214	0.0557061066693895	0.528879790631543	0.927755723485905	0.000776103503794433
Candidatus_Saccharibacteria	0.0629681052671369	0.0591093228089819	0.101540220560458	0.640408336873415	0.992876352831415	0.638526943850286	0.669330064123688	0.94952443635615	0.160038707650138	0.661066670320944	0.998815044225214	0.729745078686041	0.738571105239932	0.94952443635615	0.196970717107862
