Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Proteobacteria	3.36124682653209	3.46338419110286	0.0290834352534085	0.59127695324791	8.87441380421128e-05	0.0747859763659076	0.818691166035567	0.000114099606054145
Deinococcus.Thermus	0.26072376813484	1.59138421696018	5.98999570947542e-52	0.230778052821793	0.0225351857594659	1.07819922770558e-50	0.593429278684611	0.0238607849217874
Thermotogae	0.398285733944213	0.393445957763421	0.995548553472736	0.939252642670037	4.34048954664366e-13	0.995548553472736	0.939252642670037	8.68097909328732e-13
Elusimicrobia	0.171963832547491	0.235636487706707	0.193993174367765	0.652894672541135	1.67549844797769e-07	0.349187713861977	0.839436007552888	2.74172473305441e-07
Bacteroidetes	4.74115866939021	4.71020724960435	0.244420881657323	0.0848198913287999	0.00256323909436824	0.399961442711984	0.593429278684611	0.00307588691324189
Tenericutes	1.12584688725031	1.06442751288657	0.779301810681701	0.587368313798237	8.32173236758732e-24	0.995548553472736	0.818691166035567	4.99303942055239e-23
Firmicutes	4.81551173322957	4.85022714625733	0.0208286631189752	0.0537143808367693	6.2777333948279e-06	0.0624859893569257	0.593429278684611	8.69224623899247e-06
Verrucomicrobia	1.57984311769365	1.22281472986102	0.00254952187467949	0.438805270668975	8.17063356813719e-15	0.00917827874884616	0.789849487204155	1.83839255283087e-14
Cyanobacteria	1.00597126180273	1.034635649127	0.886750646981006	0.182551070922968	1.45895487140502e-09	0.995548553472736	0.593429278684611	2.62611876852903e-09
Actinobacteria	3.11645740963595	3.12952497131186	0.938004265478693	0.2006229238136	2.9008206008903e-07	0.995548553472736	0.593429278684611	4.35123090133545e-07
Chloroflexi	0.363655457075054	0.267530129547774	0.0462682440934454	0.570767834738043	0.0148818981367849	0.0925364881868908	0.818691166035567	0.016742135403883
Chlorobi	0.295949555809314	0.403686442274186	0.284319339936185	0.283942305612158	5.42675196987325e-26	0.426479009904278	0.59981157695469	4.88407677288592e-25
Fibrobacteres	0.95511995192608	0.862729066927008	0.404117103802175	0.141107414016745	1.36481195907761e-18	0.559546759110703	0.593429278684611	4.9133230526794e-18
Fusobacteria	0.504206149229102	1.0683080964129	1.14551247976562e-08	0.204321123222	2.35583297340809e-17	1.03096123178906e-07	0.593429278684611	7.06749892022428e-17
Acidobacteria	0.249720402605344	0.161981557071702	0.0386885390099871	0.855437363527632	4.39821583841668e-27	0.0870492127724709	0.939252642670037	7.91678850915003e-26
Unclassified	3.97782420274827	3.98456857345903	0.966263745078575	0.742519822977403	4.44960598684116e-20	0.995548553472736	0.891023787572883	2.00232269407852e-19
Spirochaetes	0.296989659794876	0.54807796765093	8.03041437873303e-05	0.299905788477345	1.58895175082637e-15	0.000361368647042986	0.59981157695469	4.08587593069639e-15
Aquificae	0.315362544874559	0.158840894745888	2.65349116695378e-06	0.935252041532513	0.675900577827008	1.59209470017227e-05	0.939252642670037	0.675900577827008
