Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Proteobacteria	3.36124682653209	0.462	3.46338419110286	0.365	0.0285	0.53	8.87e-05	0.0692142857142857	0.696	0.00013305	0.017	0.244
Deinococcus.Thermus	0.26072376813484	0.41	1.59138421696018	0.935	<2e-16	0.199	0.0225	NA	0.398	0.0245454545454545	0.463	0.533
Thermotogae	0.398285733944213	0.561	0.393445957763421	0.557	0.864	0.904	4.34e-13	0.864	0.936	1.736e-12	0	0.438
Elusimicrobia	0.171963832547491	0.379	0.235636487706707	0.385	0.115	0.572	1.68e-07	0.1955	0.696	4.032e-07	0.008	0.319
Bacteroidetes	4.74115866939021	0.21	4.71020724960435	0.193	0.172	0.0602	0.00256	0.265818181818182	0.339428571428571	0.00341333333333333	0.019	0.19
Tenericutes	1.12584688725031	1.039	1.06442751288657	0.851	0.45	0.421	<2e-16	0.588461538461538	0.688909090909091	NA	0.002	0.601
Firmicutes	4.81551173322957	0.142	4.85022714625733	0.13	0.0187	0.0288	6.28e-06	0.0529833333333333	0.2655	1.07657142857143e-05	0.031	0.295
Verrucomicrobia	1.57984311769365	1.184	1.22281472986102	1.04	0.00192	0.238	8.17e-15	0.006528	0.4284	4.902e-14	0.024	0.489
Cyanobacteria	1.00597126180273	0.65	1.034635649127	0.63	0.703	0.1	1.46e-09	0.796733333333333	0.339428571428571	4.38e-09	0.008	0.369
Actinobacteria	3.11645740963595	0.414	3.12952497131186	0.385	0.671	0.132	2.9e-07	0.796733333333333	0.339428571428571	5.8e-07	0.007	0.312
Chloroflexi	0.363655457075054	0.485	0.267530129547774	0.344	0.052	0.53	0.0149	0.108044444444444	0.696	0.01788	0.015	0.153
Chlorobi	0.295949555809314	0.659	0.403686442274186	0.814	0.0572	0.083	<2e-16	0.108044444444444	0.339428571428571	NA	0.011	0.628
Fibrobacteres	0.95511995192608	0.739	0.862729066927008	0.762	0.238	0.0295	<2e-16	0.337166666666667	0.2655	NA	0.012	0.536
Fusobacteria	0.504206149229102	0.902	1.0683080964129	1.055	1.64e-10	0.114	<2e-16	2.788e-09	0.339428571428571	NA	0.087	0.575
Acidobacteria	0.249720402605344	0.413	0.161981557071702	0.328	0.00137	0.797	<2e-16	0.0058225	0.896625	NA	0.016	0.643
Unclassified	3.97782420274827	0.298	3.98456857345903	0.263	0.792	0.58	<2e-16	0.8415	0.696	NA	0.001	0.552
Spirochaetes	0.296989659794876	0.548	0.54807796765093	0.683	1.91e-05	0.16	1.59e-15	0.00016235	0.36	1.908e-14	0.045	0.505
Aquificae	0.315362544874559	0.375	0.158840894745888	0.273	0.000252	0.936	0.676	0.001428	0.936	0.676	0.054	0.076
