Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Proteobacteria	4.85532675308976	4.85040256447332	5.06577992208885	7.12278444258137e-13	0.989167280988665	1.35448881557476e-05	0.000140248428267209	0.2174289913131	3.74266302833831e-07	1.5670125773679e-12	0.998815044225214	4.25696484894925e-05	0.000395600305625105	0.531493089876467	1.17626552319204e-06
Deinococcus.Thermus	0.838522270721998	1.60590117876655	0.652453947511019	2.32395263778009e-13	3.10196313080269e-13	0.25143732708509	2.62763255598486e-10	0.184845727598313	0.0506407442153604	6.39086975389525e-13	6.82431888776591e-12	0.263410533136761	1.15615832463334e-09	0.522068469490155	0.0586366511967331
Thermotogae	0.135137977749377	0.116287792192527	0.0238152894117063	0.00184816279604534	0.925071658961752	0.185567055922544	0.420301982779915	0.243480495391711	0.000703927024198873	0.00213997797436829	0.998815044225214	0.204123761514798	0.440316362912292	0.535657089861763	0.00119126111787502
Bacteroidetes	4.32244795901741	4.07810133347163	2.30186218066505	4.91777368564261e-34	0.0229788994454241	1.66533453693773e-15	1.66533453693773e-15	0.660870452491694	0.00103508852488111	1.08191021084138e-32	0.126383946949832	1.22124532708767e-14	1.54691074764438e-14	0.844535224003831	0.00162656768195604
Tenericutes	1.09104485441839	1.42534643470402	2.03853552847785	3.78457872301433e-21	4.84779487774922e-07	2.99760216648792e-15	4.71814365354817e-10	0.593174778843973	0.999834255950658	1.66521463812631e-20	5.33257436552415e-06	1.64868119156836e-14	1.72998600630099e-09	0.844535224003831	0.999834255950658
Firmicutes	3.90459797098861	3.96348242941159	2.28608761294563	2.67060088691997e-32	0.787775588232839	1.66533453693773e-15	2.1094237467878e-15	0.86926321842007	0.000186382114679757	2.93766097561197e-31	0.976992279847995	1.22124532708767e-14	1.54691074764438e-14	0.86926321842007	0.000410040652295466
Verrucomicrobia	1.89220818784122	1.62910528679233	0.632892608539706	1.30395503760288e-08	0.539922682168203	0.000264468841452703	0.0187460702313186	0.0382561901216363	1.45676260005715e-11	2.20669314055872e-08	0.971007523796615	0.000581831451195947	0.0274942363392672	0.2894949313749	3.20487772012572e-10
Chlamydiae	0.171833208766378	0.118247335261628	0	0.0157025507207647	0.704655519387095	0.107992098603089	0.453257195063832	0.76082380801495	0.043808222104119	0.0172728057928411	0.976992279847995	0.131990342737109	0.453257195063832	0.844535224003831	0.053543382571701
Cyanobacteria	0.765554895431876	0.878085709166942	1.0498576811997	0.850419067125471	0.39392384237099	0.0261122375012763	0.363604856059186	0.756475366293057	0.000291038813922912	0.850419067125471	0.962924948017975	0.0382979483352053	0.421016149121163	0.844535224003831	0.000582077627845825
Actinobacteria	2.59981192717284	2.48604994226694	1.0416302943759	3.22843529889677e-24	0.584720799958296	2.16493489801906e-14	8.04911692853238e-14	0.0657943025852046	0.000110896611302703	1.77563941439322e-23	0.971007523796615	9.52571355128384e-14	4.42701431069281e-13	0.2894949313749	0.000271080605406608
Chloroflexi	0.443324011523535	0.498884927882885	0	3.5621093834504e-11	0.773412129372693	8.26720689248717e-05	0.000143854656590947	0.402311843449407	1.64148095799437e-06	7.1242187669008e-11	0.976992279847995	0.000202087279594131	0.000395600305625105	0.804623686898814	4.51407263448451e-06
Chlorobi	0.619395859629698	0.431678616676056	0.0813746587491984	2.88951446042532e-16	0.0779371568919025	5.8588870383014e-06	0.0169142412057343	0.485474419923576	7.99016821166957e-08	1.05948863548928e-15	0.302465577670225	2.14825858071051e-05	0.0265795218947253	0.832794983477582	3.51567401313461e-07
Planctomycetes	0.423871634193167	0.439640845380436	0.0352537561027599	5.36937708621159e-13	0.977177506571485	0.000293068970214527	0.00134738515343291	0.767759294548937	3.4598876932545e-08	1.31251439885172e-12	0.998815044225214	0.000586137940429055	0.00296424733755241	0.844535224003831	2.5372509750533e-07
Chrysiogenetes	0.101668369992943	0.230455378442459	0	5.94877799112642e-06	0.0126883558115745	0.171159733063588	0.00167680697739658	0.0533803507204658	0.000616104600276323	9.34807970034151e-06	0.0930479426182127	0.198184954073628	0.00335361395479317	0.2894949313749	0.00112952510050659
Fusobacteria	0.357480403305451	0.516040480899755	0.0442495621236677	0.00060132635831717	0.153834854462325	0.0112771570243088	0.000668114678857301	0.0412234526149097	0.00429694256896345	0.000826823742686109	0.423045849771395	0.0190844195795994	0.00163316921498451	0.2894949313749	0.00630218243447973
Synergistetes	0.399809717212446	0.396231045413419	0.0501713787930516	2.88940149914414e-10	0.998815044225214	0.00128073385896532	0.00738140101569285	0.846186795490199	7.47172315036483e-08	5.29723608176426e-10	0.998815044225214	0.00234801207476976	0.0124916017188648	0.86926321842007	3.51567401313461e-07
Thermodesulfobacteria	0.189977399001811	0.136624686153274	0.0447182510934897	0.0623325648763457	0.511568626840392	0.0470742934574132	0.396435663654283	0.0377513942899966	0.845955536647388	0.0653007822514098	0.971007523796615	0.0609196738860642	0.436079230019712	0.2894949313749	0.886239133630597
Acidobacteria	0.466187125233189	0.389658390545341	0	8.47190909351915e-14	0.616425366370334	3.50240571223015e-05	0.00389905957124415	0.622831255401995	2.31638548577748e-08	2.6626000008203e-13	0.971007523796615	9.63161570863291e-05	0.00714827588061427	0.844535224003831	2.5372509750533e-07
Unclassified	2.75980913549132	2.70352740876463	2.16329652858194	1.64539673978633e-27	0.124561418261362	1.66533453693773e-15	1.88737914186277e-15	0.0799982472649808	0.115635149978127	1.20662427584331e-26	0.391478743107138	1.22124532708767e-14	1.54691074764438e-14	0.293326906638263	0.127198664975939
Deferribacteres	0.138435817449517	0.0996628202374029	0	0.000674447972814438	0.617913878779664	0.023754242487157	0.230420756996118	0.492106126600389	0.0121839060389821	0.000872815023642214	0.971007523796615	0.0373280953369609	0.281625369661922	0.832794983477582	0.0167528708036004
Spirochaetes	0.94067452399648	1.12699278518084	0.87624699262598	3.42454083393924e-05	0.0824906120918796	0.824457953538854	0.120446302347993	0.551838227464107	2.36183724263347e-07	5.02265988977756e-05	0.302465577670225	0.824457953538854	0.165613665728491	0.844535224003831	8.66006988965607e-07
Aquificae	0.151664669345537	0.121194453073046	0	0.00123676829556151	0.799357319875632	0.0339024209358718	0.19640595051569	0.189843079814602	0.0136610668507367	0.00151160569457518	0.976992279847995	0.0466158287868237	0.254172406549716	0.522068469490155	0.0176790276891886
