Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Proteobacteria	4.85532675308976	0.147	4.85040256447332	0.247	5.06577992208885	0.007	7.12e-13	0.989	1.35e-05	0.00014	0.217	3.74e-07	2.4208e-12	0.999	4.24285714285714e-05	0.000396	0.530444444444444	1.17542857142857e-06	0.306	0.576
Deinococcus.Thermus	0.838522270721998	0.422	1.60590117876655	0.444	0.652453947511019	0.487	2.32e-13	3.1e-13	0.251	2.63e-10	0.185	0.0506	1.31466666666667e-12	6.82e-12	0.262952380952381	1.1572e-09	0.5225	0.0585894736842105	0.348	0.444
Thermotogae	0.135137977749377	0.246	0.116287792192527	0.244	0.0238152894117063	0.095	0.00185	0.925	0.186	0.42	0.243	0.000704	0.00224642857142857	0.999	0.2046	0.44	0.5346	0.00119138461538462	0.091	0.32
Bacteroidetes	4.32244795901741	0.375	4.07810133347163	0.578	2.30186218066505	0.421	<2e-16	0.023	1.67e-15	1.67e-15	0.661	0.00104	NA	0.1265	1.22466666666667e-14	1.54733333333333e-14	0.8448	0.00163428571428571	0.716	0.799
Tenericutes	1.09104485441839	0.247	1.42534643470402	0.403	2.03853552847785	0.228	<2e-16	4.85e-07	3e-15	4.72e-10	0.593	1	NA	5.335e-06	1.65e-14	1.73066666666667e-09	0.8448	1	0.539	0.539
Firmicutes	3.90459797098861	0.405	3.96348242941159	0.457	2.28608761294563	0.412	<2e-16	0.788	1.67e-15	2.11e-15	0.869	0.000186	NA	0.976555555555556	1.22466666666667e-14	1.54733333333333e-14	0.869	0.0004092	0.662	0.793
Verrucomicrobia	1.89220818784122	1.185	1.62910528679233	1.274	0.632892608539706	0.717	1.3e-08	0.54	0.000264	0.0187	0.0383	1.46e-11	2.7625e-08	0.971142857142857	0.0005808	0.0274266666666667	0.28952	3.212e-10	0.181	0.633
Chlamydiae	0.171833208766378	0.353	0.118247335261628	0.232	0	0	0.0157	0.705	0.108	0.453	0.761	0.0438	0.0177933333333333	0.976555555555556	0.132	0.453	0.8448	0.0535333333333333	0.059	0.239
Cyanobacteria	0.765554895431876	0.36	0.878085709166942	0.538	1.0498576811997	0.365	0.85	0.394	0.0261	0.364	0.756	0.000291	0.85	0.963111111111111	0.03828	0.421473684210526	0.8448	0.000582	0.002	0.337
Actinobacteria	2.59981192717284	0.54	2.48604994226694	0.588	1.0416302943759	0.432	<2e-16	0.585	2.16e-14	8.05e-14	0.0658	0.000111	NA	0.971142857142857	9.504e-14	4.4275e-13	0.28952	0.000271333333333333	0.55	0.716
