Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Proteobacteria	4.855	0.147	4.85	0.247	5.066	0.007	1.72707097844061e-05	0.989167280988665	1.35448881557476e-05	0.000140248428267209	0.344473870679583	3.74266302833831e-07	4.74944519071168e-05	0.998815044225214	4.25696484894925e-05	0.000395600305625105	0.757842515495082	1.17626552319204e-06
Deinococcus.Thermus	0.839	0.422	1.606	0.444	0.652	0.487	3.50140357907446e-14	3.10196313080269e-13	0.25143732708509	2.62763255598486e-10	0.22029739552549	0.0506407442153604	1.28384797899397e-13	6.82431888776591e-12	0.263410533136761	1.15615832463334e-09	0.665185182791694	0.0586366511967331
Thermotogae	0.135	0.246	0.116	0.244	0.024	0.095	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.214161395803457	0.998815044225214	0.204123761514798	0.440316362912292	0.757842515495082	0.00119126111787502
Bacteroidetes	4.322	0.375	4.078	0.578	2.302	0.421	5.78774649727682e-36	0.0229788994454241	1.66533453693773e-15	1.66533453693773e-15	0.702841617144564	0.00103508852488111	1.2733042294009e-34	0.126383946949832	1.22124532708767e-14	1.54691074764438e-14	0.89876335712697	0.00162656768195604
Tenericutes	1.091	0.247	1.425	0.403	2.039	0.228	1.95404398296019e-24	4.84779487774922e-07	2.99760216648792e-15	4.71814365354817e-10	0.592709049902394	0.999834255950658	1.0747241906281e-23	5.33257436552415e-06	1.64868119156836e-14	1.72998600630099e-09	0.89876335712697	0.999834255950658
Firmicutes	3.905	0.405	3.963	0.457	2.286	0.412	3.92284698549502e-29	0.787775588232839	1.66533453693773e-15	2.1094237467878e-15	0.89876335712697	0.000186382114679757	2.87675445602968e-28	0.976992279847995	1.22124532708767e-14	1.54691074764438e-14	0.89876335712697	0.000410040652295466
Verrucomicrobia	1.892	1.185	1.629	1.274	0.633	0.717	0.000429915919873035	0.539922682168203	0.000264468841452703	0.0187460702313186	0.164680075715273	1.45676260005715e-11	0.000788179186433897	0.971007523796615	0.000581831451195947	0.0274942363392672	0.603826944289333	3.20487772012572e-10
Chlamydiae	0.172	0.353	0.118	0.232	0	0	0.11816438802374	0.704655519387095	0.107992098603089	0.453257195063832	0.789869208357785	0.043808222104119	0.123791263643918	0.976992279847995	0.131990342737109	0.453257195063832	0.89876335712697	0.053543382571701
Cyanobacteria	0.766	0.36	0.878	0.538	1.05	0.365	0.0245316056534265	0.39392384237099	0.0261122375012763	0.363604856059186	0.788769079602433	0.000291038813922912	0.0337309577734615	0.962924948017975	0.0382979483352053	0.421016149121163	0.89876335712697	0.000582077627845825
Actinobacteria	2.6	0.54	2.486	0.588	1.042	0.432	3.95505725016403e-19	0.584720799958296	2.16493489801906e-14	8.04911692853238e-14	0.143538166980715	0.000110896611302703	1.74022519007217e-18	0.971007523796615	9.52571355128384e-14	4.42701431069281e-13	0.603826944289333	0.000271080605406608
