Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Actinobacteria	3.02257620635132	0.468	2.81869668539964	2.819	0.000538	0.328	0.000542	0.0009684	0.501111111111111	0.000903333333333333	0.043	0.236
Bacteroidetes	4.74775392179516	0.217	4.7271712667879	4.727	0.351	0.0473	0.0026	0.351	0.2775	0.00371428571428571	0.017	0.188
Cyanobacteria_Chloroplast	0.748465104291909	0.751	0.254239568686228	0.254	1.81e-09	0.899	0.185	8.145e-09	0.899	0.185	0.136	0.199
Deinococcus_Thermus	0.205075230178424	0.394	1.57904605847867	1.579	<2e-16	0.0862	0.12	NA	0.2775	0.133333333333333	0.477	0.522
Firmicutes	4.90299807921999	0.145	4.93587979424951	4.936	0.0132	0.0714	8.66e-08	0.0169714285714286	0.2775	2.165e-07	0.026	0.342
Fusobacteria	0.615896577342852	0.975	1.21213726951333	1.212	2.99e-09	0.451	2.71e-13	8.97e-09	0.501111111111111	9.03333333333333e-13	0.082	0.508
Proteobacteria	3.25287287968173	0.534	3.45765762548025	3.458	7.45e-05	0.438	3.33e-07	0.000167625	0.501111111111111	6.66e-07	0.048	0.338
Synergistetes	0.540682653257415	0.779	0.660433922317333	0.66	0.11	0.389	1.22e-14	0.12375	0.501111111111111	8.1e-14	0.007	0.471
TM7	0.886845338259995	0.692	0.311501093380415	0.312	5.09e-14	0.111	0.0299	4.581e-13	0.2775	0.037375	0.204	0.302
Verrucomicrobia	1.55910042277337	1.208	1.22166372405837	1.222	0.0043	0.346	1.62e-14	0.00645	0.501111111111111	8.1e-14	0.02	0.481
