Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Tepidanaerobacter_acetatoxydans	0.0640988036123405	0.0732411799898254	0	0.290170753007197	0.961500840555311	0.300467312204978	0.31317531037418	0.816272298024064	0.704589232413855	0.395659412709185	0.99999914297351	0.567140038822633	0.571585819751419	0.99475987965078	0.856616784635931
Clostridium_pasteurianum	0.0960520522550881	0.153985841466425	0	0.0325781769872659	0.313815445938712	0.136370260626599	0.0243104937146257	0.954637407902681	0.635190534701452	0.106446590078012	0.99999914297351	0.417493985258999	0.115507697163005	0.99475987965078	0.787492919608711
Sorangium_cellulosum	0.243847907196231	0.233488973160432	0.17249757202531	0.675943409573521	0.985641911870634	0.649866685090872	0.791911642026505	0.602740098862394	0.00034369215007389	0.69410544043823	0.99999914297351	0.762660635774201	0.911113001755625	0.99475987965078	0.00186484814762314
Desulfitobacterium_dehalogenans	0.115632905080171	0.125966073542075	0	0.0960304098698941	0.969838234679412	0.0944472772847783	0.125395375031865	0.224763026990714	0.0391635610933512	0.217553428545456	0.99999914297351	0.343054366666612	0.347705156634099	0.99475987965078	0.0866663031895192
Desulfocapsa_sulfexigens	0.0373559574332218	0.0220775326830264	0	0.524434357372431	0.844466380208596	0.530209127375857	0.848172793501371	0.194438823692235	0.783442736608044	0.560271763919641	0.99999914297351	0.690450108093894	0.955825494215006	0.99475987965078	0.933124885472182
Rhodopseudomonas_palustris	0.265301458816988	0.321898498892007	0.286656373074064	0.729997189855073	0.71103112869375	0.969723176710463	0.940000257953367	0.210008359877429	0.00725695196909925	0.743531320837322	0.99999914297351	0.993906847301829	0.99776691511341	0.99475987965078	0.0216968053770008
Thermodesulfobacterium_geofontis	0.174198959506257	0.094374911349054	0.0447182510934897	0.0319801227892591	0.187001631834131	0.0637956108594784	0.735488919518054	0.0403554897912948	0.130532340887285	0.104890029596115	0.85671135838425	0.273543131441373	0.877291100980088	0.99475987965078	0.227203817108759
Rhodococcus_hoagii	0.0313692178516668	0	0	0.226833628842937	0.310485989794407	0.476375121522764	1	0.428650508677567	0.506034407006223	0.34800987824329	0.99999914297351	0.65838637078382	1	0.99475987965078	0.658046966384513
Magnetococcus_marinus	0.0511084956162451	0.0856503929639544	0	0.240289830989406	0.578142327772474	0.469882921437244	0.211311811302102	0.982999006498107	0.311960426306215	0.36166911205426	0.99999914297351	0.656515951450071	0.482449563985837	0.99475987965078	0.455503678942131
Anaeromyxobacter_sp._Fw109.5	0.144484060061213	0.202798926031245	0	0.0273656037425195	0.494569646416793	0.0692324690899657	0.021465324376391	0.304555676036563	0.0164534057881181	0.0932339755413747	0.99999914297351	0.286671617433481	0.104822334038043	0.99475987965078	0.0424633709199168
Acholeplasma_brassicae	0.0484044023517724	0.0756054961439758	0	0.190141218091763	0.599837201135234	0.362145943059605	0.162679256216433	0.471101853095125	0.0219756639148814	0.315943536299924	0.99999914297351	0.608066302775849	0.403371991911017	0.99475987965078	0.0539570072100021
Mycoplasma_hyorhinis	0.06167008697668	0.691156115249487	1.72705968506775	8.01124064419218e-46	2.87547763377916e-14	1.66533453693773e-15	1.47659662275146e-14	0.577791635619111	0.992738613308281	7.04188052624492e-43	2.45745847913461e-12	1.18500447549812e-13	1.13040132809772e-12	0.99475987965078	0.999990270309477
Geobacter_bemidjiensis	0.0895447873837923	0.0436053892015884	0	0.0879386406253016	0.399763773691389	0.114317082850795	0.678686097730683	0.950661797037059	0.0076815752012504	0.208913689485514	0.99999914297351	0.380623923582762	0.844993031027296	0.99475987965078	0.0228111641956051
Mesorhizobium_australicum	0.0443013481092007	0.0856313733513173	0	0.117090275794588	0.32097098200953	0.437471893472012	0.105555304003927	0.761466594237949	0.510407482377722	0.241035954153262	0.99999914297351	0.643838272413786	0.314519024472719	0.99475987965078	0.658807895756267
Arthrobacter_sp._FB24	0.0631364102332404	0.0407951731899561	0	0.211086793155108	0.726939286408538	0.204908016920441	0.609527396455266	0.65061902794996	0.858182604984016	0.334919298164873	0.99999914297351	0.490202028045368	0.798471805490579	0.99475987965078	0.991819915409015
Azoarcus_sp._BH72	0.0416593468290567	0.0276981127235491	0	0.418174761846345	0.850687533917318	0.406054878155104	0.743438198374087	0.510272515218131	0.0460155239048402	0.488460924264506	0.99999914297351	0.626944541536549	0.879769657304087	0.99475987965078	0.0976996268414361
Streptomyces_albus	0.0461814451435981	0.0155108514442067	0	0.116355882899998	0.317834838510624	0.195666852017302	0.87086188152316	0.0604363229757793	0.170909856752883	0.241035954153262	0.99999914297351	0.482977062730098	0.971332429974441	0.99475987965078	0.280531898320253
Erythrobacter_litoralis	0.0317041604976271	0.0527110687288005	0	0.343138456739493	0.669370247503056	0.56220425686378	0.310636863894381	0.887460758710636	0.0213762138134531	0.440319275144546	0.99999914297351	0.703722845913651	0.570296274844208	0.99475987965078	0.0526321903137963
Enterococcus_hirae	0.051377743490414	0.0282903261098068	0	0.314626492533835	0.701804422857871	0.333660623525578	0.780118003369638	0.753203446939588	0.00478707517976422	0.414627716547588	0.99999914297351	0.594904032614571	0.90250852409589	0.99475987965078	0.0159993881483375
Lactobacillus_plantarum	0.0717271578349978	0	0	0.0342963624713869	0.0704373325231324	0.184240737377555	1	0.999616009608799	0.0662006114135183	0.109623645863088	0.533744959377874	0.474919672008419	1	0.999616009608799	0.132854651672335
Klebsiella_pneumoniae	0.810549458412108	1.14822007107876	0.329515145037096	0.0362125549347204	0.262564182223765	0.181633539832665	0.0278593701800283	0.515842227073709	4.42635728807337e-08	0.114499409307983	0.973813992298269	0.473524622639385	0.128211447058874	0.99475987965078	9.97632834927305e-07
Streptococcus_anginosus	0.218722188833563	1.25424428625634	0.0351516110313809	2.25679751308773e-21	1.67643676718399e-14	0.263623086104864	3.67483821150927e-14	0.88516517832753	0.79965950915247	9.91824735558051e-20	2.45745847913461e-12	0.540965127641431	1.46382905796827e-12	0.99475987965078	0.942226150864639
