Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Geobacter_lovleyi	2.33334366217588	0.628	2.02914383253058	0.544	5.11e-07	0.549	3.09e-12	3.3345e-06	0.895492957746479	2.91342857142857e-11	0.063	0.458
Coprococcus_catus	3.13067338152504	0.617	2.98929140055719	0.679	0.00225	0.432	<2e-16	0.0065	0.895492957746479	NA	0.013	0.701
Streptococcus_parasanguinis	1.68745623247411	0.87	1.13322235881898	0.896	1.41e-10	0.224	<2e-16	1.33309090909091e-09	0.895492957746479	NA	0.089	0.561
Prevotella_intermedia	0.857172912351927	0.626	1.76141385831993	1.159	3.35e-15	0.32	3.85e-05	1.742e-13	0.895492957746479	7.940625e-05	0.194	0.39
Acholeplasma_brassicae	0.756400442797999	1.023	0.654174829953268	0.844	0.137	0.301	<2e-16	0.22615873015873	0.895492957746479	NA	0.004	0.689
Variovorax_paradoxus	0.709579600105072	1.025	0.702683521591413	1.019	0.984	0.967	<2e-16	0.998	0.977889908256881	NA	0	0.785
Eggerthella_lenta	1.51703585442379	0.803	1.60740565536	0.724	0.195	0.969	8.14e-12	0.298235294117647	0.977889908256881	5.96933333333333e-11	0.004	0.415
Streptococcus_anginosus	0.36737158602839	0.505	1.21216782466013	1.122	8.57e-15	0.872	0.000219	2.97093333333333e-13	0.977889908256881	0.000412971428571429	0.192	0.367
Streptococcus_gordonii	0.435760687316358	0.614	0.266244677238246	0.49	0.00499	0.791	1.62e-09	0.012974	0.976847826086956	6.28941176470588e-09	0.021	0.379
.Ruminococcus._torques	3.87367364752419	0.253	3.8735420203913	0.32	0.998	0.0155	3.79e-08	0.998	0.284166666666667	1.137e-07	0.017	0.341
Clostridium_beijerinckii	0.241721274635162	0.4	0.185414625784313	0.33	0.209	0.625	0.00119	0.310514285714286	0.922625	0.00174533333333333	0.006	0.194
Roseburia_hominis	2.56846582275407	0.521	2.4953111890566	0.517	0.165	0.354	5.51e-11	0.26	0.895492957746479	3.306e-10	0.007	0.4
Faecalitalea_cylindroides	1.27923076185888	0.973	1.39733196409849	0.953	0.134	0.873	<2e-16	0.224774193548387	0.977889908256881	NA	0.004	0.637
Beutenbergia_cavernae	0.185907273868325	0.283	0.168316726780917	0.273	0.626	0.834	0.893	0.74832183908046	0.977889908256881	0.92090625	0.001	0.008
Eubacterium_rectale	3.29993285903436	0.785	3.12599893997068	0.792	0.00129	0.64	<2e-16	0.0041925	0.922625	NA	0.014	0.693
Haemophilus_parainfluenzae	0.544594290183649	0.8	0.493466632484935	0.725	0.53	0.172	2.4e-10	0.656190476190476	0.895492957746479	1.13142857142857e-09	0.006	0.385
Pantoea_ananatis	0.702140007697148	0.58	0.81648555176081	0.641	0.106	0.0956	1.55e-06	0.19340350877193	0.700526315789474	4.2625e-06	0.016	0.298
Acidaminococcus_fermentans	2.87353391584967	1.013	2.5990702171595	0.884	4.71e-05	0.929	<2e-16	0.000195936	0.977889908256881	NA	0.022	0.701
Streptococcus_salivarius	1.37671446408983	1.121	0.968626942307287	0.982	8.94e-06	0.405	<2e-16	4.42742857142857e-05	0.895492957746479	NA	0.036	0.609
Parabacteroides_distasonis	3.42472709003	0.609	3.35206668550784	0.62	0.116	0.886	<2e-16	0.204474576271186	0.977889908256881	NA	0.003	0.696
Methylobacterium_nodulans	0.545913993528072	0.637	0.416881873776331	0.563	0.0388	0.424	6.65e-11	0.079121568627451	0.895492957746479	3.6575e-10	0.013	0.403
Streptococcus_macedonicus	0.451140176648515	0.644	0.718271299664067	1.038	0.00834	0.611	0.00346	0.0206514285714286	0.922625	0.0045672	0.025	0.19
Methylocella_silvestris	0.58815204261809	0.494	0.507358031725874	0.508	0.129	0.00117	1.23e-05	0.219934426229508	0.1287	2.79931034482759e-05	0.04	0.288
Desulfovibrio_vulgaris	1.19981870230153	1.008	0.993334990377916	0.941	0.0125	0.793	<2e-16	0.026530612244898	0.976847826086956	NA	0.01	0.617
Ruminococcus_bromii	2.02479457088164	1.4	2.01119678695923	1.322	0.713	0.671	<2e-16	0.812989247311828	0.922625	NA	0	0.711
Desulfotomaculum_reducens	0.11006364043002	0.247	0.230086813348194	0.32	0.000316	0.517	2.2e-06	0.00117371428571429	0.895492957746479	5.808e-06	0.04	0.311
Ruminiclostridium_thermocellum	0.976769788130177	0.944	0.823054028024727	0.755	0.0374	0.953	<2e-16	0.077792	0.977889908256881	NA	0.008	0.552
.Clostridium._sticklandii	0.572361348979683	0.709	0.945936172353382	0.831	1.65e-05	0.242	6.91e-06	7.46086956521739e-05	0.895492957746479	1.68911111111111e-05	0.061	0.312
Campylobacter_curvus	0.092864694711283	0.288	0.818185126363279	0.957	6.38e-16	0.51	0.000471	6.6352e-14	0.895492957746479	0.000797076923076923	0.211	0.372
Jonesia_denitrificans	1.12819338307104	0.667	0.785187069816173	0.744	0.000168	0.896	0.239	0.000672	0.977889908256881	0.258590163934426	0.055	0.116
Geobacillus_sp._GHH01	1.36713660491932	0.615	2.89370204810849	0.919	<2e-16	0.162	0.401	NA	0.891	0.420095238095238	0.493	0.516
Bacillus_amyloliquefaciens	1.38700786085574	0.795	1.62337923074889	0.852	0.00149	0.357	<2e-16	0.00455764705882353	0.895492957746479	NA	0.022	0.547
Anoxybacillus_flavithermus	1.30462586811355	0.689	2.88915064671521	0.936	<2e-16	0.121	0.00567	NA	0.700526315789474	0.00719653846153846	0.488	0.569
Lachnoclostridium_phytofermentans	0.213776841541468	0.31	0.205490905711948	0.288	0.813	0.305	0.00263	0.88075	0.895492957746479	0.00361625	0.004	0.177
Modestobacter_marinus	0.167132909428709	0.268	0.147304425475623	0.231	0.541	0.516	1	0.661929411764706	0.895492957746479	1	0.003	0.003
.Eubacterium._siraeum	1.51413225464947	1.262	1.36390158216954	1.095	0.129	0.817	<2e-16	0.219934426229508	0.976847826086956	NA	0.004	0.633
Escherichia_coli	0.794267159656546	0.9	1.45010409604203	1.122	2.24e-10	0.466	5.13e-13	1.94133333333333e-09	0.895492957746479	6.7716e-12	0.098	0.493
Campylobacter_hominis	0.17103112775555	0.384	0.869940318394222	1.163	3.85e-12	0.559	5.53e-07	5.72e-11	0.895492957746479	1.58686956521739e-06	0.142	0.398
Acinetobacter_baumannii	0.0181531830004906	0.099	0.540051492226757	0.644	<2e-16	0.203	0.23	NA	0.895492957746479	0.253	0.248	0.298
Peptoclostridium_difficile	1.94644342206793	0.903	2.02680610332565	0.8	0.281	0.999	5.97e-14	0.394918918918919	0.999	9.8505e-13	0.003	0.462
Odoribacter_splanchnicus	2.24063415031402	0.93	2.1930327189497	0.921	0.441	0.551	<2e-16	0.563121951219512	0.895492957746479	NA	0.002	0.616
Faecalibacterium_prausnitzii	3.55922371895093	0.714	3.62089694722897	0.782	0.428	0.326	<2e-16	0.5564	0.895492957746479	NA	0.002	0.74
Alistipes_finegoldii	2.59223225641396	0.981	2.22352500182886	0.913	6.32e-06	0.752	<2e-16	3.45936842105263e-05	0.973176470588235	NA	0.031	0.665
Clostridium_tetani	0.50622652226172	0.716	0.428340519123107	0.622	0.208	0.817	<2e-16	0.310514285714286	0.976847826086956	NA	0.003	0.541
Gordonibacter_pamelaeae	0.691996155200109	0.689	0.348267316417932	0.458	5.96e-07	0.517	3.07e-05	3.64611764705882e-06	0.895492957746479	6.53612903225806e-05	0.08	0.306
Lactobacillus_crispatus	0.136804465306287	0.356	0.330485197959982	0.516	0.000552	0.718	0.137	0.00197958620689655	0.963170731707317	0.155896551724138	0.046	0.126
Ruminococcus_champanellensis	0.674105556188363	1.025	0.668750879413981	0.973	0.997	0.737	<2e-16	0.998	0.965119047619048	NA	0	0.6
Coxiella_burnetii	0.395307730026021	0.887	0.436354841233688	0.935	0.366	0.938	<2e-16	0.488	0.977889908256881	NA	0.001	0.827
Prevotella_dentalis	0.518799900809283	0.581	0.449619556362812	0.506	0.231	0.345	1.79e-09	0.338366197183099	0.895492957746479	6.32210526315789e-09	0.006	0.367
Cellulophaga_lytica	0.28126125707504	0.347	0.268656564723795	0.336	0.808	0.0894	0.00168	0.88075	0.700526315789474	0.00235914893617021	0.01	0.191
Fusobacterium_nucleatum	0.171852519676393	0.361	0.730237519574572	0.897	3.1e-11	0.544	0.000911	3.224e-10	0.895492957746479	0.0013665	0.147	0.313
Segniliparus_rotundus	0.0402420337630765	0.32	0.686818110467169	0.837	4.56e-14	0.362	0.171	1.1856e-12	0.895492957746479	0.19128813559322	0.209	0.27
Bacteroides_thetaiotaomicron	3.67775322949379	0.456	3.4901034185885	0.549	1.28e-05	0.695	<2e-16	6.05090909090909e-05	0.943827160493827	NA	0.038	0.551
Olsenella_uli	2.23911693628964	1.097	2.16125313516305	0.955	0.343	0.637	<2e-16	0.463272727272727	0.922625	NA	0.002	0.637
Clostridium_perfringens	0.524580134259426	0.643	2.19436962825335	1.015	<2e-16	0.578	0.000126	NA	0.895492957746479	0.000244588235294118	0.494	0.608
Streptococcus_lutetiensis	0.191653923687027	0.605	0.430625779095736	0.599	3.81e-06	0.008	5.88e-15	2.20133333333333e-05	0.18018	1.2936e-13	0.057	0.553
.Ruminococcus._obeum	3.35056532641828	0.399	3.24649222822004	0.491	0.0602	0.11	0.0799	0.113832727272727	0.700526315789474	0.0941678571428572	0.023	0.119
Clostridium_sp._SY8519	2.35466935410316	0.615	2.17770718689998	0.617	0.0124	0.277	5.13e-06	0.026530612244898	0.895492957746479	1.30223076923077e-05	0.023	0.287
Bacteroides_vulgatus	4.06247432558547	0.565	4.0627309804546	0.726	0.888	0.959	<2e-16	0.92352	0.977889908256881	NA	0	0.682
Syntrophomonas_wolfei	0.385091637448548	0.673	0.375273247750117	0.631	0.873	0.278	<2e-16	0.917090909090909	0.895492957746479	NA	0.002	0.604
Ketogulonicigenium_vulgare	0.501414656180443	0.884	0.571121466445113	0.92	0.293	0.233	<2e-16	0.402315789473684	0.895492957746479	NA	0.004	0.641
Porphyromonas_asaccharolytica	0.290758232914874	0.511	1.34340170448518	1.182	<2e-16	0.104	1e-04	NA	0.700526315789474	2e-04	0.259	0.429
Slackia_heliotrinireducens	0.593847207320611	0.913	0.515001163271538	0.723	0.195	0.429	<2e-16	0.298235294117647	0.895492957746479	NA	0.003	0.712
Fibrobacter_succinogenes	0.95511995192608	0.739	0.862729066927008	0.762	0.238	0.0295	<2e-16	0.343777777777778	0.463571428571429	NA	0.012	0.536
Roseburia_intestinalis	2.79822913311957	0.874	2.57770887090141	0.853	0.00138	0.861	<2e-16	0.00434909090909091	0.977889908256881	NA	0.019	0.582
Bacteroides_helcogenes	0.39441161332566	0.733	0.43893385730373	0.741	0.406	0.199	<2e-16	0.534481012658228	0.895492957746479	NA	0.004	0.64
.Clostridium._saccharolyticum	3.20567065742713	0.44	3.19828990082918	0.447	0.856	0.00263	0.000848	0.908408163265306	0.14465	0.00134514285714286	0.031	0.22
Oscillibacter_valericigenes	3.3745367590464	0.451	3.39328234748538	0.372	0.651	0.962	0.000279	0.760719101123596	0.977889908256881	0.000484578947368421	0.001	0.213
Rhizobium_sp._IRBG74	0.330401010682872	0.511	0.309800168690847	0.473	0.739	0.32	0.000856	0.817617021276596	0.895492957746479	0.00134514285714286	0.004	0.198
Candidatus_Endolissoclinum_faulkneri	0.172279641273422	0.312	0.175908455825421	0.291	0.901	0.37	0.0324	0.927762376237624	0.895492957746479	0.0396	0.003	0.124
Bacteroides_fragilis	2.59515185169567	0.97	2.73740506498087	1.086	0.0409	0.943	<2e-16	0.0818	0.977889908256881	NA	0.005	0.743
Coprococcus_sp._ART55.1	1.0450137262956	0.951	0.981735695891506	0.934	0.444	0.481	<2e-16	0.563121951219512	0.895492957746479	NA	0.002	0.579
Prevotella_melaninogenica	0.429246696316958	0.502	0.601014978068732	0.779	0.0104	0.734	5.55e-10	0.0245818181818182	0.965119047619048	2.289375e-09	0.018	0.385
Megasphaera_elsdenii	0.406551302556416	0.807	0.582594473508075	0.93	0.0107	0.646	<2e-16	0.0247288888888889	0.922625	NA	0.011	0.622
