Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Clostridium_pasteurianum	0.0960520522550881	0.153985841466425	0	0.0252567549405904	0.313815445938712	0.136370260626599	0.0243104937146257	0.955124931644324	0.635190534701452	0.0279844844741742	0.821449443408562	0.178181897139471	0.04612333396542	0.997335034563549	0.700987163794032
Sorangium_cellulosum	0.243847907196231	0.233488973160432	0.17249757202531	0.0126857900423806	0.985641911870634	0.649866685090872	0.791911642026505	0.525400103277254	0.00034369215007389	0.0150169394946129	0.999980916292842	0.703176061602233	0.815462917625806	0.962083802693248	0.000820713151469548
Desulfitobacterium_dehalogenans	0.115632905080171	0.125966073542075	0	0.00698313012115207	0.969838234679412	0.0944472772847783	0.125395375031865	0.191640143260217	0.0391635610933512	0.00871318488089695	0.999980916292842	0.130158685611361	0.17195306378132	0.928298592626644	0.0573984466817899
Rhodopseudomonas_palustris	0.265301458816988	0.321898498892007	0.286656373074064	0.271136609902024	0.71103112869375	0.969723176710463	0.940000257953367	0.162388832773154	0.00725695196909925	0.276120738760518	0.999980916292842	0.976775708904721	0.953773155505797	0.92187505819389	0.0126426144367326
Thermodesulfobacterium_geofontis	0.174198959506257	0.094374911349054	0.0447182510934897	0.23241178613404	0.187001631834131	0.0637956108594784	0.735488919518054	0.0287278594314221	0.130532340887285	0.238437276885663	0.59539600020752	0.0992774393712107	0.760188174277989	0.753231536196894	0.168683138708595
Anaeromyxobacter_sp._Fw109.5	0.144484060061213	0.202798926031245	0	0.000648115338546298	0.494569646416793	0.0692324690899657	0.021465324376391	0.261116318848455	0.0164534057881181	0.000975695373789807	0.999980916292842	0.105395575692742	0.04129093647403	0.928298592626644	0.0264976360657483
Mycoplasma_hyorhinis	0.06167008697668	0.691156115249487	1.72705968506775	8.43902610491461e-37	2.87547763377916e-14	1.66533453693773e-15	1.47659662275146e-14	0.578170863895586	0.992738613308281	5.84402557765337e-35	7.74420931422397e-13	4.02156940227682e-14	3.88608337428567e-13	0.963753446116848	0.999898642035521
Klebsiella_pneumoniae	0.810549458412108	1.14822007107876	0.329515145037096	4.06063964994502e-05	0.262564182223765	0.181633539832665	0.0278593701800283	0.364031367261683	4.42635728807337e-08	7.3038778119141e-05	0.720101767088941	0.225616549478243	0.0514469702657855	0.928298592626644	3.60617931998918e-07
Streptococcus_anginosus	0.218722188833563	1.25424428625634	0.0351516110313809	9.0240398638573e-19	1.67643676718399e-14	0.263623086104864	3.67483821150927e-14	0.884483205283924	0.79965950915247	6.75583524942831e-18	7.74420931422397e-13	0.308116433970664	4.82265742492287e-13	0.973146301367308	0.851944938597054
Pedobacter_saltans	0.119476805706226	0.112050209796282	0	0.0636010650572898	0.981401014145191	0.0513042810635302	0.141987561672087	0.377630763629015	0.760581879249448	0.067242347407898	0.999980916292842	0.0850975200874124	0.190482035888672	0.928298592626644	0.819771130552907
Desulfitobacterium_hafniense	0.157354918667834	0.284448748058706	0	2.75961670251315e-05	0.0796140113701681	0.0862921381841367	0.00327587433130105	0.628694428697599	0.00149782464519668	5.09609217730761e-05	0.339278171531332	0.120721829681848	0.0081019391943785	0.968579227491366	0.00300650309217014
Xanthomonas_campestris	0.0919261110403532	0.11696652107631	0.136230289348472	0.57329945770953	0.786378457901344	0.62280304425041	0.935686809322845	0.00239900711505508	0.999898642035521	0.577468908311054	0.999980916292842	0.676535071597504	0.952886934494221	0.664524970870257	0.999898642035521
Bifidobacterium_animalis	0.336488663927777	0.273213188479127	0	2.15778698441194e-09	0.71397855705541	0.00340378614592796	0.0577547866660068	0.163075371305056	2.36747745869015e-07	6.87019534117364e-09	0.999980916292842	0.0102483561132831	0.0914175766084793	0.92187505819389	1.46035797981681e-06
Butyrivibrio_proteoclasticus	0.525007859131394	0.64567538962133	0	7.84824493595231e-08	0.3173107958293	4.66555245937084e-06	1.28591122405819e-06	0.214529059331185	0.145849832403758	1.95852598852143e-07	0.821449443408562	2.27175150053167e-05	6.14133463903652e-06	0.928298592626644	0.187038905443708
Streptococcus_pneumoniae	0.300047062345833	0.979235861520785	0	2.86714686287645e-12	4.79674078235348e-11	0.0294445466434519	8.75611805284393e-11	0.761663001932851	0.335033817464098	1.185372658234e-11	8.85798131141276e-10	0.0562492373809391	7.34983242617506e-10	0.973146301367308	0.394912201861936
Roseburia_hominis	2.30394604319527	2.07026004093187	0.307507525030372	1.35472419641662e-28	0.174559024902366	3.66373598126302e-15	3.1863400806742e-14	0.55563174850164	4.72293022569202e-06	3.75258602407404e-27	0.583866370524413	6.3428429175616e-14	4.41308101173377e-13	0.962083802693248	1.89601691669085e-05
Alkaliphilus_metalliredigens	0.100678923375444	0.251305593346635	0	2.81068305759274e-06	0.00264368043745744	0.174147952851691	0.000509213772375561	0.533627901527065	0.00217323588674706	5.98891697656298e-06	0.0182952220729164	0.217292715945579	0.00150055547817054	0.962083802693248	0.00423297324678771
Eubacterium_rectale	2.77868195691403	2.62493145353964	0.69341648895793	5.470267322064e-22	0.596708588546017	2.67563748934663e-14	2.42583730880597e-13	0.581035471124598	2.759093560234e-07	5.61208906745085e-21	0.999980916292842	2.73895489621978e-13	2.79982056058022e-12	0.963753446116848	1.59222690871837e-06
Haemophilus_parainfluenzae	0.604715880286356	0.317979345981056	0.0594991026761032	0.0113119255293507	0.155092687289192	0.0157484530444427	0.489019111962993	0.425677049085818	2.24427362942212e-05	0.0136234929201311	0.549143663102835	0.0357567335517265	0.527075073983459	0.928298592626644	8.17978678092008e-05
Magnetospirillum_magneticum	0.119327235223786	0.0687601670098693	0	0.00141688724851107	0.370126044448471	0.0332441517139044	0.423777591531784	0.248651922606357	0.0451865907619616	0.00205485742323333	0.899341353616021	0.0605092440253088	0.469545571417217	0.928298592626644	0.0641881314926326
Zymomonas_mobilis	0.118266947187916	0.156498216949118	0	0.0162788367848333	0.702476277635292	0.123357465762083	0.0677808376453241	0.357989379331427	0.0711052816767759	0.0185565341127524	0.999980916292842	0.164278932769697	0.102039630585624	0.928298592626644	0.0970254336180637
Campylobacter_coli	0.582849398916763	0.556713309093168	0	3.09057941812845e-09	0.969529965314984	0.000141032568685029	0.00215233910403367	0.643380340657385	8.58533481360962e-11	9.51211665357311e-09	0.999980916292842	0.000550225655292296	0.00552035122053081	0.968579227491366	1.98178145280822e-09
Pseudomonas_mendocina	0.19454030734077	0.172420835638509	0	0.000598284226186825	0.888922317347314	0.00436937924730185	0.0396618599133802	0.764031886813954	0.0914558884310508	0.000905599621058745	0.999980916292842	0.0126074797031522	0.0682381068074927	0.973146301367308	0.122753388787615
Streptococcus_suis	0.615096240064935	0.69392477722695	0.0804116055974879	1.85406528678121e-08	0.695428110858412	6.79510850659648e-05	8.60234976048924e-05	0.593391332512243	0.000654610171700561	5.40606404671994e-08	0.999980916292842	0.000268892150903889	0.00028033539807712	0.967109314095607	0.00143910331397663
Acidaminococcus_fermentans	0.469984036174385	0.377083073401966	0	1.58628932669504e-09	0.435062791874157	6.02321546305795e-06	0.00234356613140319	0.676959623680322	0.00288433256151986	5.23097789874435e-09	0.971874139912432	2.82784861570687e-05	0.00595566805870351	0.968579227491366	0.00538425430971064
Clostridium_saccharoperbutylacetonicum	0.210361765984564	0.179032771557879	0	0.00812920847220118	0.821698595969711	0.00502259061695276	0.0547301443669315	0.804725455463649	0.999853822371501	0.0100526372624988	0.999980916292842	0.013507355348504	0.0871278735036783	0.973146301367308	0.999898642035521
Riemerella_anatipestifer	0.650269293689658	0.430030518061632	0.0769805627656952	5.93698143959317e-07	0.140784309018935	0.000374243680797415	0.0962695886169559	0.531532760847823	5.66427970308015e-12	1.43003813805853e-06	0.514060099891981	0.00132904486642159	0.136752184855881	0.962083802693248	3.1380109555064e-10
Parabacteroides_distasonis	2.98135860021355	2.60520532051748	0.823392416187959	4.88344299188967e-28	0.0357429563900035	1.12132525487141e-14	7.988054662178e-13	0.943451279432915	5.82413519025719e-11	1.04884156272697e-26	0.190399979231365	1.4790814076161e-13	8.85076456569323e-12	0.997335034563549	1.46662313427386e-09
Phycisphaera_mikurensis	0.137786830952694	0.1070191239523	0	0.000698401801424857	0.806356983220753	0.0704420149471627	0.300700660870542	0.831840745313498	0.00333723704203916	0.001045715129701	0.999980916292842	0.105395575692742	0.350528892062355	0.973146301367308	0.00616276440429899
Geobacter_sulfurreducens	0.133136275490422	0.159666849180455	0	0.000189266595869585	0.822474671753133	0.0491549834714226	0.0408883783675652	0.566135956097471	0.000884636513032335	0.00031021802991642	0.999980916292842	0.0820236772384581	0.0699140790605899	0.962083802693248	0.00188495626238428
Caldicellulosiruptor_kronotskyensis	0.559473395549424	0.651260198111143	0.905486576216976	9.27910974215809e-09	0.488669297288407	0.00230792337938879	0.0809993639441215	0.560293304255487	7.81170091445403e-05	2.76377784793311e-08	0.999980916292842	0.00726471336466698	0.118088546381693	0.962083802693248	0.000232671091753093
Capnocytophaga_ochracea	0.174371225521508	0.165140381565412	0	0.000596988877501916	0.986508025046392	0.0516737852886704	0.137390217758489	0.844615400582914	0.00017431903646888	0.000905599621058745	0.999980916292842	0.0852002293152482	0.186554364309321	0.973146301367308	0.000464292049056537
Ruminococcus_bromii	2.21845185059522	2.23606443479134	0.385896967174785	3.30743448261932e-28	0.991552928119924	2.85327317328665e-14	3.83026943495679e-14	0.47958097048296	3.81532850617576e-11	8.32872137895956e-27	0.999980916292842	2.73895489621978e-13	4.82265742492287e-13	0.962083802693248	1.05684599621068e-09
Paenibacillus_mucilaginosus	0.205154873853035	0.215496933772845	0	1.47304214401161e-07	0.983047897843658	0.0171552398722293	0.035402835583202	0.866810630149394	3.75286907305296e-05	3.64314887402871e-07	0.999980916292842	0.0368372205008335	0.0620669965604238	0.973146301367308	0.000123680935132492
Ruminococcus_sp._SR1.5	2.25534881660764	2.28701512707309	0.413044535705146	1.8852148459164e-20	0.966475076576961	1.0769163338864e-14	2.94209101525666e-14	0.160941460174775	0.112245229847219	1.68453068489949e-19	0.999980916292842	1.4790814076161e-13	4.41308101173377e-13	0.92187505819389	0.145971496092393
Megamonas_hypermegale	0.162261398192784	0.322394944717388	0	0.0337339574890057	0.192167352488997	0.341170625588651	0.0463395510842195	0.809415454601212	9.57924588268873e-12	0.036644338135116	0.598093894825307	0.388275127968589	0.0773256364477639	0.973146301367308	3.31681388688097e-10
Rhodobacter_sphaeroides	0.117597282243924	0.238066499153832	0	2.23057563162059e-08	0.0250817154098483	0.105392090853615	0.00146901392960974	0.681342282911989	2.49978450951277e-07	6.24110555514043e-08	0.141788472827101	0.143105927286526	0.00398698350561924	0.968579227491366	1.4732772534788e-06
Clostridium_sp._BNL1100	0.100355869756437	0.137050166404155	0.0501713787930516	0.180862873432473	0.618780936664683	0.567771734569845	0.288013988389179	0.0139085344500293	0.0119352367874672	0.187636763823202	0.999980916292842	0.621631503857103	0.342402896067822	0.753231536196894	0.0199088394756143
Moorella_thermoacetica	0.158942139234496	0.173415176939303	0	0.000344790527583139	0.957318929551851	0.0404273033826904	0.0587605139285917	0.876850669936288	0.00510950309406389	0.000542653273525736	0.999980916292842	0.0699897689812828	0.0924810361262495	0.973146301367308	0.00925053828140979
Ruminiclostridium_thermocellum	0.181658513886818	0.204355909208867	0	0.00396149488244541	0.900042028048561	0.0169117686656565	0.0217852562009698	0.627486529762944	0.18771032400232	0.00520014669156615	0.999980916292842	0.0368372205008335	0.0416173515011631	0.968579227491366	0.234014786134231
