Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Clostridium_pasteurianum	0.0960520522550881	0.179	0.153985841466425	0.247	0	0	0.0253	0.314	0.136	0.0243	0.955	0.635	0.0287155	0.820644859813084	0.177698113207547	0.0461034246575342	0.99740671641791	0.70104	0.05	0.085
Sorangium_cellulosum	0.243847907196231	0.301	0.233488973160432	0.279	0.17249757202531	0.314	0.0127	0.986	0.65	0.792	0.525	0.000344	0.0156679347826087	1	0.7033203125	0.815553903345725	0.961852760736196	0.0008256	0.06	0.312
Desulfitobacterium_dehalogenans	0.115632905080171	0.211	0.125966073542075	0.238	0	0	0.00698	0.97	0.0944	0.125	0.192	0.0392	0.00921197674418605	1	0.130093532338308	0.171410891089109	0.927627906976744	0.0575489361702128	0.076	0.21
Rhodopseudomonas_palustris	0.265301458816988	0.335	0.321898498892007	0.326	0.286656373074064	0.36	0.271	0.711	0.97	0.94	0.162	0.00726	0.277103603603604	1	0.977054545454546	0.953772893772894	0.921448979591837	0.0126820253164557	0.027	0.238
Thermodesulfobacterium_geofontis	0.174198959506257	0.229	0.094374911349054	0.172	0.0447182510934897	0.179	0.232	0.187	0.0638	0.735	0.0287	0.131	0.239381818181818	0.595390804597701	0.0992842696629213	0.759682835820895	0.752788235294118	0.168953271028037	0.049	0.19
Anaeromyxobacter_sp._Fw109.5	0.144484060061213	0.237	0.202798926031245	0.31	0	0	0.000648	0.495	0.0692	0.0215	0.261	0.0165	0.00109773134328358	1	0.105438709677419	0.0413576388888889	0.927627906976744	0.0266315789473684	0.101	0.261
Mycoplasma_hyorhinis	0.06167008697668	0.185	0.691156115249487	0.533	1.72705968506775	0.271	<2e-16	2.88e-14	1.67e-15	1.48e-14	0.578	0.993	NA	7.756e-13	4.02715384615385e-14	3.878e-13	0.963694610778443	1	0.772	0.772
Klebsiella_pneumoniae	0.810549458412108	1.049	1.14822007107876	1.035	0.329515145037096	0.526	4.06e-05	0.263	0.182	0.0279	0.364	4.43e-08	8.86173076923077e-05	0.72129702970297	0.226071748878924	0.051522	0.927627906976744	3.70509090909091e-07	0.097	0.508
Streptococcus_anginosus	0.218722188833563	0.305	1.25424428625634	0.791	0.0351516110313809	0.141	<2e-16	1.68e-14	0.264	3.67e-14	0.884	0.8	NA	7.756e-13	0.308556962025316	4.82231818181818e-13	0.972797619047619	0.852509652509653	0.489	0.496
Pedobacter_saltans	0.119476805706226	0.189	0.112050209796282	0.23	0	0	0.0636	0.981	0.0513	0.142	0.378	0.761	0.0681	1	0.0850904191616766	0.190019323671498	0.927627906976744	0.820453125	0.044	0.069
Desulfitobacterium_hafniense	0.157354918667834	0.257	0.284448748058706	0.382	0	0	2.76e-05	0.0796	0.0863	0.00328	0.629	0.0015	6.2652e-05	0.339218461538462	0.120732828282828	0.00811214285714286	0.968115	0.00302189781021898	0.126	0.33
Xanthomonas_campestris	0.0919261110403532	0.156	0.11696652107631	0.226	0.136230289348472	0.245	0.573	0.786	0.623	0.936	0.0024	1	0.578093333333333	1	0.676749019607843	0.953205882352941	0.6648	1	0.071	0.071
Bifidobacterium_animalis	0.336488663927777	0.4	0.273213188479127	0.4	0	0	2.16e-09	0.714	0.0034	0.0578	0.163	2.37e-07	1.32518918918919e-08	1	0.0102369565217391	0.0914891428571429	0.921448979591837	1.4904e-06	0.219	0.579
Butyrivibrio_proteoclasticus	0.525007859131394	0.39	0.64567538962133	0.48	0	0	7.85e-08	0.317	4.67e-06	1.29e-06	0.215	0.146	2.92122950819672e-07	0.820644859813084	2.26945614035088e-05	6.16086206896552e-06	0.927627906976744	0.187423255813953	0.215	0.312
Streptococcus_pneumoniae	0.300047062345833	0.362	0.979235861520785	0.698	0	0	2.87e-12	4.8e-11	0.0294	8.76e-11	0.762	0.335	3.83229411764706e-11	8.864e-10	0.0561641379310345	7.35309090909091e-10	0.972797619047619	0.395128205128205	0.329	0.376
Roseburia_hominis	2.30394604319527	0.579	2.07026004093187	0.717	0.307507525030372	0.56	<2e-16	0.175	3.66e-15	3.19e-14	0.556	4.72e-06	NA	0.582988372093023	6.336375e-14	4.41815e-13	0.961852760736196	1.91576470588235e-05	0.6	0.779
Alkaliphilus_metalliredigens	0.100678923375444	0.167	0.251305593346635	0.348	0	0	2.81e-06	0.00264	0.174	0.000509	0.534	0.00217	7.973375e-06	0.018282	0.217108108108108	0.00149992553191489	0.961852760736196	0.00424765957446809	0.148	0.341
Eubacterium_rectale	2.77868195691403	0.73	2.62493145353964	0.821	0.69341648895793	0.619	<2e-16	0.597	2.68e-14	2.43e-13	0.581	2.76e-07	NA	1	2.735375e-13	2.804625e-12	0.963694610778443	1.62076595744681e-06	0.472	0.713
Haemophilus_parainfluenzae	0.604715880286356	0.79	0.317979345981056	0.625	0.0594991026761032	0.238	0.0113	0.155	0.0157	0.489	0.426	2.24e-05	0.0142505555555556	0.550448717948718	0.0356467213114754	0.527054474708171	0.927627906976744	8.2432e-05	0.059	0.43
Magnetospirillum_magneticum	0.119327235223786	0.193	0.0687601670098693	0.152	0	0	0.00142	0.37	0.0332	0.424	0.249	0.0452	0.00228609929078014	0.899035087719298	0.0604692810457516	0.469792	0.927627906976744	0.0643051546391753	0.1	0.251
Zymomonas_mobilis	0.118266947187916	0.213	0.156498216949118	0.304	0	0	0.0163	0.702	0.123	0.0678	0.358	0.0711	0.0191715025906736	1	0.163802884615385	0.10206847826087	0.927627906976744	0.0971465346534653	0.057	0.206
Campylobacter_coli	0.582849398916763	0.536	0.556713309093168	0.571	0	0	3.09e-09	0.97	0.000141	0.00215	0.643	8.59e-11	1.753575e-08	1	0.000550098591549296	0.00551435185185185	0.968115	2.15530909090909e-09	0.166	0.631
Pseudomonas_mendocina	0.19454030734077	0.231	0.172420835638509	0.253	0	0	0.000598	0.889	0.00437	0.0397	0.764	0.0915	0.00102064661654135	1	0.0126092708333333	0.0683037267080745	0.972797619047619	0.122860194174757	0.101	0.249
Streptococcus_suis	0.615096240064935	0.454	0.69392477722695	0.527	0.0804116055974879	0.24	1.85e-08	0.695	6.8e-05	8.6e-05	0.593	0.000655	9.33222222222222e-08	1	0.000269085714285714	0.000280258823529412	0.967870588235294	0.00144624	0.204	0.444
Acidaminococcus_fermentans	0.469984036174385	0.347	0.377083073401966	0.446	0	0	1.59e-09	0.435	6.02e-06	0.00234	0.677	0.00288	1.06155882352941e-08	0.971733870967742	2.82633898305085e-05	0.00594660550458716	0.968115	0.00540734693877551	0.253	0.458
Clostridium_saccharoperbutylacetonicum	0.210361765984564	0.254	0.179032771557879	0.273	0	0	0.00813	0.822	0.00502	0.0547	0.805	1	0.0106063793103448	1	0.0135003883495146	0.0870798850574713	0.972797619047619	1	0.067	0.067
Riemerella_anatipestifer	0.650269293689658	0.565	0.430030518061632	0.539	0.0769805627656952	0.308	5.94e-07	0.141	0.000374	0.0963	0.532	5.66e-12	2.07443076923077e-06	0.513907894736842	0.00132817948717949	0.136795384615385	0.961852760736196	3.77725714285714e-10	0.127	0.639
Parabacteroides_distasonis	2.98135860021355	0.638	2.60520532051748	0.927	0.823392416187959	0.602	<2e-16	0.0357	1.12e-14	7.99e-13	0.943	5.82e-11	NA	0.190171153846154	1.47733333333333e-13	8.85292e-12	0.99740671641791	1.60632e-09	0.542	0.79
Phycisphaera_mikurensis	0.137786830952694	0.245	0.1070191239523	0.234	0	0	0.000698	0.806	0.0704	0.301	0.832	0.00334	0.00117367407407407	1	0.105438709677419	0.350323529411765	0.972797619047619	0.00618684563758389	0.099	0.292
Geobacter_sulfurreducens	0.133136275490422	0.204	0.159666849180455	0.268	0	0	0.000189	0.822	0.0492	0.0409	0.566	0.000885	0.000360529411764706	1	0.0820987951807229	0.069933950617284	0.961852760736196	0.00189348837209302	0.108	0.328
Caldicellulosiruptor_kronotskyensis	0.559473395549424	0.341	0.651260198111143	0.449	0.905486576216976	0.425	9.28e-09	0.489	0.00231	0.081	0.56	7.81e-05	4.89897674418605e-08	1	0.00727125	0.118089473684211	0.961852760736196	0.0002343	0.228	0.486
Capnocytophaga_ochracea	0.174371225521508	0.274	0.165140381565412	0.34	0	0	0.000597	0.987	0.0517	0.137	0.845	0.000174	0.00102064661654135	1	0.0852434523809524	0.186024509803922	0.972797619047619	0.000466252427184466	0.095	0.337
Ruminococcus_bromii	2.21845185059522	0.621	2.23606443479134	0.858	0.385896967174785	0.486	<2e-16	0.992	2.85e-14	3.83e-14	0.48	3.82e-11	NA	1	2.735375e-13	4.82231818181818e-13	0.961852760736196	1.17146666666667e-09	0.521	0.798
Paenibacillus_mucilaginosus	0.205154873853035	0.286	0.215496933772845	0.302	0	0	1.47e-07	0.983	0.0172	0.0354	0.867	3.75e-05	5.38209677419355e-07	1	0.0368623076923077	0.0620620253164557	0.972797619047619	0.000124698795180723	0.186	0.474
